"爱情⠀";"àiqíng";"/romance; love (romantic)/CL:份[fen4]//romance; love (romantic)/CL:份[fèn]";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood)";"❈ 他们之间的爱情很美丽。";"<i>tāmen zhījiān de àiqíng hěn měilì.</i><br></br>Their romance is very beautiful.";"❈ 她对爱情有着很多幻想。";"<i>tā duì àiqíng yǒuzhe hěnduō huànxiǎng.</i><br></br>She has a lot of fantasies about love.";"❈ 爱情是一门艺术。";"<i>àiqíng shì yīmén yìshù.</i><br></br>Love is an art.";"❈ 他们的爱情故事感人至深。";"<i>tāmen de àiqínggùshi gǎnrénzhìshēn.</i><br></br>Their love story is deeply moving.";"❈ 她对爱情充满了向往。";"<i>tā duì àiqíng chōngmǎn le xiàngwǎng.</i><br></br>She is full of yearning for romance.";"❈ 爱情是人生中最美好的事情之一。";"<i>àiqíng shì rénshēng zhōng zuì měihǎo de shìqing zhīyī.</i><br></br>Love is one of the best things in life."
"安排⠀";"ānpái";"/to arrange/to plan/to set up/arrangements/plans//to arrange/to plan/to set up/arrangements/plans";"安 (calm)";"Other words using this character: 安静 (quiet); 安全 (safety)";"排 (arrange)";"Other words using this character: 排队 (line up); 排列 (arrange in order)";"❈ 她正在安排晚会的细节。";"<i>tā zhèngzài ānpái wǎnhuì de xìjié.</i><br></br>She is arranging the details of the party.";"❈ 我们需要安排一个会议来讨论这个问题。";"<i>wǒmen xūyào ānpái yīgè huìyì lái tǎolùn zhège wèntí.</i><br></br>We need to arrange a meeting to discuss this issue.";"❈ 我已经安排好了明天的行程。";"<i>wǒ yǐjīng ānpái hǎo le míngtiān de xíngchéng.</i><br></br>I have already arranged tomorrow's schedule.";"🐇 蓝湛安排了一次琴会，让人们沉浸在美妙的音乐中。";"<i>lánzhàn ānpái le yīcì qínhuì, ràng rénmen chénjìn zài měimiào de yīnyuè zhōng.</i><br></br>Lan Zhan arranged a guqin gathering, allowing people to immerse themselves in the wonderful music.";"🐇 温情安排了一次医疗援助，让伤员得到了及时救治。";"<i>wēnqíng ānpái le yīcì yīliáo yuánzhù, ràng shāngyuán dédào le jíshí jiùzhì.</i><br></br>Wen Qing arranged for medical assistance, ensuring that the wounded received timely treatment.";"🦝 我已经安排好了明天的行程，包括参观动物园和拜访朋友。";"<i>wǒ yǐjīng ānpái hǎo le míngtiān de xíngchéng, bāokuò cānguān dòngwùyuán hé bàifǎng péngyou.</i><br></br>I have arranged tomorrow's itinerary, including visiting the zoo and visiting friends."
"安全⠀";"ānquán";"/safe; secure/safety; security//safe; secure/safety; security";"安 (calm)";"Other words using this character: 安静 (quiet); 安排 (arrange)";"全 (all)";"Other words using this character: 全部 (whole); 完全 (complete)";"❈ 安全是最重要的。";"<i>ānquán shì zuì zhòngyào de.</i><br></br>Safety is the most important.";"❈ 我们需要确保安全。";"<i>wǒmen xūyào quèbǎoānquán.</i><br></br>We need to ensure safety.";"❈ 这个地方很安全。";"<i>zhège dìfāng hěn ānquán.</i><br></br>This place is very safe.";"🐇 蓝忘机一直保护着魏无羡的安全。";"<i>lánwàngjī yīzhí bǎohù zhe wèiwúxiàn de ānquán.</i><br></br>Lan Wangji has always protected Wei Wuxian's safety.";"🐇 魏无羡确保蓝忘机的安全，才放心离开。";"<i>wèiwúxiàn quèbǎo lánwàngjī de ānquán, cái fàngxīn líkāi.</i><br></br>Wei Wuxian ensured Lan Wangji's safety before leaving at ease.";"♻❈ 放烟花要注意安全。";"<i>fàng yānhuā yào zhùyìānquán.</i><br></br>Be careful when setting off fireworks."
"按时⠀";"ànshí";"/on time/before deadline/on schedule//on time/before deadline/on schedule";"按 (press)";"Other words using this character: 按照 (according to)";"时 (time)";"Other words using this character: 时候 (time); 小时 (hour); 时间 (time); 当时 (at once); 及时 (timely); 平时 (ordinarily); 同时 (simultaneously); 暂时 (temporary); 准时 (on time)";"❈ 他总是能按时到达。";"<i>tā zǒngshì néng ànshí dàodá.</i><br></br>He always arrives on time.";"❈ 按时交付是我们的承诺。";"<i>ànshí jiāofù shì wǒmen de chéngnuò.</i><br></br>To deliver on time is our commitment.";"❈ 请务必按时完成作业。";"<i>qǐng wùbì ànshí wánchéng zuòyè.</i><br></br>Please make sure to finish the homework on time.";"🐇 江澄虽然性格急躁，但是对于重要的约会总是能按时赴约。";"<i>jiāngchéng suīrán xìnggé jízào, dànshì duìyú zhòngyào de yuēhuì zǒngshì néng ànshí fùyuē.</i><br></br>Although Jiang Cheng is impatient, he always manages to arrive on time for important appointments.";"🐇 蓝忘机对待每一件事情都很严谨，总是能按时完成。";"<i>lánwàngjī duìdài měiyījiàn shìqing dōu hěn yánjǐn, zǒngshì néng ànshí wánchéng.</i><br></br>Lan Wangji treats everything with great care and always completes tasks on time.";"♻❈ 他们会确保项目按时完成。";"<i>tāmen huì quèbǎo xiàngmù ànshí wánchéng.</i><br></br>They will guarantee that the project is completed on time."
"按照⠀";"ànzhào";"/according to/in accordance with/in the light of/on the basis of//according to/in accordance with/in the light of/on the basis of";"按 (press)";"Other words using this character: 按时 (on time)";"照 (shine)";"Other words using this character: 护照 (passport); 照顾 (to take care of); 照片 (photograph); 照相机 (camera); 照 (shine)";"❈ 按照计划，我们明天出发。";"<i>ànzhào jìhuà, wǒmen míngtiān chūfā.</i><br></br>According to the plan, we will depart tomorrow.";"❈ 按照你的要求，我已经准备好了文件。";"<i>ànzhào nǐ de yāoqiú, wǒ yǐjīng zhǔnbèi hǎo le wénjiàn.</i><br></br>On the basis of your request, I have prepared the documents.";"❈ 按照法律，他应该受到惩罚。";"<i>ànzhào fǎlǜ, tā yīnggāi shòudào chéngfá.</i><br></br>In accordance with the law, he should be punished.";"🐇 蓝湛按照亲兄长的教导，一直严格要求自己。";"<i>lánzhàn ànzhào qīn xiōngzhǎng de jiàodǎo, yīzhí yángéyàoqiú zìjǐ.</i><br></br>Lan Zhan has always strictly demanded of himself according to his elder brother's teachings.";"🐇 魏无羡按照自己的计划行事，从不受拘束。";"<i>wèiwúxiàn ànzhào zìjǐ de jìhuà xíngshì, cóngbù shòu jūshù.</i><br></br>Wei Wuxian acts according to his own plans and is never constrained by others.";"♻❈ 这个药的分量需要按照医生的建议服用。";"<i>zhège yào de fènliang xūyào ànzhào yīshēng de jiànyì fúyòng.</i><br></br>The dosage of this medicine needs to be taken according to the doctor's advice."
"百分之⠀";"bǎifēnzhī";"/percent//percent";"百 (hundred)";"Other words using this character: 百 (hundred)";"分 (divide)";"Other words using this character: 分钟 (minute); 分 (divide); 部分 (part); 十分 (very)";"之 (him)";"Other words using this character: 之 (him)";"❈ 这个产品的销售额增长了百分之二十。";"<i>zhège chǎnpǐn de xiāoshòué zēngzhǎng le bǎifēnzhīèrshí.</i><br></br>The sales of this product increased by twenty percent.";"❈ 这个数字是百分之五十。";"<i>zhège shùzì shì bǎifēnzhīwǔshí.</i><br></br>This number is fifty percent.";"❈ 他的努力得到了百分之百的回报。";"<i>tā de nǔlì dédào le bǎifēnzhībǎi de huíbào.</i><br></br>His efforts paid off one hundred percent.";"🐇 金凌的考试成绩排在班上百分之五十。";"<i>jīnlíng de kǎoshìchéngjì pái zài bānshàng bǎifēnzhīwǔshí.</i><br></br>Jin Ling's exam scores rank at fifty percent in the class.";"🐇 在这次投票中，百分之七十的人选择了蓝曦臣作为新的领袖。";"<i>zài zhècì tóupiào zhōng, bǎifēnzhīqīshí de rén xuǎnzé le lánxīchén zuòwéi xīn de lǐngxiù.</i><br></br>Seventy percent of the people chose Lan Xichen as the new leader in this vote.";"♻❈ 这个月的销售额增长了百分之二十。";"<i>zhège yuè de xiāoshòué zēngzhǎng le bǎifēnzhīèrshí.</i><br></br>This month's sales increased by twenty percent."
"棒⠀";"bàng";"/stick/club/cudgel/smart/capable/strong/wonderful/classifier for legs of a relay race//stick/club/cudgel/smart/capable/strong/wonderful/classifier for legs of a relay race";"棒 (strong)";"There are no other HSK words in this level (or before) using this character.";"❈ 他是一个棒球俱乐部的成员。";"<i>tā shì yīgè bàngqiú jùlèbù de chéngyuán.</i><br></br>He is a member of a baseball club.";"❈ 这个团队的合作能力棒极了。";"<i>zhège tuánduì de hézuò nénglì bàngjíle.</i><br></br>The teamwork of this team is excellent.";"❈ 她的演讲棒极了！";"<i>tā de yǎnjiǎng bàngjíle!</i><br></br>Her speech was excellent!";"🐇 魏无羡的魔道技艺棒极了。";"<i>wèiwúxiàn de mó dào jìyì bàngjíle.</i><br></br>Wei Wuxian's demonic cultivation skills are excellent.";"🐇 蓝忘机的玉玺是他的武器之一，用起来非常棒。";"<i>lánwàngjī de yùxǐ shì tā de wǔqì zhīyī, yòng qǐlai fēicháng bàng.</i><br></br>Lan Wangji's forehead ribbon is one of his weapons, and it's very effective.";"♻❈ 他得瑟地说自己是最棒的。";"<i>tā dé sè dì shuō zìjǐ shì zuì bàng de.</i><br></br>He smugly said that he is the best."
"包子⠀";"bāozi";"/bao (steamed stuffed bun)/CL:個|个[ge4]//bao (steamed stuffed bun)/CL:个[gè]";"包 (to wrap)";"Other words using this character: 包 (to wrap); 面包 (bread)";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 她会做很好吃的包子。";"<i>tā huì zuò hěn hàochī de bāozi.</i><br></br>She can make very delicious buns.";"❈ 这家包子铺的包子很有名。";"<i>zhèjiā bāozipù de bāozi hěn yǒumíng.</i><br></br>The buns from this bun shop are very famous.";"❈ 我喜欢吃肉包子。";"<i>wǒ xǐhuan chī ròubāozi.</i><br></br>I like to eat meat buns.";"🐇 魏无羡做了一篮子包子，邀请蓝忘机一起品尝。";"<i>wèiwúxiàn zuò le yī lánzi bāozi, yāoqǐng lánwàngjī yīqǐ pǐncháng.</i><br></br>Wei Wuxian made a basket of steamed buns and invited Lan Wangji to taste them together.";"🐇 金凌最喜欢吃他舅舅做的肉包子。";"<i>jīnlíng zuì xǐhuan chī tā jiùjiu zuò de ròubāozi.</i><br></br>Jin Ling's favorite food is the meat buns made by his uncle.";"♻🐇 蓝曦臣在包子铺买了一袋牛角包。";"<i>lánxīchén zài bāozipù mǎi le yīdài niújiǎo bāo.</i><br></br>Lan Xichen bought a bag of croissants at the bun shop."
"保护⠀";"bǎohù";"/to protect/to defend/to safeguard/protection/CL:種|种[zhong3]//to protect/to defend/to safeguard/protection/CL:种[zhǒng]";"保 (to protect)";"Other words using this character: 保证 (guarantee)";"护 (protect)";"Other words using this character: 护照 (passport); 护士 (nurse)";"❈ 这个法律保护了儿童的权益。";"<i>zhège fǎlǜ bǎohù le értóng de quányì.</i><br></br>This law safeguards the rights of children.";"❈ 我们应该保护动物的生存环境。";"<i>wǒmen yīnggāi bǎohù dòngwù de shēngcúnhuánjìng.</i><br></br>We should protect the living environment of animals.";"❈ 他的工作是保护国家的安全。";"<i>tā de gōngzuò shì bǎohù guójiā de ānquán.</i><br></br>His job is to defend the security of the country.";"🐇 蓝曦臣是亲切的保护者，时刻关心着身边的人。";"<i>lánxīchén shì qīnqiè de bǎohùzhě, shíkè guānxīn zhe shēnbiān de rén.</i><br></br>Lan Xichen is a kind protector, always caring for those around him.";"🐇 蓝忘机对魏无羡百般保护。";"<i>lánwàngjī duì wèiwúxiàn bǎibān bǎohù.</i><br></br>Lan Wangji protects Wei Wuxian in every possible way.";"♻🐇 魏无羡把它藏在怀里，小心翼翼地保护着。";"<i>wèiwúxiàn bǎ tā cáng zài huáilǐ, xiǎoxīnyìyì dì bǎohù zhe.</i><br></br>Wei Wuxian hid it in his arms, protecting it carefully."
"保证⠀";"bǎozhèng";"/guarantee/to guarantee/to ensure/to safeguard/to pledge/CL:個|个[ge4]//guarantee/to guarantee/to ensure/to safeguard/to pledge/CL:个[gè]";"保 (to protect)";"Other words using this character: 保护 (protect)";"证 (certificate)";"Other words using this character: 签证 (visa); 证明 (proof)";"❈ 我保证这件事情一定会成功。";"<i>wǒ bǎozhèng zhèjiàn shìqing yīdìng huì chénggōng.</i><br></br>I guarantee that this matter will definitely be successful.";"❈ 我们保证会保护好你的隐私。";"<i>wǒmen bǎozhèng huì bǎohù hǎo nǐ de yǐnsī.</i><br></br>We will safeguard your privacy.";"❈ 他保证会按时完成工作。";"<i>tā bǎozhèng huì ànshí wánchéng gōngzuò.</i><br></br>He ensures that he will complete the work on time.";"🐇 金凌保证会好好学习，不辜负父母的期望。";"<i>jīnlíng bǎozhèng huì hǎohǎoxuéxí, bù gūfù fùmǔ de qīwàng.</i><br></br>Jin Ling guarantees that he will study hard and not let his parents down.";"🐇 温情保证会照顾好温宁。";"<i>wēnqíng bǎozhèng huì zhàogu hǎo wēnníng.</i><br></br>Wen Qing guarantees that she will take good care of Wen Ning.";"♻🐇 温情的饮食中注重膳食搭配，以保证摄入足够的钙。";"<i>wēnqíng de yǐnshí zhōng zhùzhòng shànshí dāpèi, yǐ bǎozhèng shèrù zúgòu de gài.</i><br></br>Wen Qing's diet pays attention to the combination of food to ensure sufficient calcium intake."
"抱⠀";"bào";"/to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely//to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely";"抱 (hold)";"Other words using this character: 抱歉 (sorry)";"❈ 她抱着孩子哄他入睡。";"<i>tā bào zhe háizi hōng tā rùshuì.</i><br></br>She holds the child to coax him to sleep.";"❈ 他抱着她走进了屋子。";"<i>tā bào zhe tā zǒujìn le wūzi.</i><br></br>He carried her into the house.";"❈ 这件外套抱得很合身。";"<i>zhèjiàn wàitào bàodé hěn héshēn.</i><br></br>This coat fits very nicely.";"🐇 魏无羡抱着小狐狸，笑得很开心。";"<i>wèiwúxiàn bào zhe xiǎo húli, xiào dé hěn kāixīn.</i><br></br>Wei Wuxian hugged the little fox, smiling happily.";"🐇 蓝忘机抱着折颜，守护着他的安宁。";"<i>lánwàngjī bào zhe zhéyán, shǒuhù zhe tā de ānníng.</i><br></br>Lan Wangji held Zhan Yan, guarding his peace.";"♻❈ 她抱着孩子，孩子的小臂搂着她的脖子。";"<i>tā bào zhe háizi, háizi de xiǎobì lǒu zhe tā de bózi.</i><br></br>She held the child, the child's little arm wrapped around her neck."
