"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"熬夜⠀";"áoyè";"/to stay up late or all night//to stay up late or all night";"熬 (boil)";"There are no other HSK words in this level (or before) using this character.";"夜 (night)";"Other words using this character: 夜 (night)";"❈ 熬夜对身体不好。";"<i>áoyè duì shēntǐ bùhǎo.</i><br></br>Staying up late is not good for your health.";"❈ 她为了考试熬夜复习。";"<i>tā wèile kǎoshì áoyè fùxí.</i><br></br>She stayed up late to review for the exam.";"❈ 最近工作很忙，经常熬夜。";"<i>zuìjìn gōngzuò hěn máng, jīngcháng áoyè.</i><br></br>Work has been busy lately, often staying up late.";"🐇 蓝曦臣为了排练音乐会，不得不熬夜。";"<i>lánxīchén wèile páiliàn yīnyuèhuì, bùdébù áoyè.</i><br></br>Lan Xichen has to stay up late to rehearse for the music concert.";"♻🐇 温情熬夜工作，很少有时间好好睡觉。";"<i>wēnqíng áoyè gōngzuò, hěnshǎo yǒu shíjiān hǎohǎo shuìjiào.</i><br></br>Wen Qing stays up late working and rarely has time to sleep well."
"安慰⠀";"ānwèi";"/to comfort/to console/CL:個|个[ge4]//to comfort/to console/CL:个[gè]";"安 (calm)";"Other words using this character: 安静 (quiet); 安排 (arrange); 安全 (safety); 安装 (install); 不安 (unstable); 平安 (safe)";"慰 (comfort)";"There are no other HSK words in this level (or before) using this character.";"❈ 她的话让我感到很安慰。";"<i>tā dehuà ràng wǒ gǎndào hěn ānwèi.</i><br></br>Her words comforted me a lot.";"❈ 他试图安慰她，但她依然伤心。";"<i>tā shìtú ānwèi tā, dàn tā yīrán shāngxīn.</i><br></br>He tried to comfort her, but she was still sad.";"❈ 在这段艰难时期，家人的安慰是最重要的。";"<i>zài zhèduàn jiānnán shíqī, jiārén de ānwèi shì zuì zhòngyào de.</i><br></br>During this difficult period, the comfort of family is the most important.";"❈ 他试图安慰受伤的孩子。";"<i>tā shìtú ānwèi shòushāng de háizi.</i><br></br>He tried to console the injured child.";"❈ 她的话安慰了我。";"<i>tā dehuà ānwèi le wǒ.</i><br></br>Her words comforted me."
"岸⠀";"àn";"/bank; shore; beach; coast/CL:個|个[ge4]//bank; shore; beach; coast; CL:个[gè]";"岸 (bank)";"There are no other HSK words in this level (or before) using this character.";"❈ 我们在海岸边散步。";"<i>wǒmen zài hǎiànbiān sànbù.</i><br></br>We took a walk along the beach.";"❈ 船靠岸了。";"<i>chuán kàoàn le.</i><br></br>The boat docked at the shore.";"❈ 他站在河岸上。";"<i>tā zhàn zài héàn shàng.</i><br></br>He stood on the river bank.";"🐇 魏无羡和蓝忘机在河岸边散步。";"<i>wèiwúxiàn hé lánwàngjī zài hé ànbiān sànbù.</i><br></br>Wei Wuxian and Lan Wangji are taking a walk by the riverbank.";"♻❈ 他们在岸上等我们。";"<i>tāmen zài ànshàng děng wǒmen.</i><br></br>They are waiting for us on the riverbank."
"包含⠀";"bāohán";"/to contain/to embody/to include//to contain/to embody/to include";"包 (to wrap)";"Other words using this character: 包 (to wrap); 面包 (bread); 包子 (bao); 包裹 (wrap); 包括 (comprise)";"含 (contain)";"There are no other HSK words in this level (or before) using this character.";"🐇 温情的话语包含着对温宁的关怀。";"<i>wēnqíng de huàyǔ bāohán zhe duì wēnníng de guānhuái.</i><br></br>Wen Qing's words contain care for Wen Ning.";"🦝 这个动物园的展览包含了熊猫、浣熊和水豚。";"<i>zhège dòngwùyuán de zhǎnlǎn bāohán le xióngmāo  huànxióng hé shuǐtún.</i><br></br>The exhibition at this zoo includes pandas, raccoons, and capybaras.";"🦝 我的旅行计划包含了参观长城和故宫。";"<i>wǒ de lǚxíng jìhuà bāohán le cānguān chángchéng hé gùgōng.</i><br></br>My travel itinerary includes visiting the Great Wall and the Forbidden City.";"♻❈ 这份传单包含了很多重要信息。";"<i>zhèfèn chuándān bāohán le hěnduō zhòngyào xìnxī.</i><br></br>This leaflet contains a lot of important information.";"♻❈ 这份提纲包含了整个项目的主要内容。";"<i>zhèfèn tígāng bāohán le zhěnggè xiàngmù de zhǔyào nèiróng.</i><br></br>This outline contains the main content of the entire project."
"宝贵⠀";"bǎoguì";"/valuable/precious/to value/to treasure/to set store by//valuable/precious/to value/to treasure/to set store by";"宝 (treasure)";"Other words using this character: 宝贝 (treasure)";"贵 (expensive)";"Other words using this character: 贵 (expensive)";"❈ 时间是非常宝贵的，我们要好好利用。";"<i>shíjiān shì fēicháng bǎoguì de, wǒmen yào hǎohǎo lìyòng.</i><br></br>Time is very valuable, we should make good use of it.";"❈ 我们应该珍惜每一份宝贵的友谊。";"<i>wǒmen yīnggāi zhēnxī měi yífèn bǎoguì de yǒuyì.</i><br></br>We should treasure every precious friendship.";"❈ 这是我非常宝贵的回忆。";"<i>zhè shì wǒ fēicháng bǎoguì de huíyì.</i><br></br>This is a very precious memory for me.";"🐇 蓝曦臣视家族的传统为宝贵，努力传承。";"<i>lánxī chénshì jiāzú de chuántǒng wéi bǎoguì, nǔlì chuánchéng.</i><br></br>Lan Xichen values the family's traditions as precious and strives to pass them on.";"♻❈ 智慧是人类最宝贵的财富之一。";"<i>zhìhuì shì rénlèi zuì bǎoguì de cáifù zhīyī.</i><br></br>Wisdom is one of the most precious treasures of humanity."
"保存⠀";"bǎocún";"/to conserve/to preserve/to keep/to save (a file etc) (computing)//to conserve/to preserve/to keep/to save (a file etc) (computing)";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保留 (retain); 保持 (maintain); 保险 (insurance)";"存 (exist)";"Other words using this character: 存 (exist); 存在 (exist)";"❈ 保存自然资源是我们的责任。";"<i>bǎocún zìránzīyuán shì wǒmen de zérèn.</i><br></br>Preserving natural resources is our responsibility.";"❈ 这种方法可以帮助保存食物。";"<i>zhèzhǒng fāngfǎ kěyǐ bāngzhù bǎocún shíwù.</i><br></br>This method can help preserve food.";"❈ 请保存好你的文件。";"<i>qǐng bǎocún hǎo nǐ de wénjiàn.</i><br></br>Please save your files.";"🐇 蓝曦臣保存了蓝忘机小时候的玩具。";"<i>lánxīchén bǎocún le lánwàngjī xiǎoshíhou de wánjù.</i><br></br>Lan Xichen preserved the toys from Lan Wangji's childhood.";"♻❈ 这份档案很重要，需要妥善保存。";"<i>zhèfèn dàngàn hěn zhòngyào, xūyào tuǒshàn bǎocún.</i><br></br>This file is very important and needs to be properly preserved."
"保留⠀";"bǎoliú";"/to keep/to retain/to have reservations (about sth)/to hold back (from saying sth)/to put aside for later//to keep/to retain/to have reservations (about sth)/to hold back (from saying sth)/to put aside for later";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保持 (maintain); 保险 (insurance)";"留 (leave)";"Other words using this character: 留学 (study abroad); 留 (leave)";"❈ 我对这个提议有所保留。";"<i>wǒ duì zhège tíyì yǒusuǒ bǎoliú.</i><br></br>I have reservations about this proposal.";"❈ 请保留你的票据。";"<i>qǐng bǎoliú nǐ de piàojù.</i><br></br>Please keep your receipt.";"❈ 她保留了一些食物以备不时之需。";"<i>tā bǎoliú le yīxiē shíwù yǐbèi bùshízhīxū.</i><br></br>She kept some food for future use.";"🐇 温情保留了自己的意见，没有轻易妥协。";"<i>wēnqíng bǎoliú le zìjǐ de yìjiàn, méiyǒu qīngyì tuǒxié.</i><br></br>Wen Qing retained her own opinions and did not compromise easily.";"♻❈ 华侨在海外也能保留自己的文化传统。";"<i>huáqiáo zài hǎiwài yě néng bǎoliú zìjǐ de wénhuà chuántǒng.</i><br></br>Overseas Chinese can also preserve their cultural traditions abroad."
"报到⠀";"bàodào";"/to report for duty/to check in/to register//to report for duty/to check in/to register";"报 (report)";"Other words using this character: 报纸 (newspaper); 报名 (sign up); 报告 (report); 预报 (forecast); 报道 (report); 报社 (newspaper)";"到 (to reach)";"Other words using this character: 到 (to reach); 迟到 (late); 遇到 (meet); 到处 (everywhere); 到底 (finally); 受到 (receive); 周到 (thoughtful); 达到 (reach); 到达 (arrive)";"❈ 他今天早上报到了。";"<i>tā jīntiān zǎoshang bàodào le.</i><br></br>He checked in this morning.";"❈ 我已经报到了，可以开始工作了。";"<i>wǒ yǐjīng bàodào le, kěyǐ kāishǐ gōngzuò le.</i><br></br>I have registered and can start working now.";"❈ 新员工需要报到办公室。";"<i>xīn yuángōng xūyào bào dào bàngōngshì.</i><br></br>New employees need to report to the office.";"🐇 蓝忘机报到的时候，大家都对他刮目相看。";"<i>lánwàngjī bàodào de shíhou, dàjiā dōu duì tā guāmùxiāngkàn.</i><br></br>When Lan Wangji reported for duty, everyone looked at him with new eyes."
"报告⠀";"bàogào";"/to inform/to report/to make known/report/speech/talk/lecture/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]//to inform/to report/to make known/report/speech/talk/lecture/CL:篇[piān],份[fèn],个[gè],通[tòng]";"报 (report)";"Other words using this character: 报纸 (newspaper); 报名 (sign up); 报到 (report for duty); 预报 (forecast); 报道 (report); 报社 (newspaper)";"告 (announce)";"Other words using this character: 告诉 (tell); 广告 (advertising); 告别 (leave); 转告 (pass on)";"❈ 他向老板报告了工作进展。";"<i>tā xiàng lǎobǎn bàogào le gōngzuòjìnzhǎn.</i><br></br>He reported the progress of the work to the boss.";"❈ 这份报告需要在下周之前完成。";"<i>zhèfèn bàogào xūyào zài xiàzhōu zhīqián wánchéng.</i><br></br>This report needs to be completed by next week.";"❈ 她做了一个关于环境保护的报告。";"<i>tā zuò le yīgè guānyú huánjìngbǎohù de bàogào.</i><br></br>She made a report on environmental protection.";"🐇 魏无羡报告了鬼物的动向给蓝忘机。";"<i>wèiwúxiàn bàogào le guǐwù de dòngxiàng gěi lánwàngjī.</i><br></br>Wei Wuxian reported the movements of the fierce corpses to Lan Wangji.";"🦝 他正在撰写一份关于水豚生活习性的报告。";"<i>tā zhèngzài zhuànxiě yífèn guānyú shuǐtún shēnghuó xíxìng de bàogào.</i><br></br>He is writing a report on the living habits of capybaras."
"悲观⠀";"bēiguān";"/pessimistic//pessimistic";"悲 (sadness)";"There are no other HSK words in this level (or before) using this character.";"观 (observe)";"Other words using this character: 参观 (visit); 观众 (spectators); 观察 (observe); 观念 (notion); 客观 (objective); 主观 (subjective); 观点 (viewpoint); 乐观 (optimistic)";"❈ 悲观的心态会影响工作效率。";"<i>bēiguān de xīntài huì yǐngxiǎng gōngzuòxiàolǜ.</i><br></br>A pessimistic attitude will affect work efficiency.";"❈ 他对未来很悲观。";"<i>tā duì wèilái hěn bēiguān.</i><br></br>He is very pessimistic about the future.";"❈ 她的态度变得越来越悲观。";"<i>tā de tàidu biànde yuèláiyuè bēiguān.</i><br></br>Her attitude is becoming more and more pessimistic.";"🐇 魏无羡虽然表面上看起来很乐观，但内心却有着悲观的一面。";"<i>wèiwúxiàn suīrán biǎomiàn shàng kànqǐlai hěn lèguān, dàn nèixīn què yǒuzhe bēiguān de yīmiàn.</i><br></br>Although Wei Wuxian seems optimistic on the surface, he has a pessimistic side in his heart."
