"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"保险⠀";"bǎoxiǎn";"/insurance/to insure/safe/secure/be sure/be bound to/CL:份[fen4]//insurance/to insure/safe/secure/be sure/be bound to/CL:份[fèn]";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保持 (maintain)";"险 (danger)";"Other words using this character: 危险 (danger); 风险 (risk); 冒险 (take risks)";"❈ 他们为了保险起见，买了旅行保险。";"<i>tāmen wèile bǎoxiǎn qǐ jiàn, mǎi le lǚxíng bǎoxiǎn.</i><br></br>For safety, they bought travel insurance.";"❈ 这家公司提供各种保险服务。";"<i>zhèjiā gōngsī tígōng gèzhǒng bǎoxiǎn fúwù.</i><br></br>This company provides various insurance services.";"🐇 魏无羡觉得蓝忘机就像是他的保险，无论发生什么都会保护他。";"<i>wèiwúxiàn juéde lánwàngjī jiù xiàngshì tā de bǎoxiǎn, wúlùn fāshēng shénme dōu huì bǎohù tā.</i><br></br>Wei Wuxian feels that Lan Wangji is like his insurance, protecting him no matter what happens.";"♻❈ 医疗保险对于大家都很重要。";"<i>yīliáobǎoxiǎn duìyú dàjiā dōu hěn zhòngyào.</i><br></br>Medical insurance is important for everyone."
"抱怨⠀";"bàoyuàn";"/to complain/to grumble/to harbor a complaint/to feel dissatisfied//to complain/to grumble/to harbor a complaint/to feel dissatisfied";"抱 (hold)";"Other words using this character: 抱 (hold); 抱歉 (sorry); 拥抱 (embrace)";"怨 (resentment)";"There are no other HSK words in this level (or before) using this character.";"❈ 他总是抱怨工作太忙。";"<i>tā zǒngshì bàoyuàn gōngzuò tàimáng.</i><br></br>He always complains that the work is too busy.";"❈ 她抱怨天气太热了。";"<i>tā bàoyuàn tiānqì tàirè le.</i><br></br>She grumbles that the weather is too hot.";"❈ 不要总是抱怨，要学会感恩。";"<i>bùyào zǒngshì bàoyuàn, yào xuéhuì gǎnēn.</i><br></br>Don't always complain, learn to be grateful.";"🐇 魏无羡总是抱怨蓝忘机太过严肃。";"<i>wèiwúxiàn zǒngshì bàoyuàn lánwàngjī tàiguò yánsù.</i><br></br>Wei Wuxian always complains that Lan Wangji is too serious.";"♻❈ 他倾听着她的抱怨。";"<i>tā qīngtīng zhe tā de bàoyuàn.</i><br></br>He listened attentively to her complaints."
"报道⠀";"bàodào";"/to report (news)/report/CL:篇[pian1],份[fen4]//to report (news)/report/CL:篇[piān],份[fèn]";"报 (report)";"Other words using this character: 报纸 (newspaper); 报名 (sign up); 报到 (report for duty); 报告 (report); 预报 (forecast); 报社 (newspaper)";"道 (way)";"Other words using this character: 知道 (know); 街道 (street); 道歉 (apologize); 难道 (could it be); 味道 (flavor); 道理 (reason); 打交道 (come into contact); 道德 (virtue); 地道 (authentic); 频道 (channel)";"❈ 这个新闻报道了政府的最新政策。";"<i>zhège xīnwénbàodào le zhèngfǔ de zuìxīn zhèngcè.</i><br></br>This news reported the government's latest policy.";"❈ 媒体报道了这个事件。";"<i>méitǐbàodào le zhège shìjiàn.</i><br></br>The media reported this event.";"❈ 报道显示，这个项目取得了巨大成功。";"<i>bàodào xiǎnshì, zhège xiàngmù qǔdé le jùdàchénggōng.</i><br></br>Reports show that this project has been a huge success.";"🐇 蓝曦臣报道了最新的修真界动态。";"<i>lánxīchén bàodào le zuìxīn de xiūzhēnjiè dòngtài.</i><br></br>Lan Xichen reported the latest news in the cultivation world.";"♻❈ 新闻报道应该保持中立。";"<i>xīnwénbàodào yīnggāi bǎochízhōnglì.</i><br></br>News reports should remain neutral."
"报社⠀";"bàoshè";"/newspaper (i.e. a company)/CL:家[jia1]//newspaper (i.e. a company)/CL:家[jiā]";"报 (report)";"Other words using this character: 报纸 (newspaper); 报名 (sign up); 报到 (report for duty); 报告 (report); 预报 (forecast); 报道 (report)";"社 (society)";"Other words using this character: 社会 (society)";"❈ 他在一家报社工作。";"<i>tā zài yījiā bàoshè gōngzuò.</i><br></br>He works at a newspaper company.";"❈ 这家报社每天都会发行报纸。";"<i>zhèjiā bàoshè měitiān dōu huì fāxíng bàozhǐ.</i><br></br>This newspaper company publishes newspapers every day.";"❈ 我想去报社实习。";"<i>wǒ xiǎng qù bàoshè shíxí.</i><br></br>I want to intern at a newspaper company.";"🐇 蓝曦臣在报社担任编辑，负责审核每一篇稿件。";"<i>lánxīchén zài bàoshè dānrèn biānjí, fùzé shěnhé měi yīpiān gǎojiàn.</i><br></br>Lan Xichen works as an editor at the newspaper, responsible for reviewing every article.";"♻❈ 我们应该回报社会。";"<i>wǒmen yīnggāi huíbào shèhuì.</i><br></br>We should give back to society."
"背⠀";"bēi||bèi";"/the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory/unlucky (slang)/hard of hearing//to be burdened; to carry on the back or shoulder||the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing";"背 (back)";"Other words using this character: 背景 (background); 后背 (the back)";"❈ 她背诵了一首诗。";"<i>tā bèisòng le yīshǒu shī.</i><br></br>She recited a poem from memory.";"❈ 他的背很疼。";"<i>tā de bèi hěn téng.</i><br></br>His back hurts.";"❈ 他背对着我。";"<i>tā bèiduìzhe wǒ.</i><br></br>He has his back turned to me.";"🐇 魏无羡背对着众人，默默地思索着解决问题的办法。";"<i>wèiwúxiàn bèiduìzhe zhòngrén, mòmòdì sīsuǒ zhe jiějuéwèntí de bànfǎ.</i><br></br>Wei Wuxian turned his back to the crowd, silently contemplating ways to solve the problem.";"♻❈ 老师让我们背课文。";"<i>lǎoshī ràng wǒmen bèi kèwén.</i><br></br>The teacher asked us to recite the text."
"本质⠀";"běnzhì";"/essence/nature/innate character/intrinsic quality//essence/nature/innate character/intrinsic quality";"本 (origin)";"Other words using this character: 本 (origin); 笔记本 (notebook); 本来 (original); 本科 (undergraduate); 本领 (skill); 根本 (fundamental); 基本 (basic)";"质 (character)";"Other words using this character: 质量 (quality); 物质 (matter); 性质 (nature)";"❈ 了解问题的本质很重要。";"<i>liǎojiě wèntí de běnzhì hěn zhòngyào.</i><br></br>Understanding the essence of the problem is important.";"❈ 美的本质是什么？";"<i>měidí běnzhì shì shénme?</i><br></br>What is the intrinsic quality of beauty?";"❈ 这个人的本质是善良的。";"<i>zhège rén de běnzhì shì shànliáng de.</i><br></br>The nature of this person is kind.";"🐇 金子轩的本质是自卑的。";"<i>jīnzi xuān de běnzhì shì zìbēi de.</i><br></br>Jin Zixuan's nature is self-deprecating.";"♻❈ 不要只看表面，要看本质。";"<i>bùyào zhǐ kàn biǎomiàn, yào kàn běnzhì.</i><br></br>Don't just look at the surface, look at the essence."
"彼此⠀";"bǐcǐ";"/each other; one another//each other; one another";"彼 (that)";"There are no other HSK words in this level (or before) using this character.";"此 (this)";"Other words using this character: 因此 (thus); 此外 (besides); 从此 (from now on)";"🐇 魏无羡和蓝忘机默默地看着彼此。";"<i>wèiwúxiàn hé lánwàngjī mòmòdì kànzhe bǐcǐ.</i><br></br>Wei Wuxian and Lan Wangji silently looked at each other.";"♻🐇 金凌和温情有共同话题，一起讨论医学知识，增长彼此的见识。";"<i>jīnlíng hé wēnqíng yǒu gòngtónghuàtí, yīqǐ tǎolùn yīxuézhīshí, zēngzhǎng bǐcǐ de jiànshi.</i><br></br>Jin Ling and Wen Qing have mutual chat material, discussing medical knowledge together, increasing each other's insights.";"♻❈ 他们经常拜访彼此。";"<i>tāmen jīngcháng bàifǎng bǐcǐ.</i><br></br>They often visit each other.";"♻❈ 在军营里，他们彼此成了战友。";"<i>zài jūnyíng lǐ, tāmen bǐcǐ chéng le zhànyǒu.</i><br></br>In the military camp, they became comrades-in-arms.";"♻❈ 谈恋爱需要彼此的理解和包容。";"<i>tánliànài xūyào bǐcǐ de lǐjiě hé bāoróng.</i><br></br>Dating requires mutual understanding and tolerance."
"毕竟⠀";"bìjìng";"/after all/all in all/when all is said and done/in the final analysis//after all/all in all/when all is said and done/in the final analysis";"毕 (to finish)";"Other words using this character: 毕业 (graduation)";"竟 (unexpectedly)";"Other words using this character: 竟然 (unexpectedly); 究竟 (finally)";"❈ 他毕竟是个孩子，需要我们的关心。";"<i>tā bìjìng shì gè háizi, xūyào wǒmen de guānxīn.</i><br></br>After all, he is a child and needs our care.";"❈ 毕竟，这是我们的责任。";"<i>bìjìng, zhèshì wǒmen de zérèn.</i><br></br>After all, this is our responsibility.";"❈ 这件事情毕竟还是解决了。";"<i>zhèjiàn shìqing bìjìng háishi jiějué le.</i><br></br>All in all, this matter was resolved.";"🐇 魏无羡毕竟是一代魔道祖师。";"<i>wèiwúxiàn bìjìng shì yīdài mó dào zǔshī.</i><br></br>After all, Wei Wuxian is a generation's demonic cultivator.";"🐇 蓝湛毕竟是云梦江氏的嫡系传人。";"<i>lánzhàn bìjìng shì yúnmèng jiāngshì de díxì chuánrén.</i><br></br>After all, Lan Zhan is the direct descendant of the Yunmeng Jiang sect."
"避免⠀";"bìmiǎn";"/to avert/to prevent/to avoid/to refrain from//to avert/to prevent/to avoid/to refrain from";"避 (avoid)";"Other words using this character: 逃避 (escape)";"免 (excuse)";"Other words using this character: 免费 (free); 难免 (hard to avoid)";"❈ 他们正在采取措施避免类似事件再次发生。";"<i>tāmen zhèngzài cǎiqǔcuòshī bìmiǎn lèisì shìjiàn zàicìfāshēng.</i><br></br>They are taking measures to prevent similar incidents from happening again.";"❈ 请避免在公共场合大声喧哗。";"<i>qǐng bìmiǎn zài gōnggòngchǎnghé dàshēng xuānhuá.</i><br></br>Please refrain from making loud noises in public places.";"❈ 为了避免交通拥堵，我们选择了坐地铁。";"<i>wèile bìmiǎn jiāotōngyōngdǔ, wǒmen xuǎnzé le zuòdìtiě.</i><br></br>In order to avoid traffic congestion, we chose to take the subway.";"🐇 蓝曦臣避免过多干涉弟弟的生活，尊重他的选择。";"<i>lánxīchén bìmiǎn guòduō gānshè dìdi de shēnghuó, zūnzhòng tā de xuǎnzé.</i><br></br>Lan Xichen refrains from interfering too much in his younger brother's life, respecting his choices.";"♻❈ 文化冲突是不可避免的。";"<i>wénhuàchōngtū shì bùkěbìmiǎn de.</i><br></br>Cultural conflicts are inevitable."
"编辑⠀";"biānjí";"/to edit/to compile/editor/compiler//to edit/to compile/editor/compiler";"编 (to weave)";"There are no other HSK words in this level (or before) using this character.";"辑 (to gather)";"Other words using this character: 逻辑 (logic)";"❈ 她是一名杂志编辑。";"<i>tā shì yīmíng zázhì biānjí.</i><br></br>She is a magazine editor.";"❈ 编辑这篇文章花了很多时间。";"<i>biānjí zhè piānwénzhāng huā le hěnduō shíjiān.</i><br></br>Editing this article took a lot of time.";"❈ 这本书是由多位编辑合作完成的。";"<i>zhè běnshū shì yóu duōwèi biānjí hézuò wánchéng de.</i><br></br>This book was compiled by multiple editors.";"🐇 魏无羡对自己的著作总是亲自编辑，不轻易交给他人。";"<i>wèiwúxiàn duì zìjǐ de zhùzuò zǒngshì qīnzì biānjí, bù qīngyì jiāogěi tārén.</i><br></br>Wei Wuxian always personally edits his own works and does not easily hand them over to others.";"♻🐇 蓝曦臣在报社担任编辑，负责审核每一篇稿件。";"<i>lánxīchén zài bàoshè dānrèn biānjí, fùzé shěnhé měi yīpiān gǎojiàn.</i><br></br>Lan Xichen works as an editor at the newspaper, responsible for reviewing every article."
