"指鹿为马";"zhǐ lù wéi mǎ";"To deliberately distort facts or misrepresent the truth in order to mislead or deceive others.";"Chengyu Story";"This idiom originates from a story during the Warring States period in ancient China. A corrupt court official named Zhao Gao tried to deceive the Qin emperor by insisting that a deer was actually a horse. Despite the emperor and his ministers knowing it was clearly a deer, Zhao Gao threatened them, forcing them to agree that it was a horse. This illustrates how Zhao Gao blatantly distorted the facts to serve his own agenda and maintain his power.";"指 (finger)";"Other words using this character: 手指 (finger; shǒuzhǐ); 戒指 (ring; jièzhi); 指着 (point; zhǐzhe); 指示牌 (sign; zhǐshìpái); 手指交叉 (cross fingers; shǒuzhǐ jiāochā); 指导 (guide; zhǐdǎo); 指甲 (fingernail; zhǐjia); 指头 (finger; zhǐtou); 指数 (index; zhǐshù); 指令 (order; zhǐlìng)";"鹿 (deer)";"Other words using this character: 老鹿蹒跚 (reluctant; lǎo lù pán shān)";"为 (as)";"Other words using this character: 以为 (think; yǐwéi); 以梦为马 (dream as a horse; yǐ mèng wéi mǎ); 变为 (change into; biànwéi); 视为 (view as; shìwéi); 成为一个医生 (chéngwéi yīgè yīshēng); 列为 (classify as; lièwéi); 称为 (to be called; chēngwéi); 成为 (become; chéngwéi); 见义勇为 (act courageously; jiànyìyǒngwéi); 为（动） (act as; wéi （ dòng ）)";"马 (horse)";"Other words using this character: 马上 (immediately; mǎshàng); 马路杀手 (poor driver; mǎ lù shā shǒu); 马车 (cart; mǎchē); 过马路 (cross street; guòmǎlù); 少年白马醉春风 (shàonián báimǎ zuì chūnfēng); 古罗马 (ancient Rome; gǔluómǎ); 马路 (street; mǎlù); 以梦为马 (dream as a horse; yǐ mèng wéi mǎ); 马蜂 (wasp; mǎfēng); 杀马特 (urban migrants; shāmǎtè)";"那个公司CEO试图指鹿为马,隐瞒财务报告中的重大问题。";"【nàgè gōngsī ceo shìtú zhǐlùwéimǎ , yǐnmán cáiwùbàogào zhōng de zhòngdà wèntí.】                                                                   The company’s CEO attempted to指鹿为马, concealing the significant issues in the financial report.";"online source";"wukongsch.com famous chengyu"
"杀鸡取卵";"shā jī qǔ luǎn";"To sacrifice long-term benefits or sustainability for the sake of short-term gains or quick profits.";"Chengyu Story";"This idiom refers to a short-sighted farmer who, in order to get the eggs from his chicken immediately, decides to kill the chicken. By doing so, he destroys the source of a continuous supply of eggs, harming his long-term interests.";"杀 (kill)";"Other words using this character: 回忆杀 (memory kill; huí yì shā); 马路杀手 (poor driver; mǎ lù shā shǒu); 摸头杀 (head caress; mō tóu shā); 抹杀 (erase; mǒshā); 相爱相杀 (Love-hate relationship; xiāngàixiāngshā); 杀死 (kill; shāsǐ); 杀马特 (urban migrants; shāmǎtè); 自杀 (suicide; zìshā); 杀毒 (disinfect; shādú); 马杀鸡 (massage; mǎshājī)";"鸡 (chicken)";"Other words using this character: 公鸡 (rooster; gōngjī); 麻辣鸡 (Nicki Minaj; má là jī); 煎鸡蛋 (fried egg; jiān jīdàn); 干了这碗毒鸡汤 (gān le zhè wǎn dú jī tāng); 炒鸡 (Extremely; chǎo jī); 煮鸡蛋 (boiled egg; zhǔ jīdàn); 炒鸡蛋 (scrambled eggs; chǎojīdàn); 母鸡 (hen; mǔjī); 鸡蛋碰石头 (jīdànpèngshítou); 鸡蛋 (egg; jīdàn)";"取 (take)";"Other words using this character: 取关 (To unfollow; qǔguān); 无理取闹 (provocative; wúlǐqǔnào); 索取 (ask; suǒqǔ); 取缔 (suppress; qǔdì); 领取 (to receive; lǐngqǔ); 取消 (cancel; qǔxiāo); 采取 (to adopt; cǎiqǔ); 争取 (strive for; zhēngqǔ); 听取 (hear; tīngqǔ); 取款 (withdraw; qǔkuǎn)";"卵 (egg)";"Other words using this character: 然并卵 (ultimately useless; ránbìngluǎn); 卵巢彩票 (lamentable; luǎn cháo cǎi piào)";"为了赚快钱,公司杀鸡取卵,大幅削减了研发投入。";"【wèile zhuàn kuài qián , gōngsī shājīqǔluǎn , dàfú xuējiǎn le yánfā tóurù.】                                                                   To make a quick profit, the company杀鸡取卵, drastically reducing its R&D investment.";"online source";"wukongsch.com famous chengyu"
"守株待兔";"shǒu zhū dài tù";"To passively wait for opportunities to come, rather than taking initiative to create or seek out those opportunities.";"Chengyu Story";"This idiom comes from a tale about a farmer who, after accidentally catching a rabbit in a tree stump, decided to wait by the same tree stump, hoping to catch more rabbits. He ended up waiting in vain for days, as no other rabbits came. This story illustrates the futility of passively waiting for opportunities to present themselves, rather than actively pursuing them.";"守 (guard)";"Other words using this character: 保守 (conservative; bǎoshǒu); 遵守 (comply; zūnshǒu); 守旧 (conservative; shǒujiù); 守护 (guard; shǒuhù); 防守 (defend; fángshǒu)";"株 (tree trunk)";"No other ci using this hanzi have been found";"待 (stay)";"Other words using this character: 等待 (wait; děngdài); 期待 (look forward to; qīdài); 待遇 (treatment; dàiyù); 看待 (look upon; kàndài); 亏待 (unfairly; kuīdài); 款待 (entertain; kuǎndài); 待会儿 (later; dāihuìr; also pr. dāi huǐ r or dāi hui r); 虐待 (mistreat; nüèdài); 接待客人 (receive guests; jiēdàikèrén); 对待 (treat; duìdài)";"兔 (rabbit)";"Other words using this character: 兔子 (rabbit; tùzi)";"面试官对那位求职者持守株待兔的态度,没有主动出击去寻找合适的人才。";"【miànshìguān duì nàwèi qiúzhízhě chí shǒuzhūdàitù de tàidu , méiyǒu zhǔdòngchūjī qù xúnzhǎo héshì de réncái.】                                                                   The interviewer’s守株待兔attitude towards the job applicant, not actively seeking out suitable candidates.";"online source";"wukongsch.com famous chengyu"
"洛阳纸贵";"Luò yáng zhǐ guì";"To describe something that is rare and expensive.";"Chengyu Story";"This idiom originates from a line of poetry by the Tang dynasty poet Li Shangyin, “The paper of Luoyang is precious, the fish of Xuancheng are fat.” During the Tang dynasty, the paper produced in Luoyang was of exceptionally high quality, making it a scarce and expensive luxury item.";"洛 (Luo)";"Other words using this character: 洛杉矶 (Los Angeles; luòshānjī)";"阳 (positive)";"Other words using this character: 夕阳 (sunset; xīyáng); 太阳女神 (Goddess Sun; tài yáng nǚ shén); 阳光 (sunshine; yángguāng); 太阳能 (solar energy; tàiyángnéng); 朝阳群众 (People of Chaoyang District; cháo yáng qún zhòng); 太阳 (sun; tàiyang); 阳台 (balcony; yángtái)";"纸 (paper)";"Other words using this character: 保险杠贴纸 (bǎoxiǎngàng tiēzhǐ); 纸老虎 (paper tiger; zhǐlǎohǔ); 报纸 (newspaper; bàozhǐ); 贴纸 (sticker; tiēzhǐ); 一张纸条 (a memo; yīzhāng zhǐtiáo)";"贵 (expensive)";"Other words using this character: 难能可贵 (valuable; nánnéngkěguì); 贵圈真乱 (scandalous; guìquānzhēnluàn); 宝贵 (valuable; bǎoguì); 昂贵 (expensive; ángguì); 贵族 (aristocrat; guìzú); 珍贵 (precious; zhēnguì)";"自从这位年轻作家的小说出版以来，洛阳纸贵，书店的库存很快就销售一空。";"【zìcóng zhèwèi niánqīng zuòjiā de xiǎoshuō chūbǎn yǐlái, luòyángzhǐguì, shūdiàn de kùcún hěnkuài jiù xiāoshòuyīkōng.】                                                                   Since the publication of this young writer’s novel, there has been such a high demand that the stock in bookstores has sold out quickly, reminiscent of the phrase ‘the price of paper in Luoyang becomes expensive’";"online source";"wukongsch.com famous chengyu"
"韦编三绝";"Wéi biān sān jué";"To describe someone who has reached the pinnacle of mastery in a particular skill or craft, without equal.";"Chengyu Story";"This idiom comes from the poetry of the Tang dynasty poet Wei Yingwu, who was renowned for his exceptional calligraphy skills. This sstory is about Wei Yingwu’s calligraphic works were considered to be of the highest possible standard, unparalleled in their excellence.";"韦";"No other ci using this hanzi have been found";"编 (to weave)";"Other words using this character: 著名编剧谈抄袭 (zhùmíng biānjù tán chāoxí); 编程 (program; biānchéng); 编制 (compile; biānzhì); 编织 (weave; biānzhī); 编程能力 (Programming ability; biānchéng nénglì); 编辑 (edit; biānjí); 编剧 (write a play; biānjù)";"三 (three)";"Other words using this character: 把三只小猫留下 (bǎ sānzhǐ xiǎomāo liúxià); 前三天 (first three days; qiánsāntiān); 两-三年 (2-3 years; liǎng - sānnián); 三分之二 (no definition; sānfēnzhīèr); 六尺三寸 (six feet three inches; liùchǐ sāncùn); 再三 (over and over; zàisān); 三月六号 (March 6th; sānyuè liùhào); 后三天 (latter three days; hòu sāntiān); 三连 (A string of three; sān lián); 三石弟弟 (Three-stone Brother; sān shí dì dì)";"绝 (extinct)";"Other words using this character: 杜绝 (put an end to; dùjué); 断绝 (sever; duànjué); 络绎不绝 (continuously; luòyìbùjué); 绝望 (despair; juéwàng); 绝对 (absolute; juéduì); 滔滔不绝 (talkative; tāotāobùjué); 拒绝 (refuse; jùjué); 绝大多数 (vast majority; juédàduōshù); 谢绝 (refuse; xièjué); 空前绝后 (unprecedented; kōngqiánjuéhòu)";"张教授为了准备这次的讲座，几乎把图书馆的历史文献翻了个遍，他的认真程度可以用韦编三绝来形容。";"【zhāng jiàoshòu wèile zhǔnbèi zhècì de jiǎngzuò, jīhū bǎ túshūguǎn de lìshǐwénxiàn fān le gè biàn, tā de rènzhēn chéngdù kěyǐ yòng wéibiānsānjué lái xíngróng.】                                                                   Professor Zhang, in preparation for his lecture, nearly combed through every historical document in the library, his dedication to the task could be described as “repeatedly breaking the thongs binding the bamboo slips,” echoing the profound commitment embodied in the idiom “wéi biān sān jué.”";"online source";"wukongsch.com famous chengyu"
"凿壁透光";"Záo bì tòu guāng";"To metaphorically describe finding a solution to a problem through one’s own efforts and persistence.";"Chengyu Story";"This idiom originates from a story in the classical Chinese text “Zhuangzi”. In the story, a man named Ranchao was trying to solve a problem, but was stuck. One day, he noticed a beam of light shining through a crack in the wall, and realized that by chiseling a hole in the wall, he could let in more light and better see the solution to his problem.";"凿";"No other ci using this hanzi have been found";"壁 (wall)";"Other words using this character: 墙壁 (wall; qiángbì); 壁咚 (force against wall; bì dōng); 嫉妒使我质壁分离 (jì dù shǐ wǒ zhì bì fēn lí); 隔壁老王 (neighbor; gébìlǎowáng); 隔壁 (neighbor; gébì); 次元壁 (boundaries of fields; cì yuán bì); 悬崖峭壁 (sheer cliffs; xuányáqiàobì)";"透 (penetrate)";"Other words using this character: 小透明 (nobody; xiǎo tòu míng); 透露 (reveal; tòulù); 路透 (Reuters; lùtòu); 渗透 (permeate; shèntòu); 我不想给你剧透 (wǒ bùxiǎng gěi nǐ jùtòu); 剧透 (spoiler; jùtòu); 透明 (transparent; tòumíng)";"光 (light)";"Other words using this character: 时光 (time; shíguāng); 光辉 (radiance; guānghuī); 阳光 (sunshine; yángguāng); 光是吃 (only eat; guāngshì chī); 光盘 (compact disc; guāngpán); 光谱 (spectrum; guāngpǔ); 主角光环 (main character's halo; zhǔ jué guāng huán); 沾光 (bask in the light; zhānguāng); 观光 (sightseeing; guānguāng); 高光时刻 (glamorous; gāo guāng shí kè)";"小明凿壁透光，勤学不倦，终于考上了理想大学。";"【xiǎomíng záo bì tòuguāng, qínxué bùjuàn, zhōngyú kǎoshàng le lǐxiǎng dàxué.】                                                                   Xiaoming, by dint of his diligence and ceaseless study, metaphorically ‘pierced the wall to let light in,’ and finally got admitted to his dream university.";"online source";"wukongsch.com famous chengyu"
"事半功倍";"shì bàn gōng bèi";"To accomplish a task efficiently and effectively, often with less effort or resources than would typically be required.";"Chengyu Story";"This idiom suggests that by using the right methods and strategies, one can achieve more with less effort, similar to the concept of “working smarter, not harder.” The idea is that the proper application of skills and resources can lead to a disproportionately greater outcome compared to the input.";"事 (matter)";"Other words using this character: 好事 (meddlesome; hǎoshì||hàoshì); 事态 (situation; shìtài); 事迹 (achievement; shìjì); 事先 (in advance; shìxiān); 办事处 (office; bànshìchù); 当事人 (involved; dāngshìrén); 六四事件 (Tiananmen Incident; liùsìshìjiàn); 启事 (announcement; qǐshì); 刑事 (criminal; xíngshì); 失事 (accident; shīshì)";"半 (half)";"Other words using this character: 半途而废 (give up halfway; bàntúérfèi); 半音 (semitone; bànyīn); 多半 (mostly; duōbàn); 半年 (half year; bànnián); 半夜 (midnight; bànyè); 一半 (half; yībàn); 半决赛 (semifinals; bànjuésài); 一年半前 (A year and a half ago; yīnián bànqián); 半天 (quite a while; bàntiān)";"功 (achievement)";"Other words using this character: 功课 (homework; gōngkè); 用功 (diligent; yònggōng); 功夫 (skill; gōngfu); 急功近利 (shortsighted; jígōngjìnlì); 功劳 (contribution; gōngláo); 功效 (efficacy; gōngxiào); 成功 (succeed; chénggōng); 气功 (qigong; qìgōng); 功能 (function; gōngnéng)";"倍 (-fold)";"No other ci using this hanzi have been found";"我们通过精心策划和高效执行,事半功倍地完成了这个项目。";"【wǒmen tōngguò jīngxīncèhuà hé gāoxiào zhíxíng , shìbàngōngbèi dì wánchéng le zhège xiàngmù.】                                                                   Through careful planning and efficient execution, we were able to accomplish this project with half the effort.";"online source";"wukongsch.com famous chengyu"
"画龙点睛";"huà lóng diǎn jīng";"To add the final, crucial touches that make something complete and perfect, transforming it into a masterpiece.";"Chengyu Story";"This idiom originates from the ancient Chinese art of painting dragons. It was believed that the final step of adding the pupils to the dragon’s eyes was the key to bringing the painting to life and making it truly captivating. The idea is that the small, final touch can make a significant difference in the overall quality and impact of a work.";"画 (to draw)";"Other words using this character: 漫画 (cartoon; mànhuà); 图画 (drawing; túhuà); 绘画 (draw; huìhuà); 画风突变 (unexpected twist; huà fēng tū biàn); 一幅画 (painting; yīfú huà); 动画片 (animated film; dònghuàpiàn); 画儿 (picture; huàr); 画家 (painter; huàjiā); 画面 (scene; huàmiàn); 画画 (draw; huàhuà)";"龙 (dragon)";"Other words using this character: 龙虾 (lobster; lóngxiā); 水龙头 (faucet; shuǐlóngtóu)";"点 (point)";"Other words using this character: 绩点 (GPA; jìdiǎn); 优点 (merit; yōudiǎn); 百分点 (percentage point; bǎifēndiǎn); 终点 (end; zhōngdiǎn); 热点 (hot spot; rèdiǎn); 点心 (pastry; diǎnxin); 观点 (viewpoint; guāndiǎn); 稍微有点儿冷 (shāowēi yǒudiǎnr lěng); 槽点满满 (Full of problems; cáo diǎn mǎn mǎn); 重点 (focus; chóngdiǎn||zhòngdiǎn)";"睛 (eye)";"Other words using this character: 光线很晃眼睛 (guāngxiàn hěnhuǎng yǎnjīng); 一只眼睛 (one eye; yīzhī yǎnjīng); 眼睛 (eye; yǎnjing); 眼睛亮了 (Starry-eyed; yǎnjīng liàng le); 一双眼睛 (pair of eyes; yīshuāng yǎnjīng)";"导演对这部电影进行最后的小小修改,画龙点睛,使其成为了一部杰作。";"【dǎoyǎn duì zhèbù diànyǐng jìnxíng zuìhòu de xiǎoxiǎo xiūgǎi , huàlóngdiǎnjīng , shǐ qí chéngwéi le yībù jiézuò.】                                                                   The director’s final小小改动画龙点睛, transforming the film into a masterpiece.";"online source";"wukongsch.com famous chengyu"
"纸上谈兵";"zhǐ shàng tán bīng";"To discuss strategies and plans only on paper, without taking concrete action.";"Chengyu Story";"This Chinese idiom comes from a story in the “Historical Records”. Qin dynasty general Li Xin suffered a defeat in battle, but his military advisor only discussed strategies on paper without any real military action. This behavior of only theorizing on paper without actual implementation is called “纸上谈兵”.";"纸 (paper)";"Other words using this character: 保险杠贴纸 (bǎoxiǎngàng tiēzhǐ); 纸老虎 (paper tiger; zhǐlǎohǔ); 报纸 (newspaper; bàozhǐ); 贴纸 (sticker; tiēzhǐ); 一张纸条 (a memo; yīzhāng zhǐtiáo)";"上 (above)";"Other words using this character: 上演 (to stage; shàngyǎn); 网上 (online; wǎngshàng); 上网 (online; shàngwǎng); 上下 (up and down; shàngxià); 上班 (go to work; shàngbān); 上市 (listed; shàngshì); 楼上 (upstairs; lóushàng); 上个月 (last month; shànggèyuè); 一路上 (along the way; yīlùshàng); 上楼 (go upstairs; shànglóu)";"谈 (to speak)";"Other words using this character: 谈话 (conversation; tánhuà); 著名编剧谈抄袭 (zhùmíng biānjù tán chāoxí); 侃侃而谈 (speak frankly; kǎnkǎnértán); 座谈会 (conference; zuòtánhuì); 谈恋爱 (courtship; tánliànài); 谈判 (negotiate; tánpàn); 会谈 (talks; huìtán); 洽谈 (discuss; qiàtán)";"兵 (soldiers)";"Other words using this character: 一队士兵 (a group of soldiers; yīduì shìbīng); 士兵 (soldier; shìbīng); 特种兵式旅游 (tèzhǒngbīng shì lǚyóu)";"李经理在会议上提出了很多策略，但他从未亲自执行过任何一项，这就像是纸上谈兵，让人怀疑他的实际操作能力。";"【lǐjīnglǐ zài huìyì shàng tíchū le hěnduō cèlüè, dàn tā cóngwèi qīnzì zhíxíng guò rènhé yīxiàng, zhè jiù xiàngshì zhǐshàngtánbīng, ràng rén huáiyí tā de shíjìcāozuò nénglì.】                                                                   During the meeting, Manager Li proposed numerous strategies, but he had never personally executed any of them himself. It felt like armchair generalship, raising doubts about his ability to apply theory in practice.";"online source";"wukongsch.com famous chengyu"
"揠苗助长";"yà miáo zhù zhǎng";"To be impatient for success and use inappropriate methods that end up hindering the normal progress of things.";"Chengyu Story";"This Chinese idiom describes a person who, in order to make a young seedling grow faster, pulls it up. This not only fails to help, but ends up killing the seedling. It metaphorically refers to someone who is impatient for success and uses inappropriate methods, which ends up hindering the normal development of things.";"揠";"No other ci using this hanzi have been found";"苗 (sprout)";"Other words using this character: 苗条 (slim; miáotiao); 拔苗助长 (spoil things; bámiáozhùzhǎng); 疫苗 (vaccine; yìmiáo); 打疫苗 (vaccination; dǎ yìmiáo)";"助 (to help)";"Other words using this character: 协助 (assist; xiézhù); 得（助动词） (děi); 拔苗助长 (spoil things; bámiáozhùzhǎng); 谢谢你的帮助 (xièxie nǐ de bāngzhù); 补助 (subsidize; bǔzhù); 助手 (assistant; zhùshǒu); 捐助 (donate; juānzhù); 赞助 (support; zànzhù); 救助 (aid; jiùzhù); 借助 (draw support; jièzhù)";"长 (length)";"Other words using this character: 校长 (president; xiàozhǎng); 生长 (grow; shēngzhǎng); 长假 (vacation; chángjià); 长江 (Yangtze River; chángjiāng); 班长 (class monitor; bānzhǎng); 长远 (long-term; chángyuǎn); 过长 (too long; guòcháng); 增长 (grow; zēngzhǎng); 局长 (bureau chief; júzhǎng); 拔苗助长 (spoil things; bámiáozhùzhǎng)";"父母对孩子过度的保护和溺爱，其实是在揠苗助长，不利于孩子独立性格的培养。";"【fùmǔ duì háizi guòdù de bǎohù hé nìài, qíshí shì zài yàmiáozhùzhǎng, bùlìyú háizi dúlì xìnggé de péiyǎng.】                                                                   Parents’ over-protection and indulgence of their children is akin to helping rice seedlings grow by pulling them up, which does not foster independence.";"online source";"wukongsch.com famous chengyu"
"买椟还珠";"mǎi dú huán zhū";"To unknowingly exchange valuable things for something of much less value.";"Chengyu Story";"This Chinese idiom comes from a story about a person who buys what appears to be an ordinary small box, but inside it contains invaluable pearls. Due to his ignorance, he ends up exchanging precious resources for something of little value.";"买 (buy)";"Other words using this character: 买方 (buyer; mǎifāng); 买单 (pay bill; mǎidān); 给她买一个包包 (gěi tā mǎi yīgè bāobāo); 买菜 (buy food; mǎicài); 买买买 (splurge; mǎi mǎi mǎi); 买家秀 (customer’s demo; mǎi jiā xiù); 刘奶奶去买牛奶 (liú nǎinai qù mǎi niúnǎi); 准备好/ 买好票 (zhǔnbèi hǎo /   mǎihǎo piào); 购买 (purchase; gòumǎi); 买卖 (business; mǎimài)";"椟";"No other ci using this hanzi have been found";"还 (still)";"Other words using this character: 偿还 (repay; chánghuán); 还有 (remain; háiyǒu); 还有这种操作 (hái yǒu zhè zhǒng cāo zuò); 讨价还价 (bargain; tǎojiàhuánjià); 还是 (still; háishi); 还（动词） (huán); 还没想好 (haven't decided yet; huán méixiǎng hǎo); 还原 (restore; huányuán); 无论热还是不热 (wúlùn rè háishi bùrè); 归还 (return; guīhuán)";"珠 (pearl)";"Other words using this character: 珍珠 (pearl; zhēnzhū); 珠宝 (jewels; zhūbǎo); 圆珠笔 (ballpoint pen; yuánzhūbǐ)";"只注重外表而忽视内在品质，就如同买椟还珠，得不偿失。";"【zhǐ zhùzhòng wàibiǎo ér hūshì nèizài pǐnzhì, jiù rútóng mǎidúhuánzhū, débùchángshī.】                                                                   Focusing solely on appearance while ignoring inner quality is like buying the casket and returning the pearl, resulting in a poor trade.";"online source";"wukongsch.com famous chengyu"
