"走廊";"zǒuláng";"hallway; corridor";"走 (to walk)";"Other words using this character: 走路 (to walk; zǒulù); 走开 (to go away; zǒukāi)";"廊 (corridor)";"Other words using this character: 画廊 (art gallery; huàláng); 发廊 (hair salon; fàláng)";"usage notes";"走廊 (zǒuláng) refers to a long passage in a building from which doors lead into rooms. It is the most common word for 'hallway' or 'corridor.' 过道 (guòdào) is similar but can also mean an 'aisle' (e.g., on a plane) and emphasizes the function of passing through.";"❈ 请在走廊里保持安静。";"【qǐng zài zǒuláng lǐ bǎochí ānjìng.】                                                                   Please keep quiet in the hallway.";"❈ 他沿着走廊走到办公室。";"【tā yánzhe zǒuláng zǒu dào bàngōngshì.】                                                                   He walked along the corridor to the office.";"❈ 学校的走廊里挂满了学生们的画。";"【xuéxiào de zǒuláng lǐ guà mǎnle xuéshēngmen de huà.】                                                                   The school's hallways are filled with students' paintings.";"🐇 云深不知处的藏书阁外有一条长长的走廊，蓝忘机常在那里等魏无羡。";"【yún shēn bùzhī chù de cángshū gé wài yǒu yītiáo cháng cháng de zǒuláng, lán wàngjī cháng zài nàlǐ děng wèi wúxiàn.】                                                                   Outside the Library Pavilion in the Cloud Recesses, there is a long corridor where Lan Wangji often waited for Wei Wuxian.";"origin";"Min"
"主卧";"zhǔwò";"master bedroom";"主 (main; master)";"Other words using this character: 主要 (main; zhǔyào); 主人 (owner; host; zhǔrén)";"卧 (to lie down)";"Other words using this character: 卧室 (bedroom; wòshì); 卧铺 (sleeper berth; wòpù)";"usage notes";"主卧 (zhǔwò) is a compound of 主 (zhǔ - main) and 卧 (wò - short for 卧室 wòshì, bedroom). It is the standard term for the master bedroom. The secondary bedroom is called 次卧 (cìwò).";"❈ 这套公寓的主卧带一个独立卫生间。";"【zhè tào gōngyù de zhǔwò dài yīgè dúlì wèishēngjiān.】                                                                   The master bedroom of this apartment comes with an en-suite bathroom.";"❈ 主卧的窗户朝南，采光很好。";"【zhǔwò de chuānghù cháo nán, cǎiguāng hěn hǎo.】                                                                   The master bedroom's window faces south, so it gets a lot of light.";"❈ 他们把最大的房间作为主卧，次卧给了孩子。";"【tāmen bǎ zuìdà de fángjiān zuòwéi zhǔwò, cìwò gěile háizi.】                                                                   They used the largest room as the master bedroom and gave the secondary bedroom to the child.";"🐇 江厌离和金子轩在金麟台的主卧，装饰得富丽堂皇。";"【jiāng yànlí hé jīn zixuān zài jīnlín tái de zhǔwò, zhuāngshì dé fùlìtánghuáng.】                                                                   Jiang Yanli and Jin Zixuan's master bedroom at Koi Tower was decorated magnificently.";"origin";"Min"
"承包商";"chéngbāoshāng";"contractor";"承 (to undertake)";"Other words using this character: 承认 (to admit; chéngrèn); 承担 (to bear; chéngdān)";"包 (to contract; to wrap)";"Other words using this character: 包括 (to include; bāokuò); 包子 (steamed bun; bāozi)";"商 (business; merchant)";"Other words using this character: 商店 (shop; shāngdiàn); 商人 (businessman; shāngrén)";"usage notes";"承包商 (chéngbāoshāng) refers to a contractor, an individual or company that undertakes a contract. It's a formal term used in business and construction. A general contractor is a 总承包商 (zǒng chéngbāoshāng).";"❈ 我们需要找一个可靠的承包商来装修房子。";"【wǒmen xūyào zhǎo yīgè kěkào de chéngbāoshāng lái zhuāngxiū fángzi.】                                                                   We need to find a reliable contractor to renovate the house.";"❈ 承包商保证项目将按时完成。";"【chéngbāoshāng bǎozhèng xiàngmu jiāng ànshí wánchéng.】                                                                   The contractor guarantees the project will be completed on time.";"❈ 他是一家建筑公司的总承包商。";"【tā shì yījiā jiànzhú gōngsī de zǒng chéngbāoshāng.】                                                                   He is a general contractor for a construction company.";"🐇 莲花坞被烧毁后，江澄需要找到最好的工匠和承包商来重建它。";"【liánhuā wù bèi shāohuǐ hòu, jiāng chéng xūyào zhǎodào zuì hǎo de gōngjiàng hé chéngbāoshāng lái chóngjiàn tā.】                                                                   After Lotus Pier was burned down, Jiang Cheng needed to find the best craftsmen and contractors to rebuild it.";"origin";"Min"
"更新";"gēngxīn";"to update; to renew";"更 (to change; replace)";"Other words using this character: 更改 (to alter; gēnggǎi); 更换 (to replace; gēnghuàn)";"新 (new)";"Other words using this character: 新年 (New Year; xīnnián); 新闻 (news; xīnwén)";"usage notes";"更新 (gēngxīn) is a common verb used for updating software, renewing a passport, or refreshing information. It implies replacing something old with something new.";"❈ 请记得更新你的手机软件。";"【qǐng jìdé gēngxīn nǐ de shǒujī ruǎnjiàn.】                                                                   Please remember to update your phone's software.";"❈ 这个网站每天都更新新闻。";"【zhège wǎngzhàn měitiān dū gēngxīn xīnwén.】                                                                   This website updates its news every day.";"❈ 我需要去大使馆更新我的护照。";"【wǒ xūyào qù dàshǐ guǎn gēngxīn wǒ de hùzhào.】                                                                   I need to go to the embassy to renew my passport.";"🐇 小说作者宣布，她会每周更新《魔道祖师》的番外篇。";"【xiǎoshuō zuòzhě xuānbù, tā huì měi zhōu gēngxīn “módào zǔshī” de fānwài piān.】                                                                   The author announced she would update the extras for 'The Untamed' every week.";"origin";"Min"
"优雅";"yōuyǎ";"elegant; graceful";"优 (excellent; superior)";"Other words using this character: 优秀 (outstanding; yōuxiù); 优点 (merit; yōudiǎn)";"雅 (graceful; refined)";"Other words using this character: 雅致 (elegant; refined; yǎzhì); 文雅 (elegant; cultured; wényǎ)";"usage notes";"优雅 (yōuyǎ) is an adjective used to describe someone's movement, manner, or appearance as being graceful and stylishly beautiful. It can also describe environments or objects.";"❈ 她的舞姿非常优雅。";"【tā de wǔzī fēicháng yōuyǎ.】                                                                   Her dancing posture is very elegant.";"❈ 这位女士的举止十分优雅。";"【zhè wèi nǚshì de jǔzhǐ shífēn yōuyǎ.】                                                                   This lady's demeanor is extremely graceful.";"❈ 房间的布置简约而优雅。";"【fángjiān de bùzhì jiǎnyuē ér yōuyǎ.】                                                                   The room's decoration is simple yet elegant.";"🐇 蓝忘机的举手投足都带着一种与生俱来的优雅。";"【lán wàngjī de jǔshǒutóuzú dōu dàizhe yī zhǒng yǔshēngjùlái de yōuyǎ.】                                                                   Every movement of Lan Wangji carried an innate elegance.";"origin";"Min"
"滚";"gǔn";"to roll; to boil; (impolite) get lost!";"滚 (to roll)";"Other words using this character: 滚蛋 (get lost!; gǔndàn); 滚动 (to scroll; gǔndòng)";"";"";"usage notes";"滚 (gǔn) has three main uses.                                                                   1. To roll or tumble: 球滚走了 (qiú gǔn zǒule) - The ball rolled away.                                                                   2. For water to come to a rolling boil: 水滚了 (shuǐ gǔnle) - The water is boiling.                                                                   3. As a very rude command to 'Get lost!' or 'Scram!': 滚开! (gǔnkāi!) or just 滚! (gǔn!). Use with caution.";"❈ 球滚到了桌子下面。";"【qiú gǔn dàole zhuōzi xiàmiàn.】                                                                   The ball rolled under the table.";"❈ 水滚了，可以下面条了。";"【shuǐ gǔnle, kěyǐ xià miàntiáole.】                                                                   The water is boiling, you can put the noodles in.";"❈ 他生气地对那个人喊道：“滚！”";"【tā shēngqì de duì nàgè rén hǎndào: “Gǔn!”】                                                                   He angrily shouted at that person: 'Get lost!'";"🐇 温晁对魏无羡怒吼道：“给我滚出去！”";"【wēn cháo duì wèi wúxiàn nùhǒu dào:“Gěi wǒ gǔn chūqù!”】                                                                   Wen Chao roared at Wei Wuxian: 'Get the hell out!'";"origin";"Min"
"防水";"fángshuǐ";"waterproof";"防 (to prevent; to guard against)";"Other words using this character: 预防 (to prevent; yùfáng); 国防 (national defense; guófáng)";"水 (water)";"Other words using this character: 水果 (fruit; shuǐguǒ); 水平 (level; standard; shuǐpíng)";"usage notes";"防水 (fángshuǐ) is an adjective meaning 'waterproof.' It is commonly used to describe materials, clothing, or electronics that are resistant to water. Other similar compounds include 防火 (fánghuǒ - fireproof) and 防弹 (fángdàn - bulletproof).";"❈ 这款手表是防水的。";"【zhè kuǎn shǒubiǎo shì fángshuǐ de.】                                                                   This watch is waterproof.";"❈ 我买了一件防水的冲锋衣去登山。";"【wǒ mǎile yī jiàn fángshuǐ de chōngfēngyī qù dēngshān.】                                                                   I bought a waterproof jacket for hiking.";"❈ 卫生间的装修一定要做好防水层。";"【wèishēngjiān de zhuāngxiū yīdìng yào zuò hǎo fángshuǐ céng.】                                                                   The bathroom renovation must have a good waterproof layer.";"🐇 魏无羡发明的符咒中，有一些甚至可以做到防水防火。";"【wèi wúxiàn fāmíng de fúzhòu zhōng, yǒu yīxiē shènzhì kěyǐ zuò dào fángshuǐ fánghuǒ.】                                                                   Among the talismans invented by Wei Wuxian, some could even be waterproof and fireproof.";"origin";"Min"
"出轨";"chūguǐ";"to cheat (in a relationship); to have an affair";"出 (to go out; to exceed)";"Other words using this character: 出去 (to go out; chūqù); 出现 (to appear; chūxiàn)";"轨 (track; rail)";"Other words using this character: 轨道 (orbit; track; guǐdào); 越轨 (to go off the rails; yuèguǐ)";"usage notes";"出轨 (chūguǐ) literally means 'to go off the rails' and is the most common term for cheating on a romantic partner or having an affair. It applies to both married and unmarried couples. A more formal term for an extramarital affair is 婚外情 (hūnwàiqíng).";"❈ 他发现他的妻子出轨了。";"【tā fāxiàn tā de qīzi chūguǐle.】                                                                   He discovered his wife was cheating on him.";"❈ 这部电视剧的剧情围绕着一个出轨的故事展开。";"【zhè bù diànshìjù de jùqíng wéirào zhe yīgè chūguǐ de gùshì zhǎnkāi.】                                                                   The plot of this TV drama revolves around a story of infidelity.";"❈ 出轨是对伴侣最大的背叛。";"【chūguǐ shì duì bànlǚ zuìdà de bèipàn.】                                                                   Cheating is the greatest betrayal of a partner.";"🐇 金光瑶虽然娶了秦愫，但他对其他女子也并非忠诚，可以说是出轨了。";"【jīn guāngyáo suīrán qǔle qín sù, dàn tā duì qítā nǚzǐ yě bìngfēi zhōngchéng, kěyǐ shuō shì chūguǐle.】                                                                   Although Jin Guangyao married Qin Su, he was not faithful to other women, which can be described as cheating.";"origin";"Min"
"字体";"zìtǐ";"font; typeface; style of handwriting";"字 (character; word)";"Other words using this character: 汉字 (Chinese character; hànzì); 名字 (name; míngzì)";"体 (form; style; body)";"Other words using this character: 身体 (body; shēntǐ); 体育 (physical education; tǐyù)";"usage notes";"字体 (zìtǐ) is the standard word for 'font' or 'typeface' in writing and computing. It can also refer to a person's style of handwriting.";"❈ 你能把这个文件的字体调大一点吗？";"【nǐ néng bǎ zhège wénjiàn de zìtǐ tiáo dà yīdiǎn ma?】                                                                   Can you make the font of this document a bit larger?";"❈ 我很喜欢这种书法的字体。";"【wǒ hěn xǐhuān zhè zhǒng shūfǎ de zìtǐ.】                                                                   I really like this style of calligraphy font.";"❈ 他的字体很漂亮，很容易辨认。";"【tā de zìtǐ hěn piàoliang, hěn róngyì biànrèn.】                                                                   His handwriting is beautiful and easy to recognize.";"🐇 蓝启仁先生的板书字体公正有力，一丝不苟，就像他本人一样。";"【lán qǐrén xiānshēng de bǎnshū zìtǐ gōngzhèng yǒulì, yīsībùgǒu, jiù xiàng tā běnrén yīyàng.】                                                                   Mr. Lan Qiren's handwriting on the blackboard is upright and powerful, meticulously neat, just like him.";"origin";"Min"
"委婉";"wěiwǎn";"euphemistic; tactful; indirect";"委 (to entrust)";"Other words using this character: 委员会 (committee; wěiyuánhuì); 委屈 (to feel wronged; wěiqu)";"婉 (tactful; graceful)";"Other words using this character: 婉约 (graceful and gentle; wǎnyuē); 婉拒 (to politely decline; wǎnjù)";"usage notes";"委婉 (wěiwǎn) describes a way of speaking that is indirect and tactful, often to avoid being offensive or blunt. It is the opposite of 直接 (zhíjiē - direct). A common use is in '委婉地拒绝' (wěiwǎn de jùjué) - to tactfully refuse.";"❈ 他用非常委婉的方式拒绝了我的请求。";"【tā yòng fēicháng wěiwǎn de fāngshì jùjuéle wǒ de qǐngqiú.】                                                                   He rejected my request in a very tactful way.";"❈ 有时候，我们需要用委婉的语言来表达批评。";"【yǒu shíhòu, wǒmen xūyào yòng wěiwǎn de yǔyán lái biǎodá pīpíng.】                                                                   Sometimes, we need to use euphemistic language to express criticism.";"❈ 这是一个比较委婉的说法。";"【zhè shì yīgè bǐjiào wěiwǎn de shuōfǎ.】                                                                   This is a relatively indirect way of putting it.";"🐇 蓝曦臣总是能用最委婉的方式，让别人明白蓝忘机真实的想法。";"【lán xīchén zǒng shì néng yòng zuì wěiwǎn de fāngshì, ràng biérén míngbái lán wàngjī zhēnshí de xiǎngfǎ.】                                                                   Lan Xichen is always able to use the most tactful ways to let others understand Lan Wangji's true thoughts.";"origin";"Min"
"键盘侠";"jiànpánxiá";"keyboard warrior";"键 (key)";"Other words using this character: 键盘 (keyboard; jiànpán); 关键 (key point; guānjiàn)";"盘 (plate; disk)";"Other words using this character: 盘子 (plate; pánzi); 硬盘 (hard drive; yìngpán)";"侠 (hero; chivalrous person)";"Other words using this character: 大侠 (great hero; dàxiá); 侠客 (swordsman; xiákè)";"usage notes";"键盘侠 (jiànpánxiá) is a popular internet slang term. It refers to people who are aggressive, critical, and self-righteous online, but may be completely different in real life. It's a sarcastic term, combining 'keyboard' with 'hero.'";"❈ 别理那个键盘侠，他只是想引战。";"【bié lǐ nàgè jiànpánxiá, tā zhǐshì xiǎng yǐnzhàn.】                                                                   Ignore that keyboard warrior, he just wants to start a fight.";"❈ 很多键盘侠在网上发表不负责任的言论。";"【hěn duō jiànpánxiá zài wǎngshàng fābiǎo bù fù zérèn de yánlùn.】                                                                   Many keyboard warriors post irresponsible comments online.";"❈ 做一个理性的人，不要做键盘侠。";"【zuò yīgè lǐxìng de rén, bùyào zuò jiànpánxiá.】                                                                   Be a rational person, don't be a keyboard warrior.";"🐇 如果修真界有网络，那些背后议论魏无羡的人都会成为键盘侠。";"【rúguǒ xiūzhēn jiè yǒu wǎngluò, nàxiē bèihòu yìlùn wèi wúxiàn de rén dōu huì chéngwéi jiànpánxiá.】                                                                   If the cultivation world had the internet, those who gossip about Wei Wuxian behind his back would all become keyboard warriors.";"origin";"Min"
