乃	to be; thus; so; therefore; then; only; thereupon
义	surname Yi; abbr. for 義大利|义大利[Yi4 da4 li4], Italy; justice; righteousness; meaning; foster; adopted; artificial; relationship; friendship
乓	bang
伏	surname Fu; to lean over; to fall; to hide; to conceal oneself; to lie low; hottest days of summer; to submit; to concede defeat; to overcome; to subdue; volt
保	Bulgaria; to defend; to protect; to keep; to guarantee; to ensure; civil administration unit in the baojia 保甲[bao3 jia3] system
倒	to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change; to move around; to resell at a profit; to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet
像	to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping
劣	inferior
劳	to toil; labor; laborer; to put sb to trouble; meritorious deed; to console
包	surname Bao; to cover; to wrap; to hold; to include; to take charge of; to contract; package; wrapper; container; bag; to hold or embrace; bundle; packet; bag or purse etc; small bump or pimple; hillock
去	to go; to go to; last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die; to play; to go in order to do sth; ; 
叶	to be in harmony; surname Ye; leaf; page; lobe; period; classifier for small boats
叹	to sigh; to exclaim
吨	ton; Taiwan pr. [dun4]
吼	to roar; to howl; to shriek; roar or howl of an animal; bellow of rage
呻	to recite; to chant; to intone; groan
咱	see 咱[zan2]; I or me; we
哗	bang; clang; sound of gurgling, splashing or flowing water; wow; clamor; noise; sound used to call cats; sound of gurgling water
唱	to sing; to call loudly; to chant
啸	to whistle; to screech; to howl; to roar
喵	meow; cat's mewing
嗑	to crackbetween one's teeth
堤	dike; Taiwan pr. [ti2]
天	day; sky; heaven; every day
女	female; woman; daughter
封	surname Feng; to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters
屁	fart; flatulence; nonsense; what; a damn thing; buttocks; bottom
岸	bank; shore; beach; coast
弹	crossball; bullet; shot; shell; ball; to pluck; to play; to spring or leap; to shoot; to fluff or tease; to flick; to flip; to accuse; to impeach; elastic
恤	anxiety; sympathy; to sympathize; to give relief; to compensate; anxiety; sympathy; to sympathize; to give relief; to compensate
恩	favor; grace; kindness
惭	ashamed
意	Italy; Italian; idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate
扒	to peel; to skin; to tear; to pull down; to cling to; to dig; to rake up; to steal; to braise; to crawl
抖	to tremble; to shake out; to reveal; to make it in the world
担	to undertake; to carry; to shoulder; to take responsibility; picul; two buckets full; carrying pole and its load; classifier for loads carried on a shoulder pole
挂	to hang; to suspend; to hang up; to be dead; to be worried; to be concerned; to make a phone call; to register; to make an appointment; to kill; to die; to be finished; to fail; classifier for sets or clusters of objects
措	to handle; to manage; to put in order; to arrange; to administer; to execute; to take action on; to plan
摊	to spread out; vendor's stand
撕	to tear
撞	to knock against; to bump into; to run into; to meet by accident
敲	to hit; to strike; to tap; to rap; to knock; to rip sb off; to overcharge
朵	flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc
权	surname Quan; authority; power; right; to weigh; expedient; temporary
桨	oar; paddle
歹	bad; wicked; evil; Kangxi radical 78
目	eye; to look; to regard; eye; mesh; mesh size; grit size; item; section; list; catalogue; order; name; title
瞩	to gaze at; to stare at
秤	steelyard; Roman balance
窝	nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods
耳	ear; handle; and that is all
肝	liver; to put in long hours, typically late into the night, playing; involving a lot of repetition in order to progress; grindy
节	see 節骨眼|节骨眼[jie1 gu5 yan3]; joint; node; section; segment; solar term; seasonal festival; to economize; to save; moral integrity; chastity; classifier for segments: lessons, train wagons, biblical verses etc; knot; step by step; little by little
茶	tea; tea plant
蒂	stem
蔼	friendly; luxuriant
虎	tiger; vigorous; formidable; strong
虫	lower form of animal life, including insects, insect larvae, worms and similar creatures; person with a particular undesirable characteristic
袱	bundle wrapped in cloth
裁	to cut out; to cut; to trim; to reduce; to diminish; to cut back; decision; judgment
触	to touch; to make contact with sth; to stir up sb's emotions
讲	to speak; to explain; to negotiate; to emphasize; to be particular about; as far as sth is concerned; speech; lecture
足	excessive; foot; leg; sufficient; ample; as much as; fully; fully; no less than; as much as; extremely
踊	leap; leap
辽	short name for Liaoning 遼寧|辽宁[Liao2 ning2] province; Liao or Khitan dynasty; distant; faraway
零	zero; nought; zero sign; fractional; fragmentary; odd; ; fraction; remainder; extra; to wither and fall; to wither
项	surname Xiang; back of neck; item; thing; term; sum; classifier for principles, items, clauses, tasks, research projects etc
顾	surname Gu; to look after; to take into consideration; to attend to
颤	to tremble; to shiver; to shake; to vibrate; Taiwan pr. [zhan4]
馋	gluttonous; greedy; to have a craving
驰	to run fast; to speed; to gallop; to disseminate; to spread
