临	lin2	/to face/to overlook/to arrive/to be (just) about to/just before/
食	si4;shi2	/to eat/food/animal feed/eclipse/to feed (a person or animal)/
宴	yan4	/(bound form) feast/repose/variant of 宴[yan4]/
莉	li4	/jasmine/
们	men5	/plural marker for pronouns, and nouns referring to individuals/
动	dong4	/(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for 動詞|动词[dong4 ci2], verb/
敬	jing4	/(bound form) respectful; to respect/to offer politely/
使	shi3	/to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger/
巅	dian1	/summit/
醉	zui4	/intoxicated/
稻	dao4	/paddy/rice (Oryza sativa)/
洪	Hong2;hong2	/surname Hong/flood/big/great/
设	she4	/to set up; to put in place/(math.) given; suppose; if/
率	lu:4;shuai4	/rate/frequency/to lead/to command/rash/hasty/frank/straightforward/generally/usually/
顽	wan2	/mischievous/obstinate/to play/stupid/stubborn/naughty/
岩	yan2	/cliff/rock/variant of 巖|岩[yan2]/variant of 岩[yan2]/variant of 巖|岩[yan2]/
守	shou3	/to guard/to defend/to keep watch/to abide by the law/to observe (rules or ritual)/nearby/adjoining/
懒	lan3	/variant of 懶|懒[lan3]/lazy/
兽	shou4	/beast/animal/beastly/bestial/
烈	lie4	/ardent/intense/fierce/stern/upright/to give one's life for a noble cause/exploits/achievements/
呀	ya5	/(particle equivalent to 啊 after a vowel, expressing surprise or doubt)/
佛	Fo2;fu2	/Buddha; Buddhism (abbr. for 佛陀[Fo2 tuo2])/seemingly/(female) head ornament/variant of 彿|佛[fu2]/
不	bu4	/no; not so/(bound form) not; un-/
皱	zhou4	/to wrinkle/wrinkled/to crease/
待	dai4;dai1	/to stay/to wait/to treat/to deal with/to need/going to (do sth)/about to/intending to/
撑	cheng1	/to support/to prop up/to push or move with a pole/to maintain/to open or unfurl/to fill to bursting point/brace/stay/support/
渴	ke3	/thirsty/
台	Tai2;tai2	/Taiwan (abbr.)/surname Tai/(classical) you (in letters)/variant of 臺|台[tai2]/desk; table; counter/Taiwan (abbr.)/platform/stage/terrace/stand/support/station/broadcasting station/classifier for vehicles or machines/typhoon/
篷	peng2	/sail/
丸	wan2	/ball/pellet/pill/
惧	ju4	/to fear/
塑	su4	/to model (a figure) in clay/
挎	kua4	/to carry (esp. slung over the arm, shoulder or side)/
述	shu4	/(bound form) to state; to tell; to narrate; to relate/
典	dian3	/canon/law/standard work of scholarship/literary quotation or allusion/ceremony/to be in charge of/to mortgage or pawn/
赛	sai4	/to compete/competition/match/to surpass/better than/superior to/to excel/
尊	zun1	/senior/of a senior generation/to honor/to respect/honorific/classifier for cannons and statues/ancient wine vessel/
瘩	da2	/sore/boil/scab/
俐	li4	/clever/
省	sheng3;xing3	/to save; to economize; to be frugal/to omit; to delete; to leave out/province/provincial capital/a ministry (of the Japanese government)/(bound form) to scrutinize/(bound form) to reflect (on one's conduct)/(bound form) to come to realize/(bound form) to pay a visit (to one's parents or elders)/
乓	pang1	/(onom.) bang/
复	fu4	/to go and return/to return/to resume/to return to a normal or original state/to repeat/again/to recover/to restore/to turn over/to reply/to answer/to reply to a letter/to retaliate/to carry out/to repeat/to double/to overlap/complex (not simple)/compound/composite/double/diplo-/duplicate/overlapping/to duplicate/variant of 復|复[fu4]/to reply to a letter/
疆	jiang1	/border/boundary/
纺	fang3	/to spin (cotton or hemp etc)/fine woven silk fabric/
笑	xiao4	/old variant of 笑[xiao4]/to laugh; to smile/to laugh at/
据	ju1;ju4	/variant of 據|据[ju4]/used in 拮据[jie2 ju1]/variant of 據|据[ju4]/according to/to act in accordance with/to depend on/to seize/to occupy/
逢	feng2	/to meet by chance/to come across/(of a calendar event) to come along/(of an event) to fall on (a particular day)/to fawn upon/
壁	bi4	/wall/rampart/
舒	Shu1;shu1	/surname Shu/to stretch/to unfold/to relax/leisurely/
械	xie4	/appliance/tool/weapon/shackles/also pr. [jie4]/
烹	peng1	/cooking method/to boil sb alive (capital punishment in imperial China)/
士	shi4;Shi4	/surname Shi/member of the senior ministerial class (old)/scholar (old)/bachelor/honorific/soldier/noncommissioned officer/specialist worker/
贴	tie1	/to stick/to paste/to post (e.g. on a blog)/to keep close to/to fit snugly/to subsidize/allowance (e.g. money for food or housing)/sticker/classifier for sticking plaster: strip/
粉	fen3	/powder/cosmetic face powder/food prepared from starch; noodles or pasta made from any kind of flour/to turn to powder/(dialect) to whitewash/white/pink/(suffix) fan (abbr. for 粉絲|粉丝[fen3 si1])/to be a fan of/
煤	mei2	/coal/CL:塊|块[kuai4]/
