眼熟	Looks familiar; familiar-looking; to seem familiar
档	pigeonhole; files; archives; crosspiece; grade; (Tw) gear (variant of 挡[dǎng])||(bound form) shelves (for files); pigeonholes; (bound form) files; crosspiece (of a table etc); (bound form) (of goods) grade; vendor's open-air stall; (Tw) timeslot for a show or program; classifier for shows; classifier for events, affairs etc
过于	too; excessively; excessively; too
成员	member
当中	among; in the middle; in the centre; among; in the middle; in the center
就算	even if; granted that; (coll.) even if
男	Man; male/Baron, lowest of five orders of nobility 五等爵位[wǔ děng jué wèi]
含义	signification; meanings; meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation
收益	income; profit; earnings; profit
建成	built up; to establish; to build
火箭	rocket; rocket/CL:枚[méi]
外交官	diplomat; diplomatist; diplomat
动人	moving; touching; touching; moving
收费	collect fees; charge; to charge a fee
食堂	dining room; mess hall; canteen; dining hall; cafeteria/CL:个[gè],间[jiān]
连续剧	series; soap opera; serialized drama; dramatic series; show in parts
边	side; edge; margin; border; boundary; simultaneously||suffix of a noun of locality; CL:个[gè]
资产	capital; asset; property; assets
赶忙	hurry; hasten; make haste; quickly; to hurry; to hasten; to make haste
战场	battleground; battlefield; battlefield/CL:个[gè]
祖母	grandmother; father's mother; paternal grandmother
富有	rich; wealthy; richness; abound; rich; wealthy; affluent; to be rich in; to be replete with
雨衣	raincoat; raincoat/CL:件[jiàn]
上下	up and down; top and bottom; high and low; old and young; up and down; top and bottom; old and young; length; about
职责	duty; responsibility; duty; responsibility; obligation
用法	usage; use; usage
语音	speech sounds; pronunciation; colloquial (rather than literary) pronunciation of a Chinese character; phonetic; audio; voice; (Internet) to voice chat; voice message
精	skilled; refined; excellent; precise; smart; sharp; essence; energy; essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic)
冲击	to attack; to batter; (of waves) to pound against; shock; impact
包装	pack; put up; make up; to pack; to package; to wrap; packaging
铜牌	bronze medal; copper medal; bronze medal; bronze plaque bearing a business name or logo etc; CL:枚[méi]
膜	membrane; film
指出	point out; indicate; to indicate; to point out
全身	whole body; the whole body/(typography) em
妙	wonderful; clever; excellent; fine; subtle; clever; wonderful
系列	series; set
猴	monkey; monkey/CL:只[zhī]
超出	overstep; go beyond; exceed; to exceed; to overstep; to go too far; to encroach
杀毒	antivirus; kill virus; to disinfect/(computing) to destroy a computer virus
散文	prose; essay
全	whole; entire; complete; all; whole; entire; every; complete; surname Quan
好人	good person; healthy person; person who tries not to offend anyone, even at the expense of principle
快点儿	hurry up; to do sth more quickly/Hurry up!/Get a move on!
共有	have altogether; share; owned by all; to have altogether; in all
至	to; till; until; extremely; to arrive; most; to; until
此次	this time
登山	mountaineer; mountain-climbing; to climb a mountain; climbing; mountaineering
请进	please come in; "please come in"
遇	meet; encounter; (bound form) to encounter; to happen upon; to meet unplanned; (bound form) to treat; to receive; surname Yu
宇航员	cosmonaut; astronaut; astronaut
常年	perennial; year in year out; average year; all year round; for years on end; average year
沟	ditch; gutter; trench; gully; ditch; gutter; groove; gully; ravine; CL:道[dào]
替	replace; substitute; take the place of; for; on behalf of; to substitute for; to take the place of; to replace; for; on behalf of; to stand in for
回国	return home from abroad; to return to one's home country
徒弟	apprentice; disciple
欢乐	gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay
整治	rectify; renovate; fix; to bring under control; to regulate; to restore to good condition; (coll.) to fix (a person); to prepare (a meal etc)
猜测	guess; conjecture; surmise; to guess; to conjecture; to surmise
祝	express good wishes; wish; to pray for; to wish (sb bon voyage, happy birthday etc); person who invokes the spirits during sacrificial ceremonies; surname Zhu
肩	shoulder; to shoulder (responsibilities etc)
油	oil; fat; grease; oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning
男生	schoolboy; male student; boy; guy (young adult male)
攻击	attack; to attack; to accuse; to charge; an attack (terrorist or military)
送礼	present; send gifts; to give a present
开夜车	drive at night; work at night; work late into the night; to burn the midnight oil; to work late into the night
全体	all; entire; whole; all; entire
高于	higher than; overtop; greater than; to exceed
握	hold; grasp; take by the hand; to hold; to grasp; to clench (one's fist); (bound form) to have in one's control; classifier: a handful
储存	stockpile; to store; to stockpile; storage
车	car; vehicle; machine; to shape with a lathe; rook (in Chinese chess); rook (in chess); surname Che||car; Kangxi radical 159||war chariot (archaic); CL:辆[liàng]
引	lead; guide; draw; stretch; lure; attract; cause; to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhàng], one-thirtieth of a km or 33.33 meters
初期	prime; initial stage; early days; initial stage; beginning period
揭	tear off; take off; uncover; lift; expose; show up; bring to light; to take the lid off; to expose; to unmask; surname Jie
还有	also; in addition; besides; there still remain(s); there is (or are) still; in addition
将要	will; shall; be going to; will; shall; to be going to
显出	show; manifest; to express; to exhibit
属	be born in the year of (one of the twelve animals); belong; category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute||to join together; to fix one's attention on; to concentrate on
答复	Reply; to answer; to reply; Reply to: (in email header)
原始	first; original; primitive; original (document etc)
作	rise; compose; pretend; affect; feel; become; writing; work; (bound form) worker; (bound form) workshop; (slang) troublesome; high-maintenance (person)||to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works
围	enclose; surround; circle; to encircle; to surround; all around; to wear by wrapping around (scarf, shawl); surname Wei
相互	mutual; reciprocal; each other; each other; mutual
愁	worry; be anxious; to worry about
侧	side; incline; lean; the side; to incline towards; to lean; inclined; lateral; side||lean on one side
昏	faint; lose consciousness; dusk; twilight; dull; muddle-headed; muddle-headed; twilight; to faint; to lose consciousness
配套	form a complete set; to form a complete set; compatible; matching; complementary
号召	call; to call; to appeal
埋	cover; bury; to bury||used in 埋怨[mán yuàn]
那边	there; over there; yonder
打官司	To engage in a lawsuit; to file a lawsuit; to sue; to dispute
间	between; measure word for rooms; between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms||gap; to separate; to thin out (seedlings); to sow discontent
线	thread; string; wire; line; route; thread; string; wire; line; (after a number) tier (unofficial ranking of a Chinese city); CL:条[tiáo],股[gǔ],根[gēn]
地板	floor
节假日	holidays; festival and holiday; public holiday
外科	surgery; surgical department; surgery (branch of medicine)
开机	starting up; to start an engine; to boot up (a computer); to press Ctrl-Alt-Delete; to begin shooting a film or TV show
不幸	misfortune; unfortunat; unfortunately; misfortune; adversity; unfortunate; sad; unfortunately; CL:个[gè]
不顾	disregard; in spite of; regardless of
族	clan; race; nationality; race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族)
胆小	timid; cowardly; cowardice; timid
对付	deal with; to handle; to deal with; to tackle; to get by with; to make do; (dialect) (usu. used in the negative) to get along with (sb)
指着	point; pointing; 
做饭	cook; to prepare a meal; to cook
先锋	pioneer; vanguard; vanguard; pioneer; avant-garde
偏	partial; prejudiced; inclined to one side; lean; to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations
下去	go down; descend; go on; continue; to go down; to descend; to go on; to continue; (of a servant) to withdraw
扇	fan; leaf; (measure word); fan; slap; flap; flutter; fan up; to fan; to slap sb on the face||fan; sliding, hinged or detachable flat part of sth; classifier for doors, windows etc
别的	else; other
据	according to; seize; depend on; evidence; used in 拮据[jié jū]||according to; to act in accordance with; to depend on; to seize; to occupy
想不到	unexpected; hard to imagine; it had not occurred to me; who could have thought that
低于	below; under; to be lower than
指示	to point out; to indicate; to instruct; directives; instructions; CL:个[gè]
盒	box; case; small box; case
男孩儿	boy; boy/CL:个[gè]
