领先	keep ahead; to lead; to be in front
时光	time; era; period of time
卫星	satellite; moon; CL:颗[kē]
非得	Must; (followed by a verb phrase, then – optionally – 不可, or 不行 etc) must
气体	gas; gas (i.e. gaseous substance)
玉	jade
盗版	piracy; illegal copy; pirated; illegal; see also 正版[zhèng bǎn]
票价	ticket price; fare; ticket price; fare; admission fee
时而	from time to time; now … now …; occasionally; from time to time
上演	perform; staged; put on the stage; to screen (a movie); to stage (a play); a screening; a staging
约	appointment; agreement; arrange; restrict; to weigh in a balance or on a scale||to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise
家园	home; homeland; homestead; home; homeland
峰会	summit; summit meeting; summit meeting
高手	master; past master; master hand; ace; expert; past master; dab hand
乌云	dark clouds; black clouds; black cloud
特有	peculiar; characteristic; specific (to)/characteristic (of)/distinctive
敲 	knock on the door, or type; 
哪里	where; where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪裡|哪里; where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment
没错	that’s right; that's right; sure!; rest assured!; that's good; can't go wrong
网友	net friend; online friend/Internet user
仓库	depot; storehouse; warehouse
踏实	earnest, steady and sure; firmly-based; steady; steadfast; to have peace of mind; free from anxiety
酸奶	yogurt
个儿	height; size; stature; size; height; stature
常	always; ever; often; frequently; common; general; constant; surname Chang
高峰	peak; summit; height
南部	south; southern part
上周	last week
建造	construct; build; put up; to construct; to build
局面	aspect; phase; situation
高等	higher; advanced; high; of a higher level; high-level; higher (animals, education etc); advanced (math etc)
照样	all the same; as before; as before; (same) as usual; in the same manner; still; nevertheless
乐曲	music; musical composition; musical composition
潮流	tide; current; trend
配备	Equipment; to allocate; to provide; to outfit with
品质	quality; character; intrinsic quality (of a person); quality (of a product or service, or as in "quality of life", "air quality" etc)
操作	operation; to work; to operate; to manipulate
前头	front; thereinbefore; in front; at the head; ahead; above
名牌儿	famous brand; nameplate; name tag
科技	science and technology
改装	repack; refit; reequip; to change one's costume; to repackage; to remodel; to refit; to modify; to convert
瓜	melon; gourd; squash
薯条	french fries; french fried potatoes; chips
教师	teacher; teacher/CL:个[gè]
创意	creative; creativity
之下	under; beneath; less than
冰	ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine; CL:块[kuài]
暂停	pause; suspend; time out; to suspend; time-out (e.g. in sports); stoppage; pause (media player)
追究	Investigate; to investigate; to look into
打败	defeat; beat; be defeated; to defeat; to overpower; to beat; to be defeated
晚安	good night; Good night!/Good evening!
快要	be about to; be going to; nearly at the point of (doing sth); about to (do sth)
阻碍	hinder; to obstruct; to hinder; to block; obstruction; hindrance
昏	faint; lose consciousness; dusk; twilight; dull; muddle-headed; muddle-headed; twilight; to faint; to lose consciousness
不久	not long (after); before too long; soon; soon after
常规	conventional; common; routine; code of conduct; conventions; common practice; routine (medical procedure etc)
延续	continue; to continue; to go on; to last
指头	finger; toe; finger; toe; CL:个[gè]
率领	Lead; to lead; to command; to head
面向	turn in the direction of; face; turn towards; to face; to turn towards; to incline to; geared towards; catering for; -oriented; facial feature; appearance; aspect; facet
左	left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐[zuǒ]; surname Zuo
大巴	bus; (coll.) large bus; coach; (abbr. for 大型巴士)
中学	middle school; middle school/CL:个[gè]
航空	aviation
叹气	Sigh; to sigh; to heave a sigh
回顾	review; look back; to look back; to review
洗衣机	washing machine; washer/CL:台[tái]
围	enclose; surround; circle; to encircle; to surround; all around; to wear by wrapping around (scarf, shawl); surname Wei
早已	long ago; for a long time; for a long time; long since/(dialect) in the past
试验	experiment; test; to experiment; experimental; CL:次[cì],个[gè]
示范	lead the way; demonstrate; to demonstrate; to show how to do sth; demonstration; a model example
礼	ceremony; rite; courtesy; manners; gift; abbr. for 禮記|礼记[lǐ jì], Classic of Rites; gift; rite; ceremony; propriety; etiquette; courtesy; surname Li; CL:份[fèn]
束	beam; to bind; bunch; bundle; classifier for bunches, bundles, beams of light etc; to control; surname Shu
区域	area; region; district
繁殖	Reproduction; to breed; to reproduce; to propagate
窗口	window; wicket; window; opening providing restricted access (e.g. customer service window); computer operating system window; fig. medium; intermediary; showpiece; testing ground
吉祥	lucky; auspicious; lucky; auspicious; propitious
线路	line; route; circuit; (electricity) line; circuit; wire/(traffic) road; track; route
农产品	produce; farm produce; agricultural products; agricultural produce
名称	name; designation; name (of a thing)/name (of an organization)
旅馆	hotel; hotel/CL:家[jiā]
保卫	Defend; to defend; to safeguard
出院	discharged; leave hospital; to leave hospital; to be discharged from hospital
大爷	uncle; father’s elder brother; arrogant idler; self-centered show-off||(coll.) father's older brother; uncle; term of respect for older man
决不	never; not at all; definitely not; not at all; simply (can) not
美女	belle ; beauty; beautiful woman; beautiful woman
扣	to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; to smash, spike or dunk (a ball); to cover (with a bowl etc); (fig.) to tag a label on sb; (Tw) (loanword) code; button
个体	individual
回信	reply; write in reply; letter in reply; to reply; to write back; letter written in reply; CL:封[fēng]
抄写	copy; transcribe; to copy; to transcribe
酷	cool; cruel; brutal; oppressive; very; extremely; ruthless; strong (e.g. of wine); (loanword) cool; hip
对付	deal with; to handle; to deal with; to tackle; to get by with; to make do; (dialect) (usu. used in the negative) to get along with (sb)
女孩儿	girl; lass
紧	tight; close; urgent; strict; tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten
方针	policy; guidelines; CL:个[gè]
大多	mostly; for the most part; for the most part; many; most; the greater part; mostly
齐全	complete; all ready; complete; comprehensive
一下儿	a little bit; (used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once
省钱	save money; to save money
东部	east; the east; eastern part
实惠	substantial; tangible benefit; material advantages; cheap; economical; advantageous (deal); substantial (discount)
祝愿	wish; to wish
大街	avenue; street; main street; street; main street; CL:条[tiáo]
收购	purchase; acquisition; buy; to buy; to purchase; to procure
跟前	In front of; the front (of); (in) front; (in) sb's presence; just before (a date)||(of children, parents etc) at one's side; living with one
大都	for the most part; mostly; on the whole; on the whole; metropolitan; Dadu, capital of China during the Yuan Dynasty (1280-1368), modern day Beijing||for the most part
激情	passion; fervor; enthusiasm; strong emotion
出来	come; to come out; to appear; to arise||(after a verb, indicates coming out, completion of an action, or ability to discern or detect)
这边	this side; here
新兴	new; emerging; newly-developing; (of markets, industries, infectious diseases etc) rising; emerging; in the ascendant; Xinxing county in Yunfu 雲浮|云浮[yún fú], Guangdong; Xinxing or Hsinhsing district of Kaohsiung city 高雄市[gāo xióng shì], south Taiwan
以后	after; later on; afterwards; later; after; later; afterwards; following; later on; in the future
斤	a unit of weight (=1/2 kilogram); catty/(PRC) weight equal to 500 g/(Tw) weight equal to 600 g/(HK, Malaysia, Singapore) slightly over 604 g
报答	reciprocate; pay back; repay; to repay; to requite
打包	Pack; to wrap; to pack; to put leftovers in a doggy bag for take-out; (computing) to package (i.e. create an archive file)
黑暗	dark; darkness; murk; dark; darkly; darkness
企图	to attempt; to try; attempt; CL:种[zhǒng]
升级	upgrade; be stepped up; escalate; to go up by one grade; to be promoted; to escalate (in intensity); (computing) to upgrade
氧气	oxygen
集	gather; collect; collection; anthology; country fair; part; to gather; to collect; collected works; classifier for sections of a TV series etc: episode
获取	gain; obtain; to gain; to get; to acquire
资本	capital; capital (economics)
不顾	disregard; in spite of; regardless of
悲伤	sad; sorrowful; sad; sorrowful
高价	high price
旋转	rotate; to rotate; to revolve; to spin; to whirl
电子版	electronic edition; digital version
难看	ugly; unsightly
胜	win; defeat; beat; can bear; be superior; victory; success; to beat; to defeat; to surpass; victorious; superior to; to get the better of; better than; surpassing; superb (of vista); beautiful (scenery); wonderful (view); equal to (a task)
园	garden; an area of land for growing plants; a place for public recreation; land used for growing plants; site used for public recreation; abbr. for a place ending in 園|园, such as a botanical garden 植物園|植物园, kindergarten 幼兒園|幼儿园 etc; surname Yuan
配套	form a complete set; to form a complete set; compatible; matching; complementary
场面	scene; spectacle; occasion; situation
平方米	square metre; square meter
上边	above; on; the top; above; overhead; upwards; the top margin; above-mentioned; those higher up
户	household; family; door; a household; door; family
同一	same; identical; identical; the same
采购	Purchase; to procure (for an enterprise etc)/to purchase
正版	genuine; legal copy; genuine; legal; see also 盜版|盗版[dào bǎn]
投	throw; fling; hurl; cast; drop; put in; send; go to; to throw (sth in a specific direction: ball, javelin, grenade etc)/to cast (a ballot)/to cast (a glance, a shadow etc)/to put in (money for investment, a coin to operate a slot machine)/to send (a letter, a manuscript etc)/to throw oneself into (a river, a well etc to commit suicide)/to go to; to seek refuge; to place oneself into the hands of/(coll.) to rinse (clothes) in water
构造	structure; construction; structure; composition; tectonic (geology); CL:个[gè]
泪水	tear; teardrop; teardrop; tears
用来	be used for; used to; to be used for
战士	warrior; soldier; fighter; fighter; soldier; warrior; CL:个[gè]
有毒	poisonous; venomous; poisonous
大量	a lot of; lots of; great amount; large quantity; bulk; numerous; generous; magnanimous
虽	though; although; even if; although; even though
升值	appreciation; appreciate; increase in value; to rise in value; to appreciate
不许	not allow; must not; can’t; not to allow; must not; can't
有事	engaged; occupied; busy; something; to be occupied with sth; to have sth on one's mind; there is something the matter
上衣	upper outer garment; jacket; coat; jacket; upper outer garment; CL:件[jiàn]
变动	change; alteration; variation; to change; to fluctuate; change; fluctuation
动态	dynamic; movement; motion; development; trend; dynamic (science)
楼道	corridor; passageway (in storied building)
正义	justice; righteousness; just; righteous
