男性主导	male dominance
前提条件	prerequisites
网球馆	tennis hall
王嘉尔	Jackson Wang
毛茸茸	fluffy
拖拉机	tractor
安抚	appease
盔甲	armor
鲟鱼	sturgeon
我不在乎	I don't care
而不是	instead of
纸老虎	paper tiger
楔形文字	cuneiform
莫言	Mo Yan
流血	bleed
合肥方言	Hefei dialect
咪雅	Miya
当爸爸	be a dad
饥荒	famine
生词表	vocabulary list
川普	Trump
平均身高	average height
电子痕迹	electronic traces
不同的	different
梦到	dream about
A变了	A has changed
睫毛	eyelash
易建联	Yi Jianlian
匿名	anonymous
辨音能力	sound discrimination ability
拿走狗	take away the dog
仙子	fairy
分析案例	analysis case
连续性	continuity
社会运动	social movement
跨性别	transgender
一根手指	a finger
杀手	killer
物体	object
总体上	on the whole
虚弱	weak
日落	sunset
小舌音	uvular sound
次货	defective goods
通读全文	read the full article
日益减少	decreasing
命案	murder case
评测	evaluation
鼻炎	rhinitis
拜个师傅	learn from a master
齿音	dental consonant
大脑🧠	Brain 🧠
差不多高	about the same height
连词	conjunction
一米九	1.9 meters
以父之名	in the name of the father
库尔德语	Kurdish
公司规模	company size
符合标准	meet standards
新手	newbie
单人床	single bed
可比性	comparability
科技公司	technology company
名扬天下	be famous all over the world
清蒸	steamed
照镜子	look in the mirror
特质	trait
知无不言	tell everything you know
晒黑	to sunbathe
鲱鱼	herring
大后天	the day after the day after tomorrow
护肤品	skin care products
大调音阶	major scale
光是吃	only eat
谨言慎行	be cautious
他很准时	he is on time
近似	similar
荒郊野里	in the wilderness
机考	computer-based test
全职	full time 

巡抚	governor
合肥话	dialect
强令	force
豌豆	pea
君主斑蝶	butterfly
脑震荡	concussion
下地狱	hell
足迹	footprints
天干地支	heavenly stems
半音	semitone
不送气	unaspirated
内华达	Nevada
尺度太大	too sexual
搭嘴音	click consonant
刻板印象	stereotype
玳瑁猫	tortoiseshell cat
一拜天地	homage
送气	aspiration
试试	try
拍照片	take photos
符合要求	meet requirements
游牧民族	nomads
某人	someone
贴纸	sticker
丢失	lost
一票否决	veto
徒步	on foot
世俗	secular
全音	whole tone
灵异经历	paranormal experience
白菜猪肉	pork with cabbage
硕果累累	fruitful
语源学	etymology
直播经济	live broadcast economy
罐头	tin
笼子	cage
光谱	spectrum
流浪汉	homeless person
用法更广	general usage
雅思	IELTS
中式	Chinese style
土猫	native cat
负伤	wounded
音节辅音	syllabic consonant
尤其是	especially
情绪崩溃	emotional breakdown
破解	decipher
换季	season change
本地的	local
性格特质	character trait
骨折	fracture
台湾	Taiwan
公司收入	revenue
慢热	slow to warm up
学霸	straight A student
活在当下	living in the moment
罗非鱼	tilapia
泡泡	bubbles
开心果	pistachio
医疗保险	medical insurance
揣测	speculation
精神内耗	mental friction
负责任	responsible
多巴胺	dopamine
田野调查	fieldwork
有局限	limitations
所做	done
星球大战	Star Wars
防火墙	firewall
努力💪	work hard 💪
延迟	delay
厄瓜多尔	Ecuador
无厘头	nonsense
插件	plug-in
音阶	scale
肌酸	creatine
主修专业	major
50集	50 episodes
审核	censorship
大概了解	roughly understand
两-三年	2-3 years
脱欧	Brexit
有口音	accent
冒号	colon
洗碗机	dishwasher
词语搭配	collocation
视角	perspective
宾语	object
打叉✖️	cross
500亿	50 billion
硅谷	Silicon Valley
密集训练	intensive training
带货主播	anchor
羊驼毛	alpaca wool
三月六号	March 6th
信任他	trust
一段时间	a period
暖气机	heater
假定	assumption
按照计划	according to plan
机器翻译	machine translation
酸菜鱼	boiled fish
一段关系	relationship
土著	indigenous
寄生虫🪱	parasite
软腭化	velarization
虽说如此	having said that
行李牌	luggage tag
鳕鱼	cod
他临死前	before he died
光线很强	bright light
好自为之	take care
一段爱情	love
本来应该	should have been
召唤	summon
训诫	reprimand
月收入	monthly income
暖气片	radiator
印地语	Hindi
博士后	postdoc
义乌	Yiwu
一段婚姻	marriage
冬眠	hibernate
齿龈后音	postalveolar sound
印度神话	indian mythology
校友会	alumni association
理想化	idealize
有思想	profound
维他命	vitamin
鳟鱼	trout
工作表现	performance
化解冲突	resolve conflicts
自由职业	freelance
几千年前	thousands of years ago
代词	pronoun
盘腿坐	sit cross-legged
爱狮克	ISAG
共产党人	communist
保持联系	keep in touch
叫外卖	order takeout
六尺三寸	six feet three inches
预想到	expected
有争议的	controversial
小篆	Xiaozhuan
纠正错误	correct errors
特别是	in particular
麝牛	musk ox
无思无想	no thoughts
无性恋	asexual
杀死	kill
依附理论	attachment theory
非得	must
年收入	annual income
不甚至	not even
安定下来	settle down
放荡不羁	bohemian
工作室	studio
双性恋	bisexual
未分化	undifferentiated
后三天	latter three days 

塔罗牌	tarot cards
忧伤	melancholy
双人床	double bed
拿绿卡	Get green card
可许证	Licensable
文化交流	cultural exchange
塞音	plosive
让人讨厌	hateable
雪糕	ice cream
小红书	little red book
剑鱼	swordfish
经济学者	economist
唤醒	awakening
墨鱼	cuttlefish
声门音	glottal sound
前三天	first three days
鼻音化	nasalization
手指交叉	cross fingers
相由心生	phase comes from the heart
负债	loan
虎妈	tiger mother
博主	blogger
播客	podcast
共产主义	communism
春困秋乏	sleepiness in spring
标语	slogan
皮划艇	canoe
乡土社会	rural society
不能忘本	Don't forget your roots
科学家	scientist
绩点	GPA
跳下床	jump out of bed
羊毛	wool
回见	See you later
双唇音	bilabial sounds
近义词	synonym
西式	Western
很麻烦	Troublesome
欧楂变软	medlars becomes soft
自由恋爱	love marriage
地理位置	geographical location
野餐	picnic
教学方法	teaching method
花时间	Spend time
安排时间	schedule
瞎扯蛋	talk nonsense
小提琴	violin
温馨	warm
连接的	connected
内耗	internal friction
点赞	like
海鲈	sea bass
负债累累	Heavy in debt
倒下	fall down
卷舌音	Retroflex sound
跨学科	interdisciplinary
我醒了	I woke up
抢亲	bride kidnapping
解聘	to fire
辅音	consonant
打钩	Tick
占有欲	Possessive
华尔兹	Waltz
尊重别人	respect others
拉肚子	have diarrhoea
当做	to treat as
百科全书	encyclopedia
按照要求	as required
宠坏	to spoil
挤喉音	ejective sound
天黑	dark
参议员	senator
元音	vowel
摄像头	CCTV
午夜	midnight
气度	bearing
一米五五	1.55 meters
底部	bottom
发圈	scrunchy
微妙	subtle

赌输	lose
路人甲	passerby
家养的	domesticated
前些年	a few years ago
唇音化	labialization
核心词	core words
冰沙	smoothie
电脑科学	computer science
情感勒索	emotional blackmail
一个顺序	a sequence
知识很广	broad knowledge
变性	sex change
纯律	Just intonation
汉藏语系	Sino-Tibetan
幸福阀值	happiness threshold
沪语	Shanghainese
零和社会	zero sum society
高/ 矮	tall/short
音程	interval
面试官	interviewer
前端	front end
阶级	social class
传统妻子	traditional wife
知足	content
读硕士	study for a master
两个月	two months
锤子	hammer
内爆音	implosion
陪家人	spend time with family
职业发展	career development
落汤鸡	drowned rat
交友软件	dating app
数字劳工	digital labor
手语	sign language
靠自己	Rely on yourself
机会降临	opportunity comes
评判	judge
香蕉蛞蝓	banana slug
转发	share
破案	solve the case
深不见底	bottomless
树根	root
人脉	connections
散漫	flaky
欢迎光临	Welcome
社会福利	social welfare
卷入	involved
尽管这样	in spite of this
面临情况	facing situation
装饰品	decoration
腓尼基人	Phoenicians
本土的	native
近音	approximant
印象深刻	Impressive
净效应	net effect
核武器	nuclear weapon
创可贴	band-aid
小调音阶	Minor scale
演奏音阶	play a scale
某事	something
化解矛盾	resolve conflicts
语系	language family
社会学	sociology
编程能力	Programming ability
新能源车	New energy vehicles
杂草	weeds
血清素	serotonin
戒毒	detoxification
语源	etymology
