word	meanings	example sentence 1	translation 1	example sentence 2	translation 2	example sentence 3	translation 3
我们做了十一年（～个）朋友了/我们做朋友做了十一年了	We have been friends for eleven years/We have been friends for eleven years	我们做了十一年朋友了，感情很深厚。	We've been friends for eleven years and have a very deep bond.	我们做朋友做了十一年了，经历了很多事情。	We've been friends for eleven years and have been through a lot together.	我们做了十一年朋友，见证了彼此的成长。	We've been friends for eleven years and have witnessed each other's growth.
他对我有好印象	He has a good impression of me	我对他的第一印象很好。	I had a good first impression of him.	他对我工作能力印象深刻。	He is impressed by my work ability.	他对我的演讲印象深刻。	He is impressed by my speech.
师徒	master and apprentice/teacher and student; master and disciple	这位大师收了一个新徒弟。	This master took on a new apprentice.	他们师徒关系很好。	They have a good teacher-student relationship.	师徒之间应该互相尊重。	There should be mutual respect between master and apprentice.
民调（=民意调查）	poll (=opinion poll);	最新的民调显示，大多数人支持这项政策。	The latest poll shows that most people support this policy.	他们进行了一项民意调查，了解公众对这个项目的看法。	They conducted an opinion poll to understand the public's views on the project.	民调结果显示，人们对政府的表现不太满意。	The poll results show that people are not very satisfied with the government's performance.
他去了专门的学校学Python	He went to a specialized school to learn Python	她去了专门的舞蹈学校学习芭蕾舞。	She went to a specialized dance school to learn ballet.	为了学好英语，他去了专门的语言学校。	In order to learn English well, he went to a specialized language school.	这家公司专门为员工提供Python培训课程。	This company offers specialized Python training courses for its employees.
宇宙飞船	UFO; spacecraft	人类第一次登上月球，乘坐的是宇宙飞船。	The first time humans landed on the moon, they did so in a spacecraft.	科学家正在研究如何建造更先进的宇宙飞船。	Scientists are researching how to build more advanced spacecraft.	宇宙飞船可以带我们探索太空的奥秘。	Spacecraft can take us to explore the mysteries of space.
探索内心世界	Explore inner world	通过冥想，我们可以探索内心世界，找到真正的自己。	Through meditation, we can explore our inner world and find our true selves.	阅读文学作品可以帮助我们探索内心世界，理解人性的复杂。	Reading literary works can help us explore our inner world and understand the complexity of human nature.	艺术创作是探索内心世界的最佳途径之一。	Artistic creation is one of the best ways to explore our inner world.
薛定谔的猫	Schrodinger's cat	薛定谔的猫是一个著名的思想实验，它探讨了量子力学中叠加的概念。	Schrödinger's cat is a famous thought experiment that explores the concept of superposition in quantum mechanics.	薛定谔的猫实验说明了量子世界和经典世界之间的差异。	The Schrödinger's cat experiment illustrates the difference between the quantum world and the classical world.	薛定谔的猫的概念在科学界引发了广泛的讨论和研究。	The concept of Schrödinger's cat has sparked extensive discussion and research in the scientific community.
审核	censorship; o audit; to investigate thoroughly	这篇文章需要经过严格的审核才能发表。	This article needs to go through a strict review process before it can be published.	公司每年都要进行财务审核，确保账目真实。	The company conducts a financial audit every year to ensure the accuracy of its accounts.	警察正在审核这起案件的所有证据，寻找真相。	The police are reviewing all the evidence in this case to find the truth.
米索不达米亚	Mesopotamia	米索不达米亚文明是世界上最早的文明之一。	Mesopotamian civilization is one of the earliest civilizations in the world.	米索不达米亚地区曾孕育出许多伟大的文化和艺术。	The Mesopotamia region has produced many great cultures and arts.	米索不达米亚的古代城市遗址吸引了世界各地的考古学家。	The ancient city ruins of Mesopotamia attract archaeologists from all over the world.
你已经工作了？	Are you already working?;	你已经开始工作了吗？	Have you started working yet?	你已经工作多久了？	How long have you been working?	你现在工作得怎么样？	How is your work going now?
做惯了羊的	Used to being a sheep;	他做惯了羊的，不敢反抗老板。	He is used to being a sheep and dares not resist his boss.	有些人做惯了羊的，失去了独立思考的能力。	Some people are so used to being sheep that they lose their ability to think independently.	我们不能做惯了羊的，要敢于发出自己的声音。	We cannot be sheep all the time, we must dare to speak up.
我差不多学完HSK4了	I've almost finished learning HSK4	我差不多学完这本书了。	I've almost finished reading this book.	我差不多学完大学课程了。	I've almost finished my university courses.	我差不多学完所有需要的技能了。	I've almost learned all the skills I need.
前苏联	former Soviet Union	前苏联是一个强大的国家。	The former Soviet Union was a powerful country.	前苏联解体后，世界格局发生了很大的变化。	After the collapse of the Soviet Union, the world order changed significantly.	前苏联的政治制度对许多国家产生了影响。	The political system of the former Soviet Union had an impact on many countries.
