鲟	sturgeon
卜	divine
毗	adjoin
橘	tangerine
梵	Sanskrit
蛞	slug
窦	cavity
鲸	whale
肝	liver
篆	seal script
绵	silk floss
茸	downy
蝓	slug
琐	trifling
冥	dark
瑁	jade
玳	tortoise shell
鳗	eel
葫	bottle gourd
蓉	lotus
龈	gums
椰	coconut
惟	only
猥	humble
楔	wedge
沪	Shanghai
嬛	solitary
芥	mustard
牡	male
麝	musk deer
甄	distinguish
捂	cover
鳟	trout
荼	thistle
癖	habit
鹰	eagle
驼	camel
蛎	oyster
蒜	garlic
盔	helmet
蝇	fly
芦	reed
狩	hunt
睫	eyelashes
腭	palate
胺	amine
谔	honest
桂	cassia
焉	where
阀	valve
羁	restrain
趾	toe
揣	guess
硅	silicon
鲱	herring
薛	surname
匿	hide
浙	Zhejiang
潘	surname
腓	calf
鱿	cuttlefish
骆	camel
鳕	codfish 

