"你好";"nǐ hǎo";"hello; hi; how are you";"你 (you)";"Other words using this character: 你们 (you [plural]; nǐmen); 你的 (your; nǐ de); 你自己 (yourself; nǐ zìjǐ)";"好 (good)";"Other words using this character: 好的 (okay; hǎo de); 早上好 (good morning; zǎoshang hǎo); 爱好 (hobby; àihào); 好吃 (delicious; hǎochī); 好看 (good-looking; hǎokàn)";"usage notes";"你好 (nǐ hǎo) is the most common and standard greeting in Mandarin Chinese, equivalent to ""hello"". It can be used at any time of day and in most social situations, both formal and informal.<NEWLINE>To be more polite, especially towards elders or superiors, use 您好 (nín hǎo).<NEWLINE>To greet a group of people, use 大家好 (dàjiā hǎo) or 你们好 (nǐmen hǎo).";"❈ 你好，请问洗手间在哪里？";"【nǐ hǎo, qǐngwèn xǐshǒujiān zài nǎlǐ?】<NEWLINE>Hello, may I ask where the restroom is?";"❈ 老师，你好！";"【lǎoshī, nǐ hǎo!】<NEWLINE>Hello, teacher!";"❈ 他笑着对我说“你好”。";"【tā xiàozhe duì wǒ shuō “nǐ hǎo”.】<NEWLINE>He smiled and said ""hello"" to me.";"🐇 蓝忘机对初次见面的魏无羡只是点了点头，没有说“你好”。";"【lán wàngjī duì chūcì jiànmiàn de wèi wúxiàn zhǐshì diǎn le diǎn tóu, méiyǒu shuō “nǐ hǎo”.】<NEWLINE>Lan Wangji just gave a nod to Wei Wuxian upon their first meeting and didn't say ""hello"".";"set";"Greetings & Common Phrases: Beginning"
"谢谢";"xièxie";"thank you; thanks";"谢 (to thank)";"Other words using this character: 感谢 (to be grateful; gǎnxiè); 道谢 (to express thanks; dàoxiè); 凋谢 (to wither; diāoxiè)";"谢 (to thank)";"This is a repeated character. No other unique characters.";"usage notes";"谢谢 (xièxie) is the universal way to say ""thank you.""<NEWLINE>To be more formal or emphatic, you can say 谢谢你 (xièxie nǐ) or 非常感谢 (fēicháng gǎnxiè, thank you very much).<NEWLINE>A common response to 谢谢 is 不客气 (bú kèqi, you're welcome) or 不用谢 (búyòng xiè, no need for thanks).";"❈ 谢谢你的帮助。";"【xièxie nǐ de bāngzhù.】<NEWLINE>Thank you for your help.";"❈ 这个礼物太贵重了，谢谢！";"【zhège lǐwù tài guìzhòng le, xièxie!】<NEWLINE>This gift is too precious, thank you!";"❈ “给你。” “啊，谢谢！”";"【“gěi nǐ.” “a, xièxie!”】<NEWLINE>""Here you go."" ""Oh, thanks!""";"🐇 魏无羡总是笑着说“谢谢”，即使是在最困难的时候。";"【wèi wúxiàn zǒng shì xiàozhe shuō “xièxie”, jíshǐ shì zài zuì kùnnán de shíhòu.】<NEWLINE>Wei Wuxian always says ""thank you"" with a smile, even in the most difficult times.";"set";"Greetings & Common Phrases: Beginning"
"对不起";"duìbuqǐ";"sorry; excuse me; I'm sorry";"对 (correct; to face)";"Other words using this character: 对 (correct; duì); 对话 (dialogue; duìhuà); 对方 (the other side; duìfāng)";"不 (not; no)";"Other words using this character: 不是 (is not; búshì); 不好 (not good; bù hǎo); 不可以 (not allowed; bù kěyǐ)";"起 (to rise; to start)";"Other words using this character: 起来 (to get up; qǐlái); 一起 (together; yīqǐ); 看不起 (to look down on; kànbùqǐ)";"usage notes";"对不起 (duìbuqǐ) is a formal apology for when you have made a mistake or caused inconvenience. It carries a sense of responsibility.<NEWLINE>For minor situations, like bumping into someone, a lighter phrase like 不好意思 (bùhǎoyìsi) is more common. 不好意思 can mean ""excuse me,"" ""sorry,"" or ""to feel embarrassed.""<NEWLINE>A common response to 对不起 is 没关系 (méi guānxi, it's okay/no problem).";"❈ 对不起，我迟到了。";"【duìbuqǐ, wǒ chídào le.】<NEWLINE>I'm sorry, I'm late.";"❈ 对不起，我不是故意的。";"【duìbuqǐ, wǒ búshì gùyì de.】<NEWLINE>I'm sorry, I didn't do it on purpose.";"❈ 我必须为我的错误说声对不起。";"【wǒ bìxū wèi wǒ de cuòwù shuō shēng duìbuqǐ.】<NEWLINE>I must say sorry for my mistake.";"🐇 江澄一直没能对魏无羡说出那句“对不起”。";"【jiāng chéng yīzhí méi néng duì wèi wúxiàn shuō chū nà jù “duìbuqǐ”.】<NEWLINE>Jiang Cheng was never able to say that ""sorry"" to Wei Wuxian.";"set";"Greetings & Common Phrases: Beginning"
"再见";"zàijiàn";"goodbye";"再 (again)";"Other words using this character: 再次 (once more; zàicì); 再来一个 (one more; zài lái yīgè)";"见 (to see)";"Other words using this character: 看见 (to see; kànjiàn); 见面 (to meet; jiànmiàn); 意见 (opinion; yìjiàn)";"usage notes";"再见 (zàijiàn) literally means ""see you again"" and is the standard way to say ""goodbye.""<NEWLINE>It can be used in almost any context, from formal to informal.<NEWLINE>More casual alternatives include 拜拜 (báibái, from English ""bye-bye"") or informal phrases like 我走了 (wǒ zǒu le, I'm leaving).";"❈ 好的，明天公司见，再见！";"【hǎo de, míngtiān gōngsī jiàn, zàijiàn!】<NEWLINE>Okay, see you at the company tomorrow, goodbye!";"❈ 他挥了挥手，说了声“再见”。";"【tā huīle huī shǒu, shuōle shēng “zàijiàn”.】<NEWLINE>He waved his hand and said ""goodbye"".";"❈ 妈妈，我去上学了，再见！";"【māmā, wǒ qù shàngxué le, zàijiàn!】<NEWLINE>Mom, I'm going to school, goodbye!";"🐇 那次在莲花坞的分别，竟是魏无羡与江厌离的最后一面，他没能好好说一声“再见”。";"【nà cì zài liánhuāwù de fēnbié, jìng shì wèi wúxiàn yǔ jiāng yànlí de zuìhòu yīmiàn, tā méi néng hǎohǎo shuō yīshēng “zàijiàn”.】<NEWLINE>That parting at Lotus Pier was unexpectedly Wei Wuxian's last time seeing Jiang Yanli; he wasn't able to properly say ""goodbye"".";"set";"Greetings & Common Phrases: Beginning"
"一";"yī";"one; a; an";"一 (one)";"Other words using this character: 一起 (together; yīqǐ); 第一个 (the first; dì yī gè); 一些 (some; yīxiē); 一样 (same; yīyàng)";"";"";"usage notes";"一 (yī) is the number one. Its tone can change depending on the tone of the following character. It is pronounced as yí when followed by a fourth-tone character (e.g., 一样 yíyàng) and as yì when followed by a first, second, or third-tone character (e.g., 一天 yì tiān). When used alone or at the end of a word, it retains the first tone, yī.";"❈ 我只有一个苹果。";"【wǒ zhǐyǒu yīgè píngguǒ.】<NEWLINE>I only have one apple.";"❈ 我们从第一课开始学。";"【wǒmen cóng dì yī kè kāishǐ xué.】<NEWLINE>We will start learning from lesson one.";"❈ 请给我一杯水。";"【qǐng gěi wǒ yībēi shuǐ.】<NEWLINE>Please give me a cup of water.";"🐇 云深不知处家规有三千多条，但第一条就是“不可杀生”。";"【yúnshēn bùzhī chù jiāguī yǒu sānqiān duō tiáo, dàn dì yī tiáo jiùshì “bùkě shāshēng”.】<NEWLINE>The Cloud Recesses has over three thousand rules, but the first one is ""do not kill"".";"set";"Numbers, Dates & Time: Beginning"
"小时";"xiǎoshí";"hour";"小 (small)";"Other words using this character: 小心 (careful; xiǎoxīn); 小姐 (miss; xiǎojie); 大小 (size; dàxiǎo)";"时 (time; o'clock)";"Other words using this character: 时间 (time; shíjiān); 时候 (moment; shíhou); 按时 (on time; ànshí)";"usage notes";"小时 (xiǎoshí) is used to express a duration of time, like ""hour"" in English. To say ""o'clock,"" you use 点 (diǎn), e.g., 三点 (sān diǎn) is 3 o'clock.<NEWLINE>A key difference: to say ""one hour,"" you must use the measure word 个 (ge), as in 一个小时 (yī gè xiǎoshí). For two hours, it's 两个小时 (liǎng gè xiǎoshí).";"❈ 我每天工作八个小时。";"【wǒ měitiān gōngzuò bā gè xiǎoshí.】<NEWLINE>I work eight hours every day.";"❈ 电影还有一个小时才开始。";"【diànyǐng hái yǒu yīgè xiǎoshí cái kāishǐ.】<NEWLINE>The movie doesn't start for another hour.";"❈ 从这里到机场开车要两个小时。";"【cóng zhèlǐ dào jīchǎng kāichē yào liǎng gè xiǎoshí.】<NEWLINE>It takes two hours to drive from here to the airport.";"🐇 魏无羡在藏书阁抄了一个月的书，每天都要和蓝忘机待好几个小时。";"【wèi wúxiàn zài cángshū gé chāole yīgè yuè de shū, měitiān dū yào hé lán wàngjī dài hǎo jǐ gè xiǎoshí.】<NEWLINE>Wei Wuxian copied books in the Library Pavilion for a month, having to stay with Lan Wangji for several hours every day.";"set";"Numbers, Dates & Time: Beginning"
"生日";"shēngrì";"birthday";"生 (to be born; life)";"Other words using this character: 学生 (student; xuéshēng); 生活 (life; shēnghuó); 医生 (doctor; yīshēng)";"日 (day; sun)";"Other words using this character: 日期 (date; rìqī); 星期日 (Sunday; xīngqīrì); 日本 (Japan; rìběn)";"usage notes";"no special notes.";"❈ 祝你生日快乐！";"【zhù nǐ shēngrì kuàilè!】<NEWLINE>Happy birthday to you!";"❈ 你的生日是几月几号？";"【nǐ de shēngrì shì jǐ yuè jǐ hào?】<NEWLINE>When is your birthday (what month, what day)?";"❈ 我们为他举办了一个生日派对。";"【wǒmen wèi tā jǔbànle yīgè shēngrì pàiduì.】<NEWLINE>We held a birthday party for him.";"🐇 魏无羡的生日是十月三十一日，这天也是西方的万圣节。";"【wèi wúxiàn de shēngrì shì shí yuè sānshíyī rì, zhè tiān yěshì xīfāng de wànshèngjié.】<NEWLINE>Wei Wuxian's birthday is October 31st, which is also Halloween in the West.";"set";"Numbers, Dates & Time: Beginning"
"漂亮";"piàoliang";"beautiful; pretty";"漂 (elegant; beautiful)";"Other words using this character: 漂白 (to bleach; piǎobái)";"亮 (bright; light)";"Other words using this character: 月亮 (moon; yuèliang); 明亮 (bright; míngliàng); 闪亮 (shining; shǎnliàng)";"usage notes";"漂亮 (piàoliang) is a very common adjective used to describe people (usually women), objects, or even actions as ""beautiful"" or ""pretty."" It's versatile and widely used.<NEWLINE>好看 (hǎokàn), literally ""good-looking,"" is very similar and often interchangeable with 漂亮 for describing appearance.<NEWLINE>美丽 (měilì) also means ""beautiful"" but is often considered more profound or formal, used for breathtaking scenery, art, or a person's inner beauty as well as outer appearance.";"❈ 你的裙子真漂亮。";"【nǐ de qúnzi zhēn piàoliang.】<NEWLINE>Your dress is really beautiful.";"❈ 她长得又聪明又漂亮。";"【tā zhǎng dé yòu cōngmíng yòu piàoliang.】<NEWLINE>She is both smart and beautiful.";"❈ 这个城市的夜景很漂亮。";"【zhège chéngshì de yèjǐng hěn piàoliang.】<NEWLINE>The night view of this city is very beautiful.";"🐇 江厌离是世界上最温柔的师姐，也是一个非常漂亮的女子。";"【jiāng yànlí shì shìjiè shàng zuì wēnróu de shījiě, yěshì yīgè fēicháng piàoliang de nǚzǐ.】<NEWLINE>Jiang Yanli is the gentlest shijie in the world, and also a very beautiful woman.";"set";"Describing People: Beginning"
"聪明";"cōngming";"smart; intelligent; clever";"聪 (intelligent; sharp hearing)";"Other words using this character: 耳聪目明 (sharp ears and keen eyes; ěr cōng mù míng)";"明 (bright; clear)";"Other words using this character: 明白 (to understand; míngbai); 明天 (tomorrow; míngtiān); 明星 (star [celebrity]; míngxīng)";"usage notes";"聪明 (cōngming) is the most common word for ""smart"" or ""intelligent."" It can describe a person's innate intelligence, their ability to learn quickly, or a clever idea.<NEWLINE>It is generally used to describe people or animals, but not objects or situations.";"❈ 这个孩子非常聪明。";"【zhège háizi fēicháng cōngming.】<NEWLINE>This child is very smart.";"❈ 你能想到这个办法，真聪明！";"【nǐ néng xiǎngdào zhège bànfǎ, zhēn cōngming!】<NEWLINE>It's really clever of you to think of this method!";"❈ 他是班里最聪明的学生。";"【tā shì bān lǐ zuì cōngming de xuéshēng.】<NEWLINE>He is the smartest student in the class.";"🐇 魏无羡虽然爱玩，但他其实非常聪明，总能想出别人想不到的方法。";"【wèi wúxiàn suīrán ài wán, dàn tā qíshí fēicháng cōngming, zǒng néng xiǎng chū biérén xiǎngbúdào de fāngfǎ.】<NEWLINE>Although Wei Wuxian loves to fool around, he is actually extremely intelligent and can always come up with methods others can't think of.";"set";"Describing People: Beginning"
"高兴";"gāoxìng";"happy; glad; cheerful";"高 (high; tall)";"Other words using this character: 很高 (very tall; hěn gāo); 高中 (high school; gāozhōng); 提高 (to improve; tígāo)";"兴 (excitement; interest)";"Other words using this character: 兴奋 (excited; xīngfèn); 兴趣 (interest; xìngqù); 扫兴 (disappointing; sǎoxìng)";"usage notes";"高兴 (gāoxìng) describes a temporary state of happiness or joy, often triggered by a specific event. It's similar to ""glad"" or ""pleased.""<NEWLINE>开心 (kāixīn) is very similar and often interchangeable. It can also describe a more general state of being happy or having a good time.<NEWLINE>快乐 (kuàilè) often refers to a deeper, more long-lasting state of happiness or contentment. It's used in phrases like 生日快乐 (shēngrì kuàilè, Happy Birthday).";"❈ 见到你我很高兴。";"【jiàn dào nǐ wǒ hěn gāoxìng.】<NEWLINE>I am very happy to see you.";"❈ 听到这个好消息，大家都很高兴。";"【tīng dào zhège hǎo xiāoxī, dàjiā dōu hěn gāoxìng.】<NEWLINE>Everyone was very happy to hear the good news.";"❈ 他今天看起来不太高兴。";"【tā jīntiān kàn qǐlái bù tài gāoxìng.】<NEWLINE>He doesn't look very happy today.";"🐇 每次看到蓝忘机为他做的事，魏无羡心里都非常高兴。";"【měi cì kàn dào lán wàngjī wèi tā zuò de shì, wèi wúxiàn xīnlǐ dōu fēicháng gāoxìng.】<NEWLINE>Every time he saw the things Lan Wangji did for him, Wei Wuxian was very happy in his heart.";"set";"Emotions & Feelings: Beginning"
"难过";"nánguò";"sad; feel sorry; hard to bear";"难 (difficult)";"Other words using this character: 困难 (difficulty; kùnnan); 难道 (could it be...?; nándào); 难看 (ugly; nánkàn)";"过 (to pass; to cross)";"Other words using this character: 过去 (past; guòqù); 经过 (to pass by; jīngguò); 超过 (to surpass; chāoguò)";"usage notes";"难过 (nánguò) describes a feeling of sadness, sorrow, or being upset, often due to a specific event like a loss, a failure, or bad news. The literal meaning ""difficult to pass"" evokes the feeling of a hard time one is going through.<NEWLINE>伤心 (shāngxīn), literally ""injured heart,"" often implies a deeper, more intense sadness or heartbreak.";"❈ 考得不好，他心里很难过。";"【kǎo dé bù hǎo, tā xīnlǐ hěn nánguò.】<NEWLINE>He feels very sad in his heart for not doing well on the test.";"❈ 别难过了，一切都会好起来的。";"【bié nánguò le, yīqiè dōu huì hǎo qǐlái de.】<NEWLINE>Don't be sad, everything will get better.";"❈ 听到他离开的消息，我们都很难过。";"【tīng dào tā líkāi de xiāoxī, wǒmen dōu hěn nánguò.】<NEWLINE>We were all very sad to hear the news of his departure.";"🐇 看到温宁失控，魏无羡既愤怒又难过。";"【kàn dào wēn níng shīkòng, wèi wúxiàn jì fènnù yòu nánguò.】<NEWLINE>Seeing Wen Ning lose control, Wei Wuxian was both furious and sad.";"set";"Emotions & Feelings: Beginning"
