癌症	/cancer/
爱不释手	/(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible/
爱戴	/to love and respect/love and respect/
暧昧	/vague/ambiguous/equivocal/dubious/
安宁	/peaceful/tranquil/calm/composed/free from worry/
安详	/serene/
安置	/to find a place for/to help settle down/to arrange for/to get into bed/placement/
暗示	/to hint; to suggest/hint; suggestion/
案件	/case/instance/CL:宗[zong1],樁|桩[zhuang1],起[qi3]/
案例	/case (of fraud, hepatitis, international cooperation etc); instance; example/CL:個|个[ge4]/
按摩	/massage/to massage/
昂贵	/expensive/costly/
凹凸	/concave or convex/bumps and holes/uneven (surface)/rugged/
奥秘	/secret/mystery/
巴不得	/(coll.) to be eager for/to long for/to look forward to/
巴结	/to fawn on/to curry favor with/to make up to/
拔苗助长	/to spoil things through excessive enthusiasm (idiom)/
把关	/to guard a pass/to check on sth/
把手	/handle/grip/knob/
霸道	/the Way of the Hegemon/abbr. for 霸王之道/despotic rule/rule by might/evil as opposed to the Way of the King 王道/overbearing/tyranny/(of liquor, medicine etc) strong/potent/
罢工	/a strike/to go on strike/
摆脱	/to break away from/to cast off (old ideas etc)/to get rid of/to break away (from)/to break out (of)/to free oneself from/to extricate oneself/
拜访	/to pay a visit; to call on/
拜年	/to pay a New Year call/to wish sb a Happy New Year/
拜托	/to request sb to do sth/please!/
败坏	/to ruin/to corrupt/to undermine/
颁布	/to issue/to proclaim/to enact (laws, decrees etc)/
颁发	/to issue/to promulgate/to award/
版本	/version/edition/release/
半途而废	/to give up halfway (idiom); leave sth unfinished/
伴侣	/companion/mate/partner/
伴随	/to accompany/to follow/to occur together with/concomitant/
扮演	/to play the role of/to act/
绑架	/to kidnap/to abduct/to hijack/a kidnapping/abduction/staking/
榜样	/example/model/CL:個|个[ge4]/
包庇	/to shield/to harbor/to cover up/
包袱	/wrapping cloth/a bundle wrapped in cloth/load/weight/burden/funny part/punchline/
包围	/to surround/to encircle/to hem in/
包装	/to pack/to package/to wrap/packaging/
饱和	/saturated; filled to capacity/
饱经沧桑	/having lived through many changes/
保管	/to hold in safekeeping; to have in one's care/to guarantee/certainly; surely/custodian; curator/
保密	/to keep sth confidential/to maintain secrecy/
保姆	/nanny/housekeeper/
保守	/conservative/to guard/to keep/
保卫	/to defend/to safeguard/
保养	/to take good care of (or conserve) one's health/to keep in good repair/to maintain/maintenance/
保障	/to ensure/to guarantee/to safeguard/
保重	/to take care of oneself/
抱负	/aspiration/ambition/
报仇	/to take revenge/to avenge/
报酬	/reward/remuneration/
报答	/to repay/to requite/
报复	/to make reprisals; to retaliate/revenge; retaliation/
报警	/to sound an alarm/to report sth to the police/
报销	/to submit an expense account/to apply for reimbursement/to write off/to wipe out/
爆发	/to break out/to erupt/to explode/to burst out/
爆炸	/explosion/to explode/to blow up/to detonate/
曝光	/to expose (photography)/(fig.) to expose (a scandal)/(advertising) exposure/Taiwan pr. [pu4 guang1]/
暴力	/violence/force/violent/
暴露	/to expose/to reveal/to lay bare/also pr. [pu4 lu4]/
悲哀	/grieved/sorrowful/
悲惨	/miserable/tragic/
卑鄙	/base/mean/contemptible/despicable/
北极	/the North Pole; the Arctic Pole/the north magnetic pole/
被动	/passive/
被告	/defendant/
背叛	/to betray/
背诵	/to recite/to repeat from memory/
备份	/backup/
备忘录	/memorandum/aide-memoire/memorandum book/
贝壳	/shell (of a mollusk)/
奔波	/to rush about/to be constantly on the move/
奔驰	/to run quickly/to speed/to gallop/
本能	/instinct/
本钱	/capital/(fig.) asset; advantage; the means (to do sth)/
本人	/I; me; myself/oneself; yourself; himself; herself; the person concerned/
本身	/itself/in itself/per se/
本事	/ability/skill/
笨拙	/clumsy/awkward/stupid/
崩溃	/to collapse; to crumble; to fall apart/
迸发	/to burst forth/
逼迫	/to force/to compel/to coerce/
鼻涕	/nasal mucus; snivel; snot/
比方	/analogy/instance/for instance/
比喻	/to compare/to liken to/metaphor/analogy/figure of speech/figuratively/
比重	/proportion/specific gravity/
鄙视	/to despise/to disdain/to look down upon/
弊病	/malady/evil/malpractice/drawback/disadvantage/
弊端	/systemic problem (sometimes refers specifically to corrupt practices)/
闭塞	/to stop up/to close up/hard to get to/out of the way/inaccessible/unenlightened/blocking/
鞭策	/to spur on/to urge on/to encourage sb (e.g. to make progress)/
编织	/to weave; to knit; to plait; to braid/(fig.) to create (sth abstract, e.g. a dream, a lie etc)/
边疆	/border area/borderland/frontier/frontier region/
边界	/boundary/border/
边境	/frontier; border/
边缘	/edge; fringe; verge; brink; periphery/marginal; borderline/
贬低	/to belittle/to disparage/to play down/to demean/to degrade/to devalue/
贬义	/derogatory sense/negative connotation/
遍布	/to cover the whole (area)/to be found throughout/
便利	/convenient/easy/to facilitate/
便条	/(informal) note/CL:張|张[zhang1],個|个[ge4]/
便于	/easy to; convenient for/
变故	/an unforeseen event/accident/misfortune/
变迁	/changes/vicissitudes/
变质	/to degenerate; to deteriorate/(of food) to go bad; to go off/(geology) metamorphism/
辩护	/to speak in defense of/to argue in favor of/to defend/to plead/
辩解	/to explain/to justify/to defend (a point of view etc)/to provide an explanation/to try to defend oneself/
辩证	/to investigate/dialectical/
辨认	/to recognize/to identify/
辫子	/plait/braid/pigtail/a mistake or shortcoming that may be exploited by an opponent/handle/CL:根[gen1],條|条[tiao2]/
标本	/specimen; sample/the root cause and symptoms of a disease/
标记	/sign/mark/symbol/to mark up/(computing) token/
标题	/title/heading/headline/caption/subject/
表决	/to decide by vote/to vote/
表态	/to declare one's position/to say where one stands/
表彰	/to honor/to commend/to cite (in dispatches)/
别墅	/villa/CL:幢[zhuang4],座[zuo4]/
别致	/variant of 別緻|别致[bie2 zhi4]/
别扭	/awkward/difficult/uncomfortable/not agreeing/at loggerheads/gauche/
濒临	/on the edge of/(fig.) on the verge of/close to/
冰雹	/hail/hailstone/CL:場|场[chang2],粒[li4]/
并非	/really isn't/
并列	/to stand side by side/to be juxtaposed/
播种	/to grow (maize etc) from seed/to plant (maize etc) by sowing seed/
波浪	/wave/
波涛	/great waves/billows/
剥削	/to exploit/exploitation/
博大精深	/wide-ranging and profound/broad and deep/
博览会	/exposition/international fair/
搏斗	/to wrestle; to fight; to struggle/
伯母	/wife of father's elder brother/aunt/(polite form of address for a woman who is about the age of one's mother)/CL:個|个[ge4]/
薄弱	/weak; frail/
不顾	/in spite of; regardless of/
不愧	/to be worthy of/to deserve to be called/to prove oneself to be/
不料	/unexpectedly/to one's surprise/
不像话	/unreasonable/shocking/outrageous/
不屑一顾	/to disdain as beneath contempt (idiom)/
补偿	/to compensate/to make up/
补救	/to remedy/
补贴	/to subsidize/subsidy/allowance/to supplement (one's salary etc)/benefit/
哺乳	/breastfeeding/to suckle/to nurse/
捕捉	/to catch; to seize; to capture/
不得已	/to act against one's will/to have no alternative but to/to have to/to have no choice/must/
不妨	/there is no harm in; might as well/
不敢当	/lit. I dare not (accept the honor); fig. I don't deserve your praise/you flatter me/
不禁	/can't help (doing sth)/can't refrain from/
不堪	/cannot bear/cannot stand/utterly/extremely/
不可思议	/inconceivable (idiom); unimaginable/unfathomable/
不免	/inevitably/
不时	/from time to time/now and then/occasionally/frequently/
不惜	/not stint/not spare/not hesitate (to do sth)/not scruple (to do sth)/
不相上下	/equally matched/about the same/
不言而喻	/it goes without saying; it is self-evident/
不由得	/can't help/cannot but/
不择手段	/by fair means or foul/by hook or by crook/unscrupulously/
不止	/incessantly/without end/more than/not limited to/
布告	/posting on a bulletin board/notice/bulletin/to announce/
布局	/arrangement/composition/layout/opening (chess jargon)/
布置	/to put in order/to arrange/to decorate/to fix up/to deploy/
步伐	/pace/(measured) step/march/
部署	/to dispose/to deploy/deployment/
部位	/part (esp. of the body, but also of a vegetable, e.g. the root, or a garment, e.g. the sleeve, etc)/
才干	/ability/competence/
财富	/wealth/riches/
财务	/financial affairs/
财政	/finances (public)/financial/
裁缝	/tailor/dressmaker/
裁判	/(law) to judge; to adjudicate; verdict; judgement/(sports) to referee/(sports) umpire; referee; judge/
裁员	/to cut staff/to lay off employees/
采购	/to procure (for an enterprise etc)/to purchase/
采集	/to gather/to collect/to harvest/
采纳	/to accept/to adopt/
彩票	/lottery ticket/
参谋	/staff officer/to give advice/
参照	/to consult a reference/to refer to (another document)/
残疾	/disabled/handicapped/deformity on a person or animal/
残酷	/cruel/cruelty/
残留	/to remain; to be left over/residual; remnant/residue/
残忍	/cruel/mean/merciless/ruthless/
灿烂	/to glitter/brilliant/splendid/
苍白	/pale/wan/
仓促	/all of a sudden/hurriedly/
仓库	/depot/storehouse/warehouse/
操劳	/to work hard/to look after/
操练	/drill/practice/
操纵	/to operate/to control/to rig/to manipulate/
操作	/to work/to operate/to manipulate/
嘈杂	/noisy/clamorous/
草案	/draft (legislation, proposal etc)/
草率	/careless/negligent/sloppy/not serious/
策划	/to plot/to scheme/to bring about/to engineer/planning/producer/planner/
策略	/strategy; tactics/crafty; adroit/
测量	/survey/to measure/to gauge/to determine/
侧面	/lateral side/side/aspect/profile/
层出不穷	/more and more emerge/innumerable succession/breeding like flies (idiom)/
层次	/layer/level/gradation/arrangement of ideas/(a person's) standing/
插座	/socket/outlet/
差别	/difference; distinction; disparity/
查获	/to track down and seize (a criminal suspect, contraband etc)/
刹那	/an instant (Sanskrit: ksana); split second; the twinkling of an eye/
诧异	/flabbergasted/astonished/
柴油	/diesel fuel/
缠绕	/twisting/to twine/to wind/to pester/to bother/
产业	/industry/estate/property/industrial/
阐述	/to expound (a position)/to elaborate (on a topic)/to treat (a subject)/
颤抖	/to shudder/to shiver/to shake/to tremble/
昌盛	/prosperous/
尝试	/to try; to attempt/CL:次[ci4]/
偿还	/to repay/to reimburse/
场合	/situation/occasion/context/setting/location/venue/
场面	/scene/spectacle/occasion/situation/
场所	/location/place/
敞开	/to open wide/unrestrictedly/
倡导	/to advocate/to initiate/to propose/to be a proponent of (an idea or school of thought)/
倡议	/to suggest/to initiate/proposal/initiative/
畅通	/unimpeded/free-flowing/straight path/unclogged/move without obstruction/
畅销	/to sell well/bestselling; chart-topping/
超越	/to surpass; to exceed; to transcend/
钞票	/paper money/a bill (e.g. 100 yuan)/CL:張|张[zhang1],紮|扎[za1]/
朝代	/dynasty/reign (of a king)/
潮流	/tide/current/trend/
嘲笑	/to jeer at/to deride/to ridicule/mockery/derision/
巢穴	/lair/nest/den/hideout/
撤退	/to retreat/
撤销	/to repeal/to revoke/(computing) to undo/
沉淀	/(chemistry) to settle; to precipitate/(chemistry) sediment; precipitate/(fig.) to accumulate/
沉闷	/oppressive (of weather)/heavy/depressed/not happy/(of sound) dull/muffled/
沉思	/to contemplate/to ponder/contemplation/meditation/
沉重	/heavy/hard/serious/critical/
沉着	/steady/calm and collected/not nervous/
陈旧	/old-fashioned/
陈列	/to display; to exhibit/
陈述	/an assertion/to declare/to state/
衬托	/to serve to highlight; to serve as a backdrop or contrasting element/
称心如意	/(idiom) after one's own heart; gratifying; satisfactory; everything one could wish/
称号	/name/term of address/title/
承办	/to undertake/to accept a contract/
承包	/to contract/to undertake (a job)/
承诺	/to promise/to undertake to do something/commitment/
城堡	/castle/rook (chess piece)/
成本	/(manufacturing, production etc) costs/
成交	/to complete a contract/to reach a deal/
成天	/(coll.) all day long/all the time/
成效	/effect/result/
成心	/intentionally; deliberately; on purpose/
成员	/member/
惩罚	/penalty/punishment/to punish/
诚挚	/sincere/cordial/
澄清	/to settle (of liquid)/to become clear (by precipitation of impurities)/precipitate (chemistry)/to put in order/to quell disturbances/
呈现	/to appear/to emerge/to present (a certain appearance)/to demonstrate/
吃苦	/to bear hardships/
吃力	/to entail strenuous effort/to toil at a task/strenuous/laborious/strain/
迟钝	/slow in one's reactions/sluggish (in movement or thought)/
迟缓	/slow/sluggish/
迟疑	/to hesitate/
持久	/lasting/enduring/persistent/permanent/protracted/endurance/persistence/to last long/
赤道	/equator (of the earth or a celestial body)/celestial equator/
赤字	/(financial) deficit/red letter/
冲动	/to have an urge/to be impetuous/impulse/urge/
