临	to face; to overlook; to arrive; to beabout to; just before
宴	feast; repose
们	plural marker for pronouns, and nouns referring to individuals
莉	jasmine
动	to move; to set in movement; to displace; to touch; to make use of; to stir; to alter; abbr. for 動詞|动词[dong4 ci2], verb
敬	respectful; to respect; to offer politely
使	to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger
食	to eat; food; animal feed; eclipse; to feed
巅	summit
醉	intoxicated
稻	paddy; rice
洪	surname Hong; flood; big; great
设	to set up; to put in place; given; suppose; if
率	rate; frequency; to lead; to command; rash; hasty; frank; straightforward; generally; usually
顽	mischievous; obstinate; to play; stupid; stubborn; naughty
岩	cliff; rock; variant of 岩[yan2]
守	to guard; to defend; to keep watch; to abide by the law; to observe; nearby; adjoining
懒	lazy
兽	beast; animal; beastly; bestial
烈	ardent; intense; fierce; stern; upright; to give one's life for a noble cause; exploits; achievements
呀	/(particle equivalent to 啊 after a vowel, expressing surprise or doubt)/
佛	Buddha; Buddhism; seemingly; head ornament
不	no; not so; not; un-
皱	to wrinkle; wrinkled; to crease
待	to stay; to wait; to treat; to deal with; to need; going to; about to; intending to
撑	to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support
渴	thirsty
台	Taiwan; surname Tai; you; desk; table; counter; Taiwan; platform; stage; terrace; stand; support; station; broadcasting station; classifier for vehicles or machines; typhoon
篷	sail
丸	ball; pellet; pill
惧	to fear
塑	to modelin clay
挎	to carry
述	to state; to tell; to narrate; to relate
典	canon; law; standard work of scholarship; literary quotation or allusion; ceremony; to be in charge of; to mortgage or pawn
赛	to compete; competition; match; to surpass; better than; superior to; to excel
尊	senior; of a senior generation; to honor; to respect; honorific; classifier for cannons and statues; ancient wine vessel
瘩	sore; boil; scab
俐	clever
省	to save; to economize; to be frugal; to omit; to delete; to leave out; province; provincial capital; a ministry; to scrutinize; to reflect; to come to realize; to pay a visit
乓	bang
复	to go and return; to return; to resume; to return to a normal or original state; to repeat; again; to recover; to restore; to turn over; to reply; to answer; to reply to a letter; to retaliate; to carry out; to repeat; to double; to overlap; complex; compound; composite; double; diplo-; duplicate; overlapping; to duplicate; to reply to a letter
疆	border; boundary
纺	to spin; fine woven silk fabric
笑	to laugh; to smile; to laugh at
据	used in 拮据[jie2 ju1]; according to; to act in accordance with; to depend on; to seize; to occupy
逢	to meet by chance; to come across; to come along; to fall on; to fawn upon
壁	wall; rampart
舒	surname Shu; to stretch; to unfold; to relax; leisurely
械	appliance; tool; weapon; shackles; also pr. [jie4]
烹	cooking method; to boil sb alive
士	surname Shi; member of the senior ministerial class; scholar; bachelor; honorific; soldier; noncommissioned officer; specialist worker
贴	to stick; to paste; to post; to keep close to; to fit snugly; to subsidize; allowance; sticker; classifier for sticking plaster: strip
粉	powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; to whitewash; white; pink; fan; to be a fan of
煤	coal
踏	see 踏實|踏实[ta1 shi5]; to tread; to stamp; to step on; to press a pedal; to investigate on the spot
家	used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]; home; family; my; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian
霉	mold; mildew; to become moldy
届	to arrive at; period; to become due; classifier for events, meetings, elections, sporting fixtures, years
影	picture; image; film; movie; photograph; reflection; shadow; trace
雕	to carve; to engrave; shrewd; bird of prey; bird of prey
刀	surname Dao; knife; blade; single-edged sword; cutlass; dollar; classifier for sets of one hundred sheets; classifier for knife cuts or stabs
夹	to press from either side; to place in between; to sandwich; to carry sth under armpit; wedged between; between; to intersperse; to mix; to mingle; clip; folder; Taiwan pr. [jia2]; double-layered; lined; Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2]
欠	to owe; to lack; to be deficient in; yawn; to raise slightly
惮	dread; fear; dislike
株	tree trunk; stump; a plant; classifier for trees or plants; strain; to involve others
算	to regard as; to figure; to calculate; to compute
造	to make; to build; to manufacture; to invent; to fabricate; to go to; party; crop; classifier for crops
暧	dim; obscure; clandestine; dubious
元	surname Yuan; the Yuan or Mongol dynasty; currency unit; first; original; primary; basic; fundamental; constituent; part; meta-; argument; variable; era; eon
庭	main hall; front courtyard; law court
饿	hungry; to starve
抄	to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms
浮	to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus
萨	Bodhisattva; surname Sa
外	outside; in addition; foreign; external
赔	to compensate for loss; to indemnify; to suffer a financial loss
姻	marriage connections
监	to supervise; to inspect; jail; prison; supervisor
堂	hall; large room for a specific purpose; relationship between cousins etc on the paternal side of a family; of the same clan; classifier for classes, lectures etc; classifier for sets of furniture; grand; magnificent; stately; majestic appearance
嗑	to crackbetween one's teeth
杠	flagpole; footbridge; coffin-bearing pole; thick pole; bar; rod; thick line; to mark with a thick line; to sharpen; to get into a dispute with; standard; criterion; hyphen; dash
课	subject; course; class; lesson; to levy; tax; form of divination
棺	coffin
厚	thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
毕	surname Bi; the whole of; to finish; to complete; complete; full; finished
程	surname Cheng; rule; order; regulations; formula; journey; procedure; sequence
渗	to seep; to ooze; to horrify
巷	lane; alley
勘	to investigate; to survey; to collate
迷	to bewilder; crazy about; fan; enthusiast; lost; confused
国	surname Guo; country; nation; state; national
霸	hegemon; tyrant; lord; feudal chief; to rule by force; to usurp; master
受	to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; 
伤	to injure; injury; wound
拓	surname Tuo; to make a rubbing; to expand; to push sth with the hand; to develop; to open up
子	son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month, year of the rat; viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; ancient Chinese compass point: 0°; subsidiary; subordinate;sub-; 
筐	basket
谷	grain; corn; surname Gu; valley
灿	glorious; bright; brilliant; lustrous; resplendent
父	father
难	difficult; problem; difficulty; difficult; not good; disaster; distress; to scold
九	nine; 9
携	old variant of 攜|携[xie2]; to carry; to take along; to bring along; to hold; also pr. [xi1]
料	material; stuff; grain; feed; to expect; to anticipate; to guess
凌	surname Ling; to approach; to rise high; thick ice; to insult or maltreat
破	broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture; to expose the truth of
峰	high and tapered peak or summit; mountain-like in appearance; highest level; classifier for camels
丈	measure of length, ten Chinese feet; to measure; husband; polite appellation for an older male
叫	to shout; to call; to order; to ask; to be called; by
狗	dog; dog; doggie
估	to estimate; used in 估衣[gu4 yi5]
汗	see 可汗[ke4 han2], 汗國|汗国[han2 guo2]; perspiration; sweat; to be speechless
双	surname Shuang; two; double; pair; both; even
砖	variant of 磚|砖[zhuan1]; brick
姑	paternal aunt; husband's sister; husband's mother; nun; for the time being; paternal aunt
潜	hidden; secret; latent; to hide; to conceal; to submerge; to dive
专	for a particular person, occasion, purpose; focused on one thing; special; expert; particular; concentrated; specialized
侣	companion
凝	to congeal; to concentrate attention; to stare
哗	bang; clang; sound of gurgling, splashing or flowing water; wow; clamor; noise; sound used to call cats; sound of gurgling water
肚	tripe; belly
筷	chopstick
群	group; crowd; flock, herd, pack etc
买	to buy; to purchase
供	to provide; to supply; to be for; to lay; offerings; to confess; confession; statement
酒	wine; liquor; spirits; alcoholic beverage
黑	abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]; black; dark; sinister; secret; shady; illegal; to hideaway; to vilify; to hack
嗯	; ; OK, yeah; what?; interjection indicating approval, appreciation or agreement
啰	used in 囉嗦|啰嗦[luo1 suo5]; 
真	really; truly; indeed; real; true; genuine; really; in fact; genuinely; scrupulously
之	; him; her; it
逗	to tease; to entice; to joke; funny; amusing; to stay; to sojourn
拾	to ascend in light steps; to pick up; to collate or arrange; ten
架	to support; frame; rack; framework; classifier for planes, large vehicles, radios etc
左	surname Zuo; left; the Left; east; unorthodox; queer; wrong; differing; opposite
捆	a bunch; to tie together; bundle
君	monarch; lord; gentleman; ruler
弓	surname Gong; a bow; to bend; to arch
揉	to knead; to massage; to rub
茂	luxuriant; cyclopentadiene
盘	plate; dish; tray; board; hard drive; to build; to coil; to check; to examine; to transfer; to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess; twisting and turning
哏	funny; amusing; sth comical; old variant of 很[hen3]; also used as an exclamation of anger
猜	to guess
庄	surname Zhuang; farmstead; village; manor; place of business; banker; grave or solemn; holdings of a landlord
啡	/(used in loanwords for its phonetic value)/
笔	pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals
大	big; large; great; older; eldest; greatly; freely; fully; father; uncle; see 大夫[dai4 fu5]; greatly; enormously; dad; uncle
遍	everywhere; all over; classifier for actions: one time
序	order; sequence; introductory; initial; preface
轨	rail; track; course; path
