我	I
们	plural
你	you
他	he
她	she
这	this
那	that
哪	which
儿	person/diminutive
谁	who
么	what
什	assorted
多	many
少	few
几	how many
怎	how
样	appearance
一	one
二	two
三	three
四	four
五	five
六	six
七	seven
八	eight
九	nine
十	ten
个	individual
岁	years
本	origin
些	some
块	lump
不	no
没	drowned
很	very
太	highest
都	capital city
点	point
和	together
在	exist
的	of
了	finish
吗	what
呢	particle
喂	feed
家	home
学	learn
校	school
店	shop
饭	meal
商	commerce/merchant
院	courtyard
医	medicine
中	middle
国	country
京	capital
北	north
上	above
下	down
面	face
前	front
后	behind
里	inside
天	sky
今	now
明	bright
昨	yesterday
午	noon
年	year
月	moon
号	cry
星	star
期	period
分	divide
钟	clock
现	present
时	time
候	wait
爸	father
妈	mom
子	son
女	female
师	teacher
老	old
生	born
同	same
友	friend
朋	friend
先	beforehand
小	small
姐	older sister
衣	clothes
服	clothes
水	water
菜	vegetable
米	rice
果	fruit
苹	duckweed
茶	tea
杯	cup
钱	coin
飞	fly
机	machine
出	go out
租	rent
车	car
电	electricity
视	look at
脑	brain
影	shadow
气	air
猫	cat
狗	dog
东	east
西	West
人	person
名	name
字	letter
书	book
语	language
汉	Chinese
桌	table
椅	chair
谢	thank
客	customer
见	to see
再	again
请	ask
对	opposite
起	rise
关	close
系	connect
是	to be
有	have
看	look
听	listen
说	speak
读	read
写	write
叫	to shout
来	come
回	return
去	to go
吃	eat
喝	drink
睡	to sleep
觉	feel
话	conversation
打	beat
做	make
买	buy
开	to open
坐	sit
住	live
习	practice
作	do
工	work
雨	rain
爱	love
喜	happy
欢	joyous
想	think
识	know
认	recognize
会	can
能	able
好	good
大	big
冷	cold
热	hot
兴	rise
高	high
亮	bright
漂	float
您	you
它	it
每	each
为	as
零	zero
两	two
百	hundred
千	thousand
第	grades
次	next
件	item
别	leave
非	not
常	often
也	also
还	still
最	most
真	really
正	straight
经	classics
已	already
就	just
因	cause
以	to use
所	place
虽	although
然	correct
但	but
从	from
比	to compare
往	go
离	leave
得	obtain
着	move/touch
过	to pass
吧	bar
场	place
室	room
教	teach
房	house
间	between
路	road
左	left
边	border
右	right
外	outside
旁	side
早	early
晚	evening
日	day
哥	elder brother
弟	younger brother
妹	younger sister
丈	measure
夫	husband
妻	wife
孩	child
男	male
员	member
务	affair
鱼	fish
肉	meat
羊	sheep
牛	ox
奶	breast
蛋	egg
鸡	chicken
瓜	melon
啡	"fei"
咖	coffee
雪	snow
药	medicine
手	hand
表	show
睛	eye
眼	eye
体	body
身	body
汽	steam
共	share
公	public
纸	paper
报	report
门	gate
题	question
课	subject
姓	surname
问	ask
情	feelings
事	matter
试	test
考	examine
票	ticket
意	idea
思	think
色	color
颜	color
铅	lead
笔	pen
条	strip
站	stand
火	fire
司	manage
馆	building
宾	guest
卖	sell
走	walk
进	advance
跑	run
步	step
到	to reach
穿	wear
洗	wash
给	give
找	to find
懂	understand
笑	laugh
告	announce
诉	complain
备	prepare
准	allow
始	begin
绍	continue
介	between
助	to help
帮	to help
玩	play
送	send
等	wait
让	yield
床	bed
唱	to sing
歌	song
跳	jump
舞	dance
游	to roam
旅	travel
班	team/class
病	illness
息	cease
休	rest
运	transport
动	move
泳	swimming
足	foot
踢	kick
球	ball
篮	basket
完	complete
道	way
知	to know
望	hope
希	hope
可	can
要	demand
红	red
白	white
黑	black
忙	busy
快	quick
慢	slow
远	far
近	near
累	accumulate
长	length
新	new
贵	expensive
宜	suitable
便	convenient
晴	clear
阴	overcast
错	mistake
乐	happy
姨	aunt
阿	Afghanistan
啊	interjection
矮	short
安	calm
静	quiet
把	handle
搬	move
半	half
办	manage
法	law
包	to wrap
饱	full
方	square
被	cover
鼻	nose
较	compare
赛	compete
记	record
须	must
必	certainly
化	transform
变	change
箱	box
冰	ice
单	single
加	add
参	participate
草	grass
层	layer
差	difference
超	exceed
市	market
衬	lining
衫	garment
绩	merit
成	succeed
城	city
迟	late
除	get rid of
船	boat
春	spring
词	word
典	canon
聪	clever
扫	sweep
算	calculate
带	carry
心	heart
