它	它是一只小猫。	It is a little cat.	这个问题它很难。	This problem is difficult.	它们是我的朋友。	They are my friends.
好的	好的，我知道了。	OK, I got it.	这个主意好的。	This idea is good.	好的，我们现在出发。	OK, we are leaving now.
假如	假如你不来，我就一个人去。	If you don't come, I'll go alone.	假如天气好，我们就去爬山。	If the weather is good, we'll go mountain climbing.	假如他不同意，我们就不去。	If he doesn't agree, we won't go.
她	她是我的朋友。	She is my friend.	她喜欢唱歌。	She likes singing.	她的笑容很温暖。	Her smile is very warm.
儿子	他有一个儿子。	He has a son.	我的儿子很乖。	My son is well-behaved.	他的儿子是我的学生。	His son is my student.
臂	他受伤了，臂上有一个大包。	He got injured, there's a big bump on his arm.	她抱着孩子，孩子的小臂搂着她的脖子。	She held the child, the child's little arm wrapped around her neck.	他的臂力很强。	His arm strength is very strong.
果酱	我喜欢吃草莓果酱。	I like to eat strawberry jam.	这个果酱很甜。	This jam is very sweet.	她做的果酱很好吃。	The jam she makes is delicious.
王一然	王一然是我的同事。	Eva is my colleague.	她的名字是王一然。	Her name is Eva.	王一然的演唱会很成功。	Eva's concert was very successful.
天空	天空中有很多云。	There are many clouds in the sky.	夜晚的天空很美。	The night sky is beautiful.	他喜欢仰望天空。	He likes to look up at the sky.
艺术	她对艺术很有天赋。	She is very talented in art.	这幅画是一件艺术品。	This painting is a work of art.	他的艺术作品很有创意。	His art pieces are very creative.
取款机	取款机在银行的旁边。	The ATM is next to the bank.	我需要去取款机取钱。	I need to go to the ATM to withdraw money.	取款机的密码是六位数。	The ATM's password is a six-digit number.
上帝	上帝保佑你。	God bless you.	她相信上帝。	She believes in God.	上帝是公平的。	God is fair.
嘿	嘿，你好吗？	Hey, how are you?	嘿，你听说了吗？	Hey, have you heard?	嘿，小心点！	Hey, be careful!
为何	为何你不告诉我？	Why didn't you tell me?	我不知道为何他要离开。	I don't know why he wants to leave.	为何这么晚才回家？	Why did you come home so late?
间谍	他是一名间谍。	He is a spy.	这个故事里有一个间谍。	There is a spy in this story.	他被怀疑是间谍。	He is suspected to be a spy.
蚂蚁	这只蚂蚁很勤劳。	This ant is very hardworking.	蚂蚁是一个很小的昆虫。	Ants are very small insects.	蚂蚁在地上爬行。	The ant crawls on the ground.
犹太人	他是一名犹太人。	He is a Jew.	犹太人有自己的宗教习俗。	Jews have their own religious customs.	她的邻居是一家犹太人。	Her neighbor is a Jewish family.
总和	这些数字的总和是多少？	What is the sum of these numbers?	他们的总和超过了一百。	Their sum exceeds one hundred.	总和代表了所有的部分。	The sum represents all the parts.
挨着	他的家挨着学校。	His house is near the school.	这个商店挨着超市。	This shop is near the supermarket.	我们的办公室挨着餐厅。	Our office is near the restaurant.
波浪	海浪拍打着岸边。	The waves are crashing against the shore.	她的头发有很多波浪。	Her hair has a lot of waves.	这个湖的波浪很大。	The waves on this lake are big.
女人	她是一个独立的女人。	She is an independent woman.	她是我的妻子，也是一个出色的女人。	She is my wife and also an outstanding woman.	这个女人非常勇敢。	This woman is very brave.
漂亮	她今天穿的衣服很漂亮。	Her clothes today are very pretty.	这幅画真漂亮！	This painting is really beautiful!	她长得很漂亮，又聪明。	She is very pretty and smart.
财务	我负责公司的财务工作。	I am in charge of the company's financial affairs.	她在大学学习了财务管理。	She studied financial management in college.	公司的财务状况不太好。	The company's financial situation is not very good.
爆款	这款手机是今年的爆款。	This mobile phone is this year's hot item.	这家店的爆款衣服很受欢迎。	The hot items of this store are very popular.	这是一款爆款口红。	This is a hot item lipstick.
地带	这个地带的气候很适合种植水稻。	The climate in this zone is very suitable for growing rice.	这个地带的风景很美。	The scenery in this zone is very beautiful.	我们现在正处于战斗的前线地带。	We are now in the front line zone of the battle.
课文	老师让我们背课文。	The teacher asked us to recite the text.	这篇课文很有意思。	This text is very interesting.	我们每天都要读一篇课文。	We have to read a text every day.
司机	我的爸爸是一名出租车司机。	My dad is a taxi driver.	这位司机开车技术很好。	This driver has very good driving skills.	请问，这辆车的司机是谁？	Excuse me, who is the driver of this car?
燕麦粥	早餐我喜欢吃燕麦粥。	I like to eat oatmeal for breakfast.	燕麦粥对身体很好。	Oatmeal is very good for the body.	她煮的燕麦粥很好吃。	The oatmeal porridge she cooked is delicious.
经济	这个国家的经济正在发展。	The economy of this country is developing.	我在大学学习经济学。	I study economics at university.	经济全球化是一个重要的话题。	Economic globalization is an important topic.
赌	他不赌钱。	He doesn't gamble.	他赌博输了很多钱。	He lost a lot of money gambling.	他赌气离家出走了。	He left home in a fit of pique.
疯	他的行为有点疯。	His behavior is a bit insane.	她的狂笑让人觉得她有点疯。	Her wild laughter makes people think she's a bit mad.	这个想法太疯了！This idea is too crazy!
紧急	这是一个紧急情况。	This is an urgent situation.	请立即通知医生，这是紧急情况。	Please inform the doctor immediately, this is an emergency.	他的病情很紧急。	His condition is very urgent.
谨慎	在做决定之前，我们要谨慎考虑。	We need to consider carefully before making a decision.	他是一个非常谨慎的人。	He is a very cautious person.	在这个问题上，我们必须谨慎行事。	We must act prudently on this issue.
那里	那里的风景很美。	The scenery there is very beautiful.	我想去那里旅行。	I want to travel there.	那里的气候很适合种植水果。	The climate there is very suitable for growing fruits.
法语	我在学校学习法语。	I study French at school.	她的法语发音很标准。	Her French pronunciation is very standard.	他在法国学习法语。	He is studying French in France.
观看	我们一起去观看电影吧。	Let's go watch a movie together.	观看比赛的人很多。	There are many people watching the game.	观看这幅画让我感到很愉快。	Watching this painting makes me very happy.
助手	他是我的助手，帮我处理很多事情。	He is my assistant, helping me with many things.	这个助手软件可以提高工作效率。	This assistant software can improve work efficiency.	她是一名出色的助手。	She is an excellent helper.
高跟鞋	她穿着一双高跟鞋。	She is wearing a pair of high-heeled shoes.	这双高跟鞋很漂亮。	These high-heeled shoes are very pretty.	高跟鞋对腿部不太好。	High-heeled shoes are not very good for the legs.
吃苦	他吃苦耐劳。	He can bear hardships and work hard.	在这个行业，要吃苦。	In this industry, you have to bear hardships.	吃苦是成功的一部分。	Bearing hardships is part of success.
肺	他的肺部有些问题。	There is some problem with his lungs.	肺是人体的重要器官之一。	The lung is one of the important organs of the human body.	她的肺活量很大。	Her lung capacity is very large.
辣椒	这道菜放了很多辣椒。	This dish has a lot of hot peppers.	她不怕吃辣椒。	She is not afraid to eat hot peppers.	辣椒对身体有好处。	Hot peppers are good for the body.
合	这两个部分合在一起。	These two parts are put together.	这个决定合大家的意愿。	This decision is in line with everyone's wishes.	这两个人合不来。	These two people don't get along.
一副眼镜	他戴着一副眼镜。	He is wearing a pair of glasses.	这是一副很时尚的眼镜。	This is a very fashionable pair of glasses.	我需要一副新的眼镜。	I need a new pair of glasses.
崇高	这是一个崇高的目标。	This is a majestic goal.	他的行为举止很崇高。	His behavior is very sublime.	崇高的理想是值得追求的。	Majestic ideals are worth pursuing.
连忙	他听到消息后连忙赶来。	He promptly rushed over after hearing the news.	她连忙道歉。	She promptly apologized.	他连忙离开了现场。	He promptly left the scene.
柜子	我把书放在柜子里。	I put the books in the cupboard.	这个柜子很结实。	This cabinet is very sturdy.	她在柜子里找到了丢失的东西。	She found the lost item in the cupboard.
日期	今天是几号日期？	What is the date today?	我们约定在明天的日期见面。	We agreed to meet on the date of tomorrow.	这个日期对我来说很重要。	This date is very important to me.
摸	他轻轻地摸了摸她的头。	He gently touched her head.	我摸不到书架上的书。	I can't reach the books on the bookshelf.	她摸索着找到了开关。	She felt around and found the switch.
国王	国王在宫殿里举行了盛大的宴会。	The king held a grand banquet in the palace.	这个国王对人民很仁慈。	This king is very kind to the people.	国王的权力是有限的。	The power of the king is limited.
然而	他很努力，然而成绩并不理想。	He works very hard, but the results are not ideal.	她很忙，然而总是能找时间锻炼。	She is very busy, yet always manages to find time to exercise.	这个计划看似简单，然而实施起来却很困难。	This plan seems simple, but it is actually very difficult to implement.
旅客	这个城市的旅客数量在增加。	The number of tourists in this city is increasing.	他是一位经验丰富的旅客。	He is an experienced traveler.	旅客们在车站等待着火车的到来。	The travelers are waiting for the train to arrive at the station.
拿到	我终于拿到了驾驶执照。	I finally got my driver's license.	他拿到了一个重要的文件。	He obtained an important document.	她拿到了奖学金。	She got a scholarship.
患者	医生正在给患者做手术。	The doctor is performing surgery on the patient.	这个医院的患者数量在增加。	The number of patients in this hospital is increasing.	患者需要得到及时的治疗。	Patients need to receive timely treatment.
难题	这是一个很难的难题。	This is a very difficult problem.	他们面临的难题需要团队合作来解决。	The difficult problem they are facing requires teamwork to solve.	解决这个难题需要一些创新的方法。	Solving this difficult problem requires some innovative approaches.
绘画	她喜欢绘画，尤其是油画。	She likes to draw, especially oil paintings.	这幅绘画的色彩很鲜艳。	The colors of this painting are very bright.	他的绘画作品在展览中受到了很多赞扬。	His paintings received a lot of praise at the exhibition.
