我	wǒ	/I; me; my/
我们	wǒmen	/we; us; ourselves; our/
你	nǐ	/you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)/
他	tā	/he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other/
她	tā	/she/
这 (这儿)	zhè ( zhèr)	this (here)
那 (那儿)	nà (nàr)	that (there)
哪	nǎ	/which? (interrogative, followed by classifier or numeral-classifier)/
哪儿	nǎr	/where?/wherever; anywhere; somewhere/(used in rhetorical questions) how can ...?; how could ...?/
谁	shéi	/who/also pr. [shui2]/
什么	shénme	/what?/something; anything/
多少	duōshǎo	/how much?; how many?/(phone number, student ID etc) what number?/
几	jǐ	/how much/how many/several/a few/
怎么	zěnme	/variant of 怎麼|怎么[zen3 me5]/
怎么样	zěnmeyàng	/how?/how about?/how was it?/how are things?/
一	yī	/one/single/a (article)/as soon as/entire; whole; all; throughout/"one" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit/
二	èr	/two/2/(Beijing dialect) stupid/
三	sān	/three/3/
四	sì	/four/4/
五	wǔ	/five/5/
六	liù	/six/6/
七	qī	/seven/7/
八	bā	/eight; 8/
九	jiǔ	/nine/9/
十	shí	/ten/10/
个	gè	/variant of 個|个[ge4]/
岁	suì	/classifier for years (of age)/year/year (of crop harvests)/
本	běn	/(bound form) root; stem/(bound form) origin; source/(bound form) one's own; this/(bound form) this; the current (year etc)/(bound form) original/(bound form) inherent/originally; initially/capital; principal/classifier for books, periodicals, files etc/
些	xiē	/classifier indicating a small amount or small number greater than 1: some, a few, several/
块	kuài	/lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units/
不	bù	/no; not so/(bound form) not; un-/
没	méi	/drowned/to end/to die/to inundate/
很	hěn	/(adverb of degree)/quite/very/awfully/
太	tài	/highest/greatest/too (much)/very/extremely/
都	dōu	/capital city/metropolis/
一点儿	yīdiǎnr	/erhua variant of 一點|一点[yi1 dian3]/
和	hé	/old variant of 和[he2]/harmonious/
在	zài	/to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)/
的	de	/(bound form) bull's-eye; target/
了	le	/unofficial variant of 瞭[liao4]/
吗	ma	/(question particle for "yes-no" questions)/
呢	ne	/woolen material/
喂	wèi	/to feed/
家	jiā	/home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]/
学校	xuéxiào	/school/CL:所[suo3]/
饭店	fàndiàn	/restaurant/hotel/CL:家[jia1],個|个[ge4]/
商店	shāngdiàn	/store; shop/CL:家[jia1],個|个[ge4]/
医院	yīyuàn	/hospital/CL:所[suo3],家[jia1],座[zuo4]/
中国	Zhōngguò	/China/
北京	Běijīng	/Beijing, capital of the People's Republic of China/
上	shàng	/(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above/
下	xià	/down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action/
前面	qiánmiàn	/ahead/in front/preceding/above/also pr. [qian2 mian5]/
后面	hòumiàn	/the back; the rear; the last bit/behind; near the end; at the back/later; afterwards/
里	lǐmiàn	/li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels/
今天	jīntiān	/today/the present time; now/
明天	míngtiān	/tomorrow/
昨天	zuótiān	/yesterday/
上午	shàngwǔ	/morning/CL:個|个[ge4]/
中午	zhōngwǔ	/noon/midday/CL:個|个[ge4]/
下午	xiàwǔ	/afternoon/CL:個|个[ge4]/p.m./
年	nián	/grain/harvest (old)/variant of 年[nian2]/
月	yuè	/moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]/
号	hào	/ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people/
星期	xīngqī	/week/CL:個|个[ge4]/day of the week/Sunday/
点	diǎn	/point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items/
分钟	fēnzhōng	/minute/
现在	xiànzài	/now/at present/at the moment/modern/current/nowadays/
时候	shíhou	/time/length of time/moment/period/
爸爸	bàba	/(coll.) father; dad/CL:個|个[ge4],位[wei4]/
妈妈	māma	/mama/mommy/mother/CL:個|个[ge4],位[wei4]/
儿子	érzi	/son/
女儿	nǚér	/daughter/
老师	lǎoshī	/teacher/CL:個|个[ge4],位[wei4]/
学生	xuéshēng	/student/schoolchild/
同学	tóngxué	/to study at the same school/fellow student/classmate/CL:位[wei4],個|个[ge4]/
朋友	péngyǒu	/friend/CL:個|个[ge4],位[wei4]/
医生	yīshēng	/doctor/CL:個|个[ge4],位[wei4],名[ming2]/
先生	xiānsheng	/teacher/gentleman; sir; mister (Mr.)/husband/(dialect) doctor/CL:位[wei4]/
小姐	xiǎojiě	/young lady/miss/(slang) prostitute/CL:個|个[ge4],位[wei4]/
衣服	yīfu	/clothes/CL:件[jian4],套[tao4]/
水	shuǐ	/water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes/
菜	cài	/vegetable; greens (CL:棵[ke1])/dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(of one's skills etc) weak; poor/(coll.) (one's) type/
米饭	mǐfàn	/(cooked) rice/
水果	shuǐguǒ	/fruit/CL:個|个[ge4]/
苹果	píngguǒ	/apple/CL:個|个[ge4],顆|颗[ke1]/
茶	chá	/tea/tea plant/CL:杯[bei1],壺|壶[hu2]/
杯子	bēizi	/cup/glass/CL:個|个[ge4],隻|只[zhi1]/
钱	qián	/coin/money/CL:筆|笔[bi3]/unit of weight, one tenth of a tael 兩|两[liang3]/
飞机	fēijī	/airplane/CL:架[jia4]/
出租车	chūzūchē	/taxi/(Tw) rental car/
电视	diànshì	/television; TV/CL:臺|台[tai2],個|个[ge4]/
电脑	diànnǎo	/computer/CL:臺|台[tai2]/
电影	diànyǐng	/movie; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]/
天气	tiānqì	/weather/
猫	māo	/cat (CL:隻|只[zhi1])/(dialect) to hide oneself/(loanword) (coll.) modem/
狗	gǒu	/dog/CL:隻|只[zhi1],條|条[tiao2]/
东西	dōngxi	/thing/stuff/person/CL:個|个[ge4],件[jian4]/
人	rén	/person; people/CL:個|个[ge4],位[wei4]/
名字	míngzi	/name (of a person or thing)/CL:個|个[ge4]/
书	shū	/book/letter/document/CL:本[ben3],冊|册[ce4],部[bu4]/to write/
汉语	hànyǔ	/Chinese language/CL:門|门[men2]/
字	zì	/letter/symbol/character/word/CL:個|个[ge4]/courtesy or style name traditionally given to males aged 20 in dynastic China/
桌子	zhuōzi	/table/desk/CL:張|张[zhang1],套[tao4]/
椅子	yǐzi	/chair/CL:把[ba3],套[tao4]/
谢谢	xièxie	/to thank/thanks/thank you/
不客气	búkèqì	/you're welcome/don't mention it/impolite/rude/blunt/
再见	zàijiàn	/goodbye/see you again later/
请	qǐng	/to ask/to invite/please (do sth)/to treat (to a meal etc)/to request/
对不起	duìbùqǐ	/I'm sorry; excuse me; I beg your pardon/to let (sb) down; to disappoint/
没关系	méiguānxì	/it doesn't matter/
是	shì	/variant of 是[shi4]/
有	yǒu	/to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)/
看	kàn	/to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for/
听	tīng	/to listen to; to hear/to heed; to obey/a can (loanword from English "tin")/classifier for canned beverages/to let be; to allow (Taiwan pr. [ting4])/(literary) to administer; to deal with (Taiwan pr. [ting4])/
说	shuō	/variant of 說|说[shuo1]/
读	dú	/to read out; to read aloud/to read/to attend (school); to study (a subject in school)/to pronounce/
写	xiě	/to write/
看见	kànjiàn	/to see/to catch sight of/
叫	jiào	/variant of 叫[jiao4]/
来	lái	/to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])/
回	huí	/variant of 迴|回[hui2]/
去	qù	/to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/
吃	chī	/variant of 吃[chi1]/
喝	hē	/to shout/
睡觉	shuìjiào	/to go to bed/to sleep/
打电话	dǎdiànhuà	/to make a telephone call/
做	zuò	/to make; to produce/to write; to compose/to do; to engage in; to hold (a party etc)/(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)/(of a thing) to serve as; to be used for/to assume (an air or manner)/
买	mǎi	/to buy/to purchase/
开	kāi	/to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format/
坐	zuò	/to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuo4]/
住	zhù	/to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)/
学习	xuéxí	/to learn/to study/
工作	gōngzuò	/to work/(of a machine) to operate/job/work/task/CL:個|个[ge4],份[fen4],項|项[xiang4]/
下雨	xiàyǔ	/to rain/
爱	ài	/to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)/
喜欢	xǐhuān	/to like; to be fond of/
想	xiǎng	/to think (about)/to think of; to devise/to think (that); to believe (that)/to desire; to want (to)/to miss (feel wistful about the absence of)/
认识	rènshi	/to know/to recognize/to be familiar with/to get acquainted with sb/knowledge/understanding/awareness/cognition/
会	huì	/to balance an account/accounting/accountant/
能	néng	/can/to be able to/might possibly/ability/(physics) energy/
好	hǎo	/to be fond of; to have a tendency to; to be prone to/
大	dà	/see 大夫[dai4 fu5]/
小	xiǎo	/small/tiny/few/young/
多	duō	/many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-/
少	shǎo	/young/
冷	lěng	/cold/
热	rè	/to warm up/to heat up/hot (of weather)/heat/fervent/
高兴	gāoxìng	/happy/glad/willing (to do sth)/in a cheerful mood/
漂亮	piàoliang	/pretty; beautiful/
您	nín	/you (courteous, as opposed to informal 你[ni3])/
它	tā	/it/
大家	dàjiā	/everyone/influential family/great expert/
每	měi	/each/every/
为什么	wèishénme	/why?/for what reason?/
零	líng	/zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither/
两	liǎng	/two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)/
百	bǎi	/hundred/numerous/all kinds of/
