判	vb/n
剪	vb/n
卵	n
发	vb/n
叫	vb/n
吐	vb/n
咬	vb/n
咸	adj
响	adj/vb/n
喂	vb/n
圣	n/adj
夸	vb
奖	n/vb
寄	vb/n
州	n
建	vb/n
式	n
弦	n
弱	adj
强	adj/vb
当	vb/adj/adv/n
扫	vb/n
拆	vb/n
招	n/vb
插	vb/n
搭	vb/n
摘	vb/n
撩	vb
收	vb/n
敏	adj/n
敢	adj/vb
数	vb/n/adj
是	vb/adj
枪	n
梗	n
波	n
流	vb/n
浅	adj
海	n
湿	adj/vb
漏	vb/n
炒	vb/n
炸	vb/n
点	vb/n/measure
烤	vb/n
煎	vb/n
熟	adj/vb
牛	n
狼	n
猜	vb/n
生	adj/vb/n
盾	n
省	n/vb
矛	n
硬	adj/vb
税	n
粗	adj/n
粥	n
糊	adj/vb
细	adj/n
聊	vb/n
聚	vb/n
肝	n
肾	n
胃	n
背	n/vb
腰	n
舔	vb
薄	adj
虾	n
蛋	n
误	vb/n/adj
说	vb
躺	vb/n
转	vb/n
软	adj
醉	adj/vb
锣	n
音	n
代	n/vb
敲	vb
一切	n/pron/adv
一旦	conj/adv
一直	adv
一集	n/measure
丈夫	n
上传	vb
上火	vb
上线	vb
下期	n
不安	adj/n
不断	adj/adv
不论	conj/adv
不足	adj/n
不过	conj/adv
专业	adj/n
专家	n
专心	adj/n/vb
专门	adj/adv/vb
世俗	adj/n
世界	n
世纪	n
东亚	n
东岸	n
丢失	vb
严格	adj/adv
严肃	adj/n
中东	n
中式	adj
中性	adj/n
中风	n/vb
丹麦	n
为了	pp
主动	adj/n/vb
主席	n
主教	n
主要	adj/adv/n
主观	adj/n
主角	n
主语	n
举手	vb
举报	vb
举重	vb
义乌	n
乐器	n
乐观	adj/n
乐队	n
习得	vb
习惯	n/vb
乡村	n
书柜	n
买单	vb
买方	n
了解	vb
争取	vb
事业	n
事实	n
互相	adv
亚洲	n
交叉	vb/n
交换	vb/n
交流	vb/n
交税	vb
交通	n
享受	vb
亲密	adj/n
亲情	n
亲戚	n
人们	n
人才	n
人民	n
人生	n
人脉	n
付出	vb
付钱	vb
仙子	n
代替	vb
代码	n
代笔	vb/n
代表	n/vb
代词	n
代购	vb/n
仪式	n
价值	n/vb
价格	n
伏笔	n
休假	n/vb
优点	n
优秀	adj/n
会计	n/vb
会议	n
传统	n/adj
伤口	n
伤害	n/vb
伪装	n/vb
伴侣	n
似乎	adv
位置	n
低调	adj/adv
体力	n
体现	vb
体谅	vb
体重	n
体验	n/vb
何况	conj
佛教	n
作家	n
你呀	pron
侄女	n
侄子	n
例子	n
侥幸	adj/n
侵略	n/vb
俄语	n
俏皮	adj/n
俗语	n
保姆	n
保存	vb
保护	vb
保持	vb
信仰	n/vb
信任	n/vb
倒下	vb
借口	n/vb
值得	adj/vb
假如	conj
假定	vb
假期	n
假装	vb
做作	adj/vb
做客	vb
做梦	vb
健康	adj/n
健身	vb
偶像	n
偶然	adv
偷听	vb
傻逼	n/adj
元素	n
元音	n
兄长	n
充电	vb/n
光谱	n
入口	n
全职	adj/n
全音	n
公厕	n
公司	n
公安	n
公寓	n
公平	adj/n
公开	adj/vb
公式	n
公母	n
关于	pp
关心	vb
关注	vb/n
关系	n/vb
关键	adj/n
典型	adj/n
养活	vb
养猫	vb
兼职	n/adj/vb
兽医	n
内向	adj
内容	n
内耗	n
再会	interj/vb
冒号	n
冒险	n/vb
军队	n
