几	少
不	没
没	不
爱	喜欢
喜欢	爱
会	能
能	会
少	几
您	你
两	二
件	块
右边	对
早上	上午
时间	时候
出	来
知道	认识
可以	能;会
要	想
快乐	高兴
对	右边
矮	短
帮忙	帮助
变化	换
差	坏
打扫	干净
担心	着急
短	矮
发现	找
分	分钟
干净	打扫
更	越
还是	还
坏	差
还（动词）	回
换	变化
讲	说
久	长
旧	老
口	嘴
老	旧
了解	懂
马上	对;右边
米	米饭
明白	清楚
拿	起飞
起来	起床
起飞	拿
清楚	明白
认为	觉得
先	第一
小心	手表
一直	总是
又	再
越	更
着急	担心
照顾	看
总是	一直
嘴	口
爱情	爱;喜欢
安排	整理
按时	准时
按照	根据
抱	把;举办;举行
倍	遍;次
比如	例如
遍	时候;趟;倍;次;时间
表示	演出;表演
表演	表示;演出;玩
并且	也
博士	医生;大夫
不过	可是;仍然;而;倒;然而;却
不得不	有;只好;得（助动词）
部分	节
餐厅	饭店
差不多	几乎
尝	味道;试
场	地点
厕所	洗手间;卫生间
乘坐	骑
从来	一直;总是
粗心	马虎
存	节约
答案	回答
打扰	麻烦
大约	关于;对于;左右
戴	穿;提
大夫	医生;博士
倒	仍然;其实;而;却;实在;不过
到底	究竟
地点	场
得（助动词）	有;只好;不得不
等 （动）	等
底	基础
丢	输
对于	关于;大约;左右
对面	相反
而	可是;和;不过;仍然;倒;然而;与;却
发展	长（动词）
放弃	给
份	复印
丰富	富
符合	见面
富	丰富
付款	工资
父亲	爸爸
复印	份
改变	零钱;换;变化
感觉	感情
感情	关系;感觉
感谢	谢谢
干	工作;弄;做
刚	刚才
各	每
工资	付款
关键	重点;钥匙
光	轻;只（副词）
国籍	民族
号码	数量;数字
厚	深
活泼	热闹
火	热
获得	弄;起来;起床
基础	底
激动	兴奋
寄	发
计划	节目;打算
既然	由于;尽管
减少	降低
降低	减少
交	弄;使
接着	其次
结果	因此
节	节日;部分
节约	存
解释	说明
尽管	既然
进行	举办
究竟	确实;到底;终于
举	抬;提
举办	举行;抱;把;进行
举行	抱;把;举办
开玩笑	笑话
开心	快乐;高兴;愉快;幸福
棵	树
可怜	穷
可是	而;不过;然而;却
肯定	自然
理解	懂;了解
力气	优点
例如	比如
俩	两;二
零钱	换;变化;改变
留	离开
旅行	旅游
麻烦	打扰
马虎	粗心
满	饱
毛	头发
美丽	漂亮
民族	国籍
母亲	妈妈
内	在
弄	干;交;使;做;起来;起床;获得
其次	接着
轻	光;轻松
轻松	轻
情况	条件
穷	可怜
取	拿;起飞
却	可是;仍然;而;倒;然而;不过
确实	究竟
然而	而;不过;可是;却
热闹	活泼
仍然	还;而;倒;却;不过;还是
伤心	难过
稍微	一点儿
深	厚
申请	使用
生活	生命
生命	生活
失败	输
十分	非常;极
实在	其实;倒;真
使	引起;弄;交;原因
使用	用;申请
收	受到
收拾	整理
受到	收
输	失败;丢
数量	数字;号码
数字	数量;号码
说明	解释
所有	都
抬	提;举
谈	说话
趟	遍;时候;时间
提	抬;戴;举
条件	情况
挺	很
通过	以
往往	经常
味道	尝
卫生间	洗手间;厕所
相反	对面
消息	信息;新闻
笑话	开玩笑
效果	作用
信息	消息;新闻
兴奋	激动
性格	字
幸福	快乐;高兴;愉快;开心
许多	多
呀	啊
演出	表示;表演
样子	照顾;看
要是	如果
钥匙	关键;重点
也许	或者
以	跟;与;通过
以为	认为;觉得
因此	于是;结果
引起	使;原因
优点	力气
由	从
由于	既然
尤其	专门;特别
愉快	快乐;高兴;幸福;开心
于是	因此
与	和;跟;以;而;对
原因	引起;使
约会	日
阅读	读
咱们	我们
增加	提高
占线	忙
整理	安排;收拾
正确	马上;对;右边
只好	有;不得不;得（助动词）
重点	关键;钥匙
周围	环境
著名	有名
专门	尤其;特别
准时	按时
仔细	注意
自然	肯定
左右	关于;对于;大约
座	座位
作家	作者
座位	座
作用	效果
作者	作家
爱心	同情;恋爱;爱;爱情;喜欢
岸	银行
包含	体现
保存	救;节约;节省;存
报到	登记;挂号;支票;注册
报告	报道
本领	能力
辩论	争论
标志	签;象征
表达	表情;词语
表情	词语;表达
表现	演出;表演
不断	连续
不见得	未必
补充	增加
不然	要不;否则
部门	系
采取	取;拿;起飞
产生	生产
彻底	周到
趁	一会儿
称	命令;叫
称赞	表扬;赞美;夸
承担	承受
承受	承担
程序	手续
成立	出发;建立
持续	坚持;继续
冲	闯;赶
出示	表示;演出;表演
处理	办理;过程
闯	冲;赶
此外	另外
匆忙	急忙
从而	因此;因而
从前	原来;以前
促使	归纳;劝;催
打工	干;干活儿;劳动;作品;工作
待遇	付款;工资
单位	公司;单元
耽误	推迟
淡	浅;光明;轻;清淡;光
道理	理由;原因;实话
登记	挂号;报到;注册
递	交
顶	最
逗	有趣
度过	花（动词）
发表	出版;公布
发达	发挥;生长;发展
发挥	摆;发达;展览;生长;发展
罚款	优美;晴
反而	相反;代替
范围	规模
方式	方法;办法
妨碍	挡
分布	分配
风景	景色
扶	帮助;抱;帮忙;把;举行;举办
复制	复印;份
改进	完善;改善;进步
改正	正确;正
感想	摸;感觉
