i	zi	first_occurence	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	nhsk1	nhsk2	nhsk3	nhsk4	nhsk5	nhsk6	stront1	weeb1
0	我	hsk1	我; 我们						我; 我们					自我	我叫女朋友教我中文。; 我的女朋友让我喝酒。; 她让我帮她搬很重的东西。; 看我的小猫让我很开心。; 看我的妈妈; 让我看起来不错; 她让我别说谎; 对我很好; 药店离我家走路五分钟; 我个人觉得; 我说得不太好; 我昨天作业没写得很好; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 我有一些饼干，你拿去吧; 莉莎比我爱干净; 即使我学一门很简单的语言，也需要很长时间。; 我不确定; 我睡了; 我不喝酒了。; 我不想再喝酒了。; 我快要生气了; 我快要疯了; 对我来说; 我都喜欢; 跟我抱怨她的工作; 我控制不住地; 至少我是这么认为的; 我很心疼她; 我爸爸去世了，我很心痛; 我走到公司去; 我走到公司来了; 朋友对我说; 向我跑来; 我藏我的钱在床下; 我躲在床下; 我记得有一次...; 我在想...; 我想着...; 我觉着...; 我不学中文了！; 让我想起了; 我们要互相学习，互相帮助。; 让我印象深刻; 吓我一跳; 让我好尴尬; 我的偶像塌房了	xswl; 我就笑笑不说话; 嫉妒使我质壁分离; 众人皆醉我独醒; 我们家; 这位同学，我装逼的时候，请你不要说话; 社会我X哥/姐; 扶我上墙; 世界那么大，我想去看看; 我下面给你吃; 我+可能+; 我能怎么办?; 我不要面子的啊; 放飞自我; 皮皮虾，我们走; 把我炸出来; 别说话，吻我; 这样的。。。给我来一打; 鬼知道我经历了什么; 不装逼我们还是好朋友; 请收下我的膝盖; 厉害了我的哥; 不能我一个人瞎; 放开他,; 我走过最远的路，是你的套路; 这句话我给满分; 我伙呆; 我宣你; 妈妈问我为什么跪著看。。。; 机智如我; 抱紧我; 霸道总裁爱上我; 我想静静; 怪我咯; 我也是醉了
1	们	hsk1	我们			咱们			们; 你们; 他们; 她们; 我们	人们; 它们; 咱们					他们下个星期就要结婚了。; 他们快要/就要结婚了。; 它们有什么一样的地方？; 我们要互相学习，互相帮助。; 在你们行业中	我们家; 乃们; 皮皮虾，我们走; 不装逼我们还是好朋友; 你们感受下
2	你	hsk1	你						你; 你们						你怎么知道...?; 你身边; 你拿一本书来; 我有一些饼干，你拿去吧; 谢谢你的帮助; 你觉得这件事有什么好的地方？; 供你参考; 给你留下了...的印象; 你呀; 你太过分了; 让你退学; 在你们行业中; 你怎么看？; 你觉得呢？; 你的看法是什么？	你国; 愿你出走半生，归来仍是少年; 首先你要有个。。。; 送你上热评; 送你上墙; 这位同学，我装逼的时候，请你不要说话; 不扶墙就服你; 请开始你的表演; 我下面给你吃; 这盛世如你所愿; 你的良心不会痛吗; 你还记得大明湖畔的。。。吗; 你这是在搞事情; 你咋不上天呢; 对方不想和你说话并向你扔了一只狗; 没想到你是这样的。。。; 我走过最远的路，是你的套路; 你行你上，不行别瞎BB; 我宣你; 。。。不是高冷，只是暖的不是你; 你们感受下
3	他	hsk1	他		其他				他; 他们	其他					到他跟前; 对他有礼貌; 他们下个星期就要结婚了。; 他们快要/就要结婚了。; 他已经付钱了。; 在他成名前，他曾以卖艺为生	放开他,
4	她	hsk1	她						她; 她们						她让我帮她搬很重的东西。; 给她买一个包包; 她没做完作业。; 她让我别说谎; 发一张照片给她; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 跟我抱怨她的工作; 我很心疼她; 送她回家; 接她下班; 为她想; 在她的情况里; 对她耍脾气	
5	这	hsk1	这						这; 这边; 这里; 这儿; 这些	这么; 这时候｜这时; 这样				这就是说	这个房间很黑。; 这样做/; 在这个情况下; 在这张照片里; 这件事很急; 至少我是这么认为的; 你觉得这件事有什么好的地方？; 进这里来; 这次爬山; 这么说太过分了	这是。。。被黑得最惨的一次; 这种男友不分留著过年么; 这位同学，我装逼的时候，请你不要说话; 这届; 这是一道超纲题; 这盛世如你所愿; 还有这种操作; 这样的。。。给我来一打; 干了这碗毒鸡汤; 你这是在搞事情; 没想到你是这样的。。。; 这句话我给满分; 这货
6	那	hsk1	那					刹那	那; 那边; 那里; 那儿; 那些	那; 那会儿; 那么; 那时候｜那时; 那样					那句话的意思; 没那么乱; 再那块儿	世界那么大，我想去看看
7	哪	hsk1	哪; 哪儿				哪怕		哪; 哪里; 哪儿; 哪些			哪怕; 哪			哪儿穿得; 拆哪儿	
8	儿	hsk1	哪儿; 一点儿; 儿子; 女儿		一会儿	儿童	干活儿; 使劲儿; 幼儿园	大伙儿; 墨水儿; 纳闷儿; 纽扣儿; 玩意儿; 馅儿; 心眼儿; 婴儿	儿子; 好玩儿; 没事儿; 面条儿; 哪儿; 那儿; 男孩儿; 女儿; 女孩儿; 玩儿; 小孩儿; 一会儿; 一块儿; 一下儿; 一点儿; 这儿	不一会儿; 干活儿; 画儿; 快点儿; 那会儿; 笑话儿; 一会儿; 有空儿; 有	空儿; 老头儿	儿童; 没法儿; 名牌儿; 模特儿; 味儿; 有劲儿; 幼儿园	差; 大伙儿; 儿女; 个儿; 胡同儿; 小偷儿; 一下儿	待会儿; 儿科; 孤儿; 聊天儿; 少儿	等一会儿; 混血儿; 门儿都没有/; 好好儿; 再那块儿; 哪儿穿得; 稍微有点儿冷; 张个儿; 拆哪儿	反向育儿; 地主家的傻儿子; 蛋妞儿
9	谁	hsk1	谁						谁							谁还不是小公主咋的; 没sei了
10	什	hsk1	什么	为什么					干什么; 没什么; 什么	什么样; 为什么					什么时候？; 它们有什么一样的地方？; 你觉得这件事有什么好的地方？; 你的看法是什么？	鬼知道我经历了什么; 什么仇什么怨; 妈妈问我为什么跪著看。。。; 什么鬼
11	么	hsk1	什么; 怎么; 怎么样	为什么	多么				干什么; 没什么; 什么; 怎么	多么; 那么; 什么样; 为什么; 怎么办; 怎么样; 这么				不怎么; 不怎么样; 要么	你怎么知道...?; 要么...要么...; 什么时候？; 至少我是这么认为的; 它们有什么一样的地方？; 你觉得这件事有什么好的地方？; 没那么乱; 这么说太过分了; 你怎么看？; 你的看法是什么？	这种男友不分留著过年么; 世界那么大，我想去看看; 我能怎么办?; 鬼知道我经历了什么; 什么仇什么怨; 怎么破; 么么哒; 妈妈问我为什么跪著看。。。; 什么鬼
12	少	hsk1	多少; 少			减少; 缺少; 至少	青少年		多少; 少	不少; 青少年; 少数; 少年	缺少; 至少	减少		少儿	至少我是这么认为的; 至少; 少数民族; 少数族裔; 性少数群体	已婚少女; 愿你出走半生，归来仍是少年; 老夫的少女心; 网瘾少女; 少女心; 少一点套路，多一点真诚; 少女心收割机
13	多	hsk1	多少; 多		多么	差不多; 许多	多亏; 多余	多元化; 见多识广	多; 多少	差不多; 大多数; 多; 多久; 多么; 多数; 多云; 好多; 许多		大多; 多次; 多年; 多样; 多种	增多; 众多	多半; 多方面; 多媒体; 绝大多数	她德语比我说得好得多; 她德语说得比我好得多; 小明花钱花得非常多; 小明钱比小李花得多得多; 差不多; 多元	是有多。。。; 不能同意更多; 少一点套路，多一点真诚
14	几	hsk1	几		几乎				几			几乎			几个星期前	
15	怎	hsk1	怎么; 怎么样						怎么	怎么办; 怎么样; 怎样				不怎么; 不怎么样	你怎么知道...?; 你怎么看？	我能怎么办?; 怎么破
16	样	hsk1	怎么样		一样	样子	样式	榜样; 模样; 样品; 照样	一样	那样; 什么样; 同样; 样子; 怎么样; 怎样; 这样		多样	模样	不怎么样; 样; 一模一样; 照样	这样做/; 跟...一样/; 它们有什么一样的地方？	嫁给了爱情的模样; 这样的。。。给我来一打; 没想到你是这样的。。。; 笑得像钟汉良一样
