麻辣雞	n. Spicy+chick. This Internet slang term is a nickname for Nicki Minaj because it sounds like her last name “Minaj” and compliments her voluptuous figure.
熱單	n. 【Music】Hot+single. Short for 熱門單曲 [rè mén dān qǔ] “hit single.”  This Internet slang term usually refers to European and American pop songs in English.
只管	solely engrossed in one thing; just (one thing, no need to worry about the rest); simply; by all means; please feel free; do not hesitate (to ask for sth)
渗透	(lit. and fig.) to permeate; to seep into; (of a product, idea etc) to penetrate (in a population); (of hostile forces) to infiltrate; (chemistry) osmosis
接着	to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn
开放	to bloom; to open; to be open (to the public); to open up (to the outside); to be open-minded; unrestrained by convention; unconstrained in one's sexuality
自帶濾鏡	n. Pre-installed filters. This Internet slang term is often used to describe someone who looks beautiful as if he or she carries filters of his or her own.
母上大人	n. Mother+Her Excellency. Derived from the Japanese honorific title ” haha-ue” (ははうえ), this Internet slang term is used humorously to address one’s mother.
囧雪诺	n. Awkward+Snow. This Internet slang term is an affectionate nickname for Jon Snow, a character in Game of Thrones, because of 囧 [jiǒng] sounds like “Jon.”
不忘初心	<Expression> Do not forget the original aspiration. This expression is used to remind oneself or to commend others for sticking to one’s beliefs or dreams.
单身狗	n. Literally “single dog”, this Internet slang term refers to single people who are eager to enter a relationship but find it difficult to achieve the goal
顿	to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal
激烈	(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme
父上大人	n. Father+His Majesty. Derived from the Japanese honorific title “chichi-ue”  (ちちうえ) ,  this Internet slang term is used humorously to address one’s father.
没法儿	(coll.) can't do anything about it; (coll.) there's no way that ...; it's simply not credible that ...; (coll.) couldn't be (better) (i.e. simply wonderful)
高司令	n. Commander Gao. This Internet slang term is a nickname for Ryan Gosling because it sounds like the Chinese translation of his last name: 高斯林 [gāo sī lín].
摘	to take; to pick (flowers, fruit etc); to pluck; to remove; to take off (glasses, hat etc); to select; to pick out; to borrow money at a time of urgent need
园	land used for growing plants; site used for public recreation; abbr. for a place ending in 園|园, such as a botanical garden 植物園|植物园, kindergarten 幼兒園|幼儿园 etc
票	ticket; ballot; banknote; CL:張|张[zhang1]; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions
斯巴達	adj. Sparta. Crazy. [Of a person] going nuts. This Internet slang term comes from the video “This Is Sparta,” a parody of the movie Meet the Spartans (2008).
油管	n. Gas pipeline. This Internet slang term is a nickname for YouTube. 油 [yóu] “oil or gas” sounds like “you” while 管 [guǎn] “pipe” is a translation of “tube.”
不忍直視	<Expression> Cannot bear to look at [someone or something] straight in the eye. This Internet slang term is used when you find it hard to accept a situation.
比	to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)
司姬	n. Female driver. A female who is skilled in things such as gaming and telling dirty jokes. This Internet slang term is the female version of 老司機 [lǎo sī jī].
女權婊	n. Feminism+bitch. Feminist bitch. This Internet slang term is a derogatory term for feminists. It is often used by people who loathe feminism and  feminists.
浮	to float; superficial; floating; unstable; movable; provisional; temporary; transient; impetuous; hollow; inflated; to exceed; superfluous; excessive; surplus
阿姨粉	n. Auntie fans. This Internet slang term refers to female fans who are much older than their male idol. They tend to look at the idol as a cute little nephew.
綠光	n. Green light. This Internet slang terms comes from Stephanie Sun’s song “Green Light” but is now used to mock people whom were cheated on by their partners.
撒狗糧	v. To pour dog food. (Of a couple) to show affection toward each other online or offline, which may trigger envy, jealousy, and self-pity among single people.
追	to chase; to pursue; to look into; to investigate; to reminisce; to recall; to court (one's beloved); to binge-watch (a TV drama); retroactively; posthumously
枚	classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc; tree trunk; whip; wooden peg, used as a gag for marching soldiers (old)
离	to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; ☲
摩擦摩擦	v. Friction friction. This expression comes from the widely ridiculed 2014 song “My Skating Shoes” by Pang Mailang. It is now often a euphemism for having sex.
傻麅子	n. Silly roe deer. A kind of roe deer found in north China. This Internet slang term refers to the roe deer. It is also a nickname for singer and actor Lu Han.
女權癌	n. Feminism+cancer. Feminist cancer. This Internet slang term is a derogatory term for feminists. It is often used by people who loathe feminism and feminists.
沒節操	adj. [Of someone] stooping low and doing unethical things. This Internet slang term is closely related to 節操 [jié cāo] “scruples, moral principles, integrity.”
机关	mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; stratagem; scheme; intrigue; plot; trick; CL:個|个[ge4]
第X彈	n. No. X shot. Derived from the Japanese culture, this Internet slang term is used to introduce a new piece of work (article, illustration, video) in a series.
联想	to associate (cognitively); to make an associative connection; mental association; word prediction and auto-complete functions of input method editing programs
冒	to emit; to give off; to send out (or up, forth); to brave; to face; (bound form) reckless; to falsely adopt (sb's identity etc); to feign; (literary) to cover
掌握	to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency
單身汪	n. Single+woof. Single+woof.  This Internet slang term refers to single people who are eager to enter a relationship but find it difficult to achieve the goal.
装	adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack
你國	n. Your country. China. This Internet slang term is often used negatively and satirically, implying one’s unwillingness to side with the government on an issue.
科學上網	<Expression> Surf the web scientifically. This expression is a euphemism for accessing the blocked non-Chinese websites using VPNs. A synonym is 翻墻 [fān qiáng].
圍笑	v. & n. Surround+smile. Smile. This Internet slang term, an alternative of 微笑 [wēi xiào] “smile” because they sound alike, mimics the Taiwanese Mandarin accent.
以为	to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
相愛相殺	<Expression> To love and kill each other. This Internet slang term humorously describes a de facto or assumptive love-hate relationship between two individuals.
老幹部	n. Old cadres. An “old cadre” is a male actor whose gravitas in conduct and speech seems a little outdated but is still very adorable for his crazy female fans.
他	he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other
成语	Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage; CL:條|条[tiao2],本[ben3],句[ju4]
定	to fix; to set; to make definite; to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc); to congeal; to coagulate; (literary) definitely
