道理	reason; argument; sense; principle; basis; justification; CL:個|个[ge4]
弊端	systemic problem (sometimes refers specifically to corrupt practices)
从事	to go for; to engage in; to undertake; to deal with; to handle; to do
词汇	vocabulary; list of words (e.g. for language teaching purposes); word
经常	frequently; constantly; regularly; often; day-to-day; everyday; daily
观念	notion; thought; concept; sense; views; ideology; general impressions
儿女	children; sons and daughters; a young man and a young woman (in love)
烦	to feel vexed; to bother; to trouble; superfluous and confusing; edgy
困难	difficult; challenging; straitened circumstances; difficult situation
动漫	cartoons and comics; anime and manga; cartoon (animated movie); anime
滑	to slip; to slide; slippery; smooth; sly; slippery; not to be trusted
数量	amount; quantity (CL:個|个[ge4]); quantitative; (math.) scalar quantity
死	to die; impassable; uncrossable; inflexible; rigid; extremely; damned
递增	to increase by degrees; in increasing order; incremental; progressive
垃圾	trash; refuse; garbage; (coll.) of poor quality; Taiwan pr. [le4 se4]
听说	to hear (sth said); one hears (that); hearsay; listening and speaking
约会	appointment; engagement; date; CL:次[ci4],個|个[ge4]; to arrange to meet
绿化	to make green with plants; to reforest; (Internet slang) Islamization
示范	to demonstrate; to show how to do sth; demonstration; a model example
显	to make visible; to reveal; prominent; conspicuous; (prefix) phanero-
修复	to restore; to renovate; (computing) to repair (a corrupted file etc)
挥	to wave; to brandish; to command; to conduct; to scatter; to disperse
选修	(at a school) to take as an elective; an elective; elective (subject)
引导	to guide; to lead (around); to conduct; to boot; introduction; primer
酱紫	dark reddish purple; Internet slang abbr. for 這樣子|这样子[zhe4 yang4 zi5]
征求	to solicit; to seek; to request (opinions, feedback etc); to petition
暂停	to suspend; time-out (e.g. in sports); stoppage; pause (media player)
解体	to break up into components; to disintegrate; to collapse; to crumble
奏	to play music; to achieve; to present a memorial to the emperor (old)
冷落	desolate; unfrequented; to treat sb coldly; to snub; to cold shoulder
全球暖化	global warming (Taiwan and Hong Kong usage); written 全球變暖|全球变暖 in PRC
卵	egg; ovum; spawn; (coll.) testicles; (old) penis; (expletive) fucking
容纳	to hold; to contain; to accommodate; to tolerate (different opinions)
无精打采	dispirited and downcast (idiom); listless; in low spirits; washed out
屑	bits; fragments; crumbs; filings; trifling; trivial; to condescend to
闭幕	the curtain falls; lower the curtain; to come to an end (of a meeting)
不行	won't do; be out of the question; be no good; not work; not be capable
不论	whatever; no matter what (who, how etc); regardless of; not to discuss
土味情話	n. Crude and unsophisticated+words of love. Corny terms of endearment.
努力	to make an effort; to try hard; to strive; hard-working; conscientious
队伍	ranks; troops; queue; line; procession; CL:個|个[ge4],支[zhi1],條|条[tiao2]
一边	one side; either side; on the one hand; on the other hand; doing while
关闭	to close; to shut (a window etc); (of a shop, school etc) to shut down
临时	as the time draws near; at the last moment; temporary; interim; ad hoc
加入	to become a member; to join; to mix into; to participate in; to add in
进一步	to go a step further; (develop, understand, improve etc) more; further
聚	to assemble; to gather (transitive or intransitive); (chemistry) poly-
短促	short in time; fleeting; brief; gasping (breath); curt (tone of voice)
突出	prominent; outstanding; to give prominence to; to protrude; to project
呀	(particle equivalent to 啊 after a vowel, expressing surprise or doubt)
摩擦	friction; rubbing; chafing; fig. disharmony; conflict; also written 磨擦
吼	to roar; to howl; to shriek; roar or howl of an animal; bellow of rage
