好的	OK
假如	if
儿子	son
果酱	jam
王一然	Eva
天空	sky
艺术	art
取款机	ATM
上帝	God
为何	why
间谍	spy
蚂蚁	ant
犹太人	Jew
总和	sum
挨着	near
波浪	wave
女人	wife
东方	east
家里	home
歌曲	song
泄漏秘密	Leak
基金	fund
海军	navy
胶水	glue
王莉莎	Lisa
一半	half
数据	data
现金	cash
这里	here
这儿	here
偶像	idol
墙壁	wall
燃料	fuel
钩子	hook
性爱派对	orgy
温暖	warm
羽衣甘蓝	kale
湖泊	lake
团队	team
灰尘	dust
煤炭	coal
租金	rent
茂盛	lush
骑着	Ride
名词	noun
代码	code
爱玩	Play
玫瑰花	rose
烤箱	oven
土壤	soil
性命	life
岩石	rock
比分	score
病毒	virus
中国	China
孩子	child
当地	local
传媒	media
从不	never
年轻	young
独自	alone
地板	floor
黑色	black
西班牙	Spain
风格	style
那儿	there
那些	those
一支笔	A pen
妇女	woman
稠密	dense
葡萄	grape
价钱	price
绿色	green
黑夜	night
今日	today
曹励嘉	Erica
裳雅楠	Nancy
龚美丽	Meili
广萝丽	Layla
王奶婷	Netta
叶子华	David
爱师克	Isaac
宽度	width
这些	these
市长	mayor
大腿	thigh
手肘	elbow
废墟	ruins
小偷	thief
视频	video
人群	crowd
小组	group
大堂	lobby
固体	solid
月份	month
寿司	sushi
少儿	child
味儿	taste
钢铁	steel
新娘	bride
向导	guide
寂静	quiet
响声	noise
直到	until
天使	angel
土茴香籽	cumin
血液	blood
用法	usage
湿润	moist
实话	truth
埃及	Egypt
炉灶	stove
亚洲人	Asian
魔鬼	devil
魔术	magic
奴隶	slave
丘陵	hills
棕色	brown
谣言	rumor
面团	dough
伊斯兰教	Islam
围裙	apron
胸膛	chest
肿瘤	tumor
癌症	cancer
安详	serene
博物馆	museum
奔跑	to run
诚实	honest
车库	garage
分钟	minute
备份	backup
长度	length
成员	member
产量	output
橙子	orange
窗子	window
樱桃	cherry
点头	to nod
读者	reader
冬季	winter
看到	to see
