它	tā
的	de
好	hǎo
好的	hǎo de
假如	jiǎrú
如	rú
假	jiǎ
她	tā
子	zǐzi
儿子	érzi
儿	érr
臂	bì
酱	jiàng
果酱	guǒjiàng
果	guǒ
王	wángwángwàng
王一然	wáng yīrán
然	rán
一	yī
天	tiān
空	kōng
天空	tiānkōng
艺	yì
术	shùzhú
艺术	yìshù
款	kuǎn
机	jī
取	qǔ
取款机	qǔkuǎnjī
上	shàng
上帝	shàngdì
帝	dì
嘿	hēi
为	wèi
为何	wèihé
何	hé
间谍	jiàndié
谍	dié
间	jiānjiàn
蚂蚁	mǎyǐ
蚂	māmǎmà
蚁	yǐ
犹	yóu
犹太人	yóutàirén
人	rén
太	tài
总	zǒng
和	hé
总和	zǒnghé
挨	ái
挨着	āizhe
着	zhe
波浪	bōlàng
浪	làng
波	bō
女	nǚ
女人	nǚrén
东方	dōngfāng
方	fāng
东	dōng
慢	màn
冷	lěng
里	lǐmiàn
家	jiā
家里	jiālǐ
懒	lǎn
西	xī
歌	gē
曲	qūqūqǔqū
歌曲	gēqǔ
漏	lòu
泄漏秘密	xièlòu mìmì
秘	bìmì
泄	xiè
密	mì
基	jī
基金	jījīn
金	jīn
军	jūn
海	hǎi
海军	hǎijūn
胶水	jiāoshuǐ
胶	jiāo
水	shuǐ
莎	shāsuō
王莉莎	wáng lìshā
莉	lì
一半	yībàn
半	bàn
数据	shùjù
据	jūjù
数	shǔ
现金	xiànjīn
现	xiàn
这里	zhèlǐ
这	zhè
这儿	zhèr
偶像	ǒuxiàng
偶	ǒu
像	xiàng
壁	bì
墙	qiáng
墙壁	qiángbì
燃	rán
燃料	ránliào
料	liào
钩	gōu
钩子	gōuzi
爱	ài
性	xìng
派	pài
性爱派对	xìngài pàiduì
对	duì
暖	nuǎn
温暖	wēnnuǎn
温	wēn
衣	yīyì
甘	gān
蓝	lán
羽衣甘蓝	yǔyī gānlán
羽	yǔ
湖	hú
湖泊	húpō
泊	bópō
团	tuán
团队	tuánduì
队	duì
尘	chén
灰尘	huīchén
灰	huī
玉	yù
煤炭	méitàn
炭	tàn
煤	méi
租金	zūjīn
租	zū
茂	mào
茂盛	màoshèng
盛	chéng
骑着	qízhe
骑	qí
词	cí
名	míng
名词	míngcí
瘸	qué
代码	dàimǎ
码	mǎ
代	dài
爱玩	àiwán
玩	wán
花	huā
瑰	guī
玫瑰花	méiguīhuā
玫	méi
箱	xiāng
烤	kǎo
烤箱	kǎoxiāng
土	tǔ
壤	rǎng
土壤	tǔrǎng
性命	xìngmìng
命	mìng
岩	yán
岩石	yánshí
石	shídànshí
亦	yì
舟	zhōu
比	bǐ
比分	bǐfēn
分	fēn
毒	dú
病毒	bìngdú
病	bìng
中国	Zhōngguò
中	zhōngzhōngzhòng
国	guó
孩子	háizi
孩	hái
地	de
当地	dāngdì
当	dāng
少	shǎo
传	chuánzhuàn
传媒	chuánméi
媒	méi
南	nán
从不	cóngbù
从	cóng
不	bù
年	nián
轻	qīng
年轻	niánqīng
自	zì
独	dú
独自	dúzì
板	bǎnbǎnpàn
地板	dìbǎn
甜	tián
色	sèshǎi
黑	hēi
黑色	hēisè
西班牙	xībānyá
牙	yá
班	bān
格	gé
风格	fēnggé
风	fēng
那	nānuónànuó
那儿	nàr
些	xiē
那些	nàxiē
支	zhī
笔	bǐ
一支笔	yīzhī bǐ
妇女	fùnǚ
妇	fù
稠密	chóumì
稠	chóu
葡萄	pútao
葡	pú
萄	táo
价	jiàjie
价钱	jiàqian
钱	qián
绿	lǜ
绿色	lǜsè
黑夜	hēiyè
夜	yè
今	jīn
今日	jīnrì
日	rì
励	lì
曹	cáo
曹励嘉	cáo lìjiā
嘉	jiā
？	？
楠	nán
雅	yǎ
裳	chángshang
裳雅楠	cháng yǎnán
美	měi
龚美丽	gōng měilì
龚	gōng
丽	lílì
广萝丽	guǎng luólì
萝	luó
广	yǎnguǎngguǎng
婷	tíng
奶	nǎi
王奶婷	wáng nǎitíng
叶子华	yè zihuá
华	huáhuàhuá
叶	xiéyèyè
爱师克	àishīkè
师	shī
克	kè
