我	/I; me; my/
我们	/we; us; ourselves; our/
你	/you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)/
他	/he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other/
她	/she/
这 (这儿)	this (here)
那 (那儿)	that (there)
哪	/which? (interrogative, followed by classifier or numeral-classifier)/
哪儿	/where?/wherever; anywhere; somewhere/(used in rhetorical questions) how can ...?; how could ...?/
谁	/who/also pr. [shui2]/
什么	/what?/something; anything/
多少	/how much?; how many?/(phone number, student ID etc) what number?/
几	/how much/how many/several/a few/
怎么	/variant of 怎麼|怎么[zen3 me5]/
怎么样	/how?/how about?/how was it?/how are things?/
一	/one/single/a (article)/as soon as/entire; whole; all; throughout/"one" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit/
二	/two/2/(Beijing dialect) stupid/
三	/three/3/
四	/four/4/
五	/five/5/
六	/six/6/
七	/seven/7/
八	/eight; 8/
九	/nine/9/
十	/ten/10/
个	/variant of 個|个[ge4]/
岁	/classifier for years (of age)/year/year (of crop harvests)/
本	/(bound form) root; stem/(bound form) origin; source/(bound form) one's own; this/(bound form) this; the current (year etc)/(bound form) original/(bound form) inherent/originally; initially/capital; principal/classifier for books, periodicals, files etc/
些	/classifier indicating a small amount or small number greater than 1: some, a few, several/
块	/lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units/
不	/no; not so/(bound form) not; un-/
没	/drowned/to end/to die/to inundate/
很	/(adverb of degree)/quite/very/awfully/
太	/highest/greatest/too (much)/very/extremely/
都	/capital city/metropolis/
一点儿	/erhua variant of 一點|一点[yi1 dian3]/
和	/old variant of 和[he2]/harmonious/
在	/to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)/
的	/(bound form) bull's-eye; target/
了	/unofficial variant of 瞭[liao4]/
吗	/(question particle for "yes-no" questions)/
呢	/woolen material/
喂	/to feed/
家	/home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]/
学校	/school/CL:所[suo3]/
饭店	/restaurant/hotel/CL:家[jia1],個|个[ge4]/
商店	/store; shop/CL:家[jia1],個|个[ge4]/
医院	/hospital/CL:所[suo3],家[jia1],座[zuo4]/
中国	/China/
北京	/Beijing, capital of the People's Republic of China/
上	/(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above/
下	/down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action/
前面	/ahead/in front/preceding/above/also pr. [qian2 mian5]/
后面	/the back; the rear; the last bit/behind; near the end; at the back/later; afterwards/
里	/li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels/
今天	/today/the present time; now/
明天	/tomorrow/
昨天	/yesterday/
上午	/morning/CL:個|个[ge4]/
中午	/noon/midday/CL:個|个[ge4]/
下午	/afternoon/CL:個|个[ge4]/p.m./
年	/grain/harvest (old)/variant of 年[nian2]/
月	/moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]/
号	/ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people/
星期	/week/CL:個|个[ge4]/day of the week/Sunday/
点	/point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items/
分钟	/minute/
现在	/now/at present/at the moment/modern/current/nowadays/
时候	/time/length of time/moment/period/
爸爸	/(coll.) father; dad/CL:個|个[ge4],位[wei4]/
妈妈	/mama/mommy/mother/CL:個|个[ge4],位[wei4]/
儿子	/son/
女儿	/daughter/
老师	/teacher/CL:個|个[ge4],位[wei4]/
学生	/student/schoolchild/
同学	/to study at the same school/fellow student/classmate/CL:位[wei4],個|个[ge4]/
朋友	/friend/CL:個|个[ge4],位[wei4]/
医生	/doctor/CL:個|个[ge4],位[wei4],名[ming2]/
先生	/teacher/gentleman; sir; mister (Mr.)/husband/(dialect) doctor/CL:位[wei4]/
小姐	/young lady/miss/(slang) prostitute/CL:個|个[ge4],位[wei4]/
衣服	/clothes/CL:件[jian4],套[tao4]/
水	/water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes/
菜	/vegetable; greens (CL:棵[ke1])/dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(of one's skills etc) weak; poor/(coll.) (one's) type/
米饭	/(cooked) rice/
水果	/fruit/CL:個|个[ge4]/
苹果	/apple/CL:個|个[ge4],顆|颗[ke1]/
茶	/tea/tea plant/CL:杯[bei1],壺|壶[hu2]/
杯子	/cup/glass/CL:個|个[ge4],隻|只[zhi1]/
钱	/coin/money/CL:筆|笔[bi3]/unit of weight, one tenth of a tael 兩|两[liang3]/
飞机	/airplane/CL:架[jia4]/
出租车	/taxi/(Tw) rental car/
