阿姨	āyí	/maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child)/CL:個|个[ge4]/
啊	a	/modal particle ending sentence, showing affirmation, approval, or consent/
矮	ǎi	/low/short (in length)/
爱好	àihào	/to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4]/
安静	ānjìng	/quiet/peaceful/calm/
把	bǎ	/handle/
班	bān	/team; class; grade/(military) squad/work shift/CL:個|个[ge4]/classifier for groups of people and scheduled transport vehicles/
搬	bān	/to move (i.e. relocate oneself)/to move (sth relatively heavy or bulky)/to shift/to copy indiscriminately/
半	bàn	/half/semi-/incomplete/(after a number) and a half/
办法	bànfǎ	/means/method/way (of doing sth)/CL:條|条[tiao2],個|个[ge4]/
办公室	bàngōngshì	/office/business premises/bureau/CL:間|间[jian1]/
帮忙	bāngmáng	/to help/to lend a hand/to do a favor/to do a good turn/
包	bāo	/to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]/
饱	bǎo	/to eat till full/satisfied/
北方	běifāng	/north/the northern part a country/China north of the Yellow River/
被	bèi	/quilt/to cover (with)/(literary) to suffer (a misfortune)/used to indicate passive voice (placed before the doer of the action like "by" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)/(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu:3 you2] to "go on a trip", for example)/
鼻子	bízi	/nose/CL:個|个[ge4],隻|只[zhi1]/
比较	bǐjiào	/to compare/to contrast/comparatively/relatively/quite/comparison/
比赛	bǐsài	/competition (sports etc)/match/CL:場|场[chang3],次[ci4]/to compete/
笔记本	bǐjìběn	/notebook (stationery)/CL:本[ben3]/notebook (computing)/
必须	bìxū	/to have to/must/compulsory/necessarily/
变化	biànhuà	/(intransitive) to change; to vary/change; variation/CL:個|个[ge4]/
别人	biéren	/other people; others; other person/
冰箱	bīngxiāng	/refrigerator/(old) icebox/
菜单	càidān	/menu/CL:份[fen4],張|张[zhang1]/
参加	cānjiā	/to participate/to take part/to join/
草	cǎo	/variant of 肏[cao4]/
层	céng	/to pile on top of one another/layer; stratum/floor (of a building); story/(math.) sheaf/classifier for layers/
差	chà	/used in 參差|参差[cen1 ci1]/
超市	chāoshì	/supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])/CL:家[jia1]/
衬衫	chènshān	/shirt/blouse/CL:件[jian4]/
成绩	chéngjì	/achievement/performance records/grades/CL:項|项[xiang4],個|个[ge4]/
城市	chéngshì	/city; town/CL:座[zuo4]/
迟到	chídào	/to arrive late/
除了	chúle	/besides/apart from (... also...)/in addition to/except (for)/
船	chuán	/boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]/
春	chūn	/spring (season)/gay/joyful/youthful/love/lust/life/
词典	cídiǎn	/dictionary/also written 辭典|辞典[ci2 dian3]/CL:部[bu4],本[ben3]/
聪明	cōngming	/intelligent; clever; bright/acute (of sight and hearing)/
打扫	dǎsǎo	/to clean/to sweep/
打算	dǎsuàn	/to plan/to intend/to calculate/plan/intention/calculation/CL:個|个[ge4]/
带	dài	/band/belt/girdle/ribbon/tire/area/zone/region/CL:條|条[tiao2]/to wear/to carry/to take along/to bear (i.e. to have)/to lead/to bring/to look after/to raise/
担心	dānxīn	/anxious/worried/uneasy/to worry/to be anxious/
蛋糕	dàngāo	/cake/CL:塊|块[kuai4],個|个[ge4]/
当然	dāngrán	/only natural/as it should be/certainly/of course/without doubt/
地	de	/earth/ground/field/place/land/CL:片[pian4]/
灯	dēng	/lamp/light/lantern/CL:盞|盏[zhan3]/
地方	dìfang	/area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]/
地铁	dìtiě	/underground railway; subway/subway train/
地图	dìtú	/map/CL:張|张[zhang1],本[ben3]/
电梯	diàntī	/elevator/escalator/CL:臺|台[tai2],部[bu4]/
电子邮件	diànzǐyóujiàn	/email/CL:封[feng1],份[fen4]/
东	dōng	/east/host (i.e. sitting on east side of guest)/landlord/
冬	dōng	/(onom.) beating a drum/rat-a-tat/
动物	dòngwù	/animal/CL:隻|只[zhi1],群[qun2],個|个[ge4]/
短	duǎn	/short/brief/to lack/weak point/fault/
段	duàn	/paragraph/section/segment/stage (of a process)/classifier for stories, periods of time, lengths of thread etc/
锻炼	duànliàn	/to toughen/to temper/to engage in physical exercise/to work out/(fig.) to develop one's skills/to train oneself/
多么	duōme	/how (wonderful etc)/what (a great idea etc)/however (difficult it may be etc)/(in interrogative sentences) how (much etc)/to what extent/
饿	è	/hungry/to starve (sb)/
不但……而且……	búdàn…érqiě…	not only…but also…
耳朵	ěrduo	/ear/CL:隻|只[zhi1],個|个[ge4],對|对[dui4]/handle (on a cup)/
发	fā	/hair/Taiwan pr. [fa3]/
发烧	fāshāo	/to have a high temperature (from illness)/to have a fever/
发现	fāxiàn	/to notice; to become aware of/to discover; to find; to detect/a discovery/
方便	fāngbiàn	/convenient; suitable/to facilitate; to make things easy/having money to spare/(euphemism) to relieve oneself/
放	fàng	/to put/to place/to release/to free/to let go/to let out/to set off (fireworks)/
放心	fàngxīn	/to feel relieved/to feel reassured/to be at ease/
分	fēn	/part/share/ingredient/component/
附近	fùjìn	/nearby; neighboring/(in the) vicinity (of); neighborhood/
复习	fùxí	/variant of 復習|复习[fu4 xi2]/
干净	gānjìng	/clean/neat/
感兴趣	gǎnxìngqù	/to be interested/
感冒	gǎnmào	/to catch cold/(common) cold/CL:場|场[chang2],次[ci4]/(coll.) to be interested in (often used in the negative)/(Tw) to detest/can't stand/
刚才	gāngcái	/just now (variant of 剛才|刚才[gang1 cai2])/
个子	gèzi	/height/stature/build/size/
跟	gēn	/heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns)/
根据	gēnjù	/according to/based on/basis/foundation/CL:個|个[ge4]/
更	gèng	/more/even more/further/still/still more/
公斤	gōngjīn	/kilogram (kg)/
公园	gōngyuán	/park (for public recreation)/CL:個|个[ge4],座[zuo4]/
故事	gùshi	/narrative; story; tale/
刮风	guāfēng	/to be windy/
关	guān	/mountain pass/to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve/
关系	guānxì	/variant of 關係|关系[guan1 xi5]/
关心	guānxīn	/to be concerned about; to care about/
关于	guānyú	/pertaining to/concerning/with regard to/about/a matter of/
国家	guójiā	/country; nation; state/CL:個|个[ge4]/
过去	guòqù	/(verb suffix)/
过（动词）	guò	pass
还是	háishì	/still (as before)/had better/unexpectedly/or/
害怕	hàipà	/to be afraid; to be scared/
黑板	hēibǎn	/blackboard/CL:塊|块[kuai4],個|个[ge4]/
后来	hòulái	/afterwards; later/newly arrived/
护照	hùzhào	/passport/CL:本[ben3],個|个[ge4]/
花（动词）	huā	spend
花（名词）	huā	flower
画	huà	/to draw; to paint/picture; painting (CL:幅[fu2],張|张[zhang1])/to draw (a line) (variant of 劃|划[hua4])/stroke of a Chinese character (variant of 劃|划[hua4])/(calligraphy) horizontal stroke (variant of 劃|划[hua4])/
坏	huài	/bad/spoiled/broken/to break down/(suffix) to the utmost/
欢迎	huānyíng	/to welcome/welcome/
还（动词）	huán	Return
环境	huánjìng	/environment/circumstances/surroundings/CL:個|个[ge4]/ambient/
换	huàn	/to exchange/to change (clothes etc)/to substitute/to switch/to convert (currency)/
黄河	huánghé	/Yellow River or Huang He/
回答	huídá	/to reply; to answer/reply; answer/
会议	huìyì	/meeting/conference/CL:場|场[chang3],屆|届[jie4]/
或者	huòzhě	/or/possibly; maybe; perhaps/
几乎	jīhū	/almost; nearly; practically/
机会	jīhuì	/opportunity/chance/occasion/CL:個|个[ge4]/
极	jí	/extremely/pole (geography, physics)/utmost/top/
记得	jìde	/to remember/
季节	jìjié	/time/season/period/CL:個|个[ge4]/
检查	jiǎnchá	/inspection/to examine/to inspect/CL:次[ci4]/
简单	jiǎndān	/simple; not complicated/
健康	jiànkāng	/health/healthy/
见面	jiànmiàn	/to meet; to see each other/CL:次[ci4]/
讲	jiǎng	/to speak/to explain/to negotiate/to emphasize/to be particular about/as far as sth is concerned/speech/lecture/
教	jiāo	/religion/teaching/to make/to cause/to tell/
角	jiǎo	/role (theater)/to compete/ancient three legged wine vessel/third note of pentatonic scale/
脚	jiǎo	/role (variant of 角[jue2])/
接	jiē	/to receive/to answer (the phone)/to meet or welcome sb/to connect/to catch/to join/to extend/to take one's turn on duty/to take over for sb/
街道	jiēdào	/street/CL:條|条[tiao2]/subdistrict/residential district/
结婚	jiéhūn	/to marry/to get married/CL:次[ci4]/
结束	jiéshù	/termination/to finish/to end/to conclude/to close/
节目	jiémù	/program/item (on a program)/CL:臺|台[tai2],個|个[ge4],套[tao4]/
节日	jiérì	/holiday/festival/CL:個|个[ge4]/
解决	jiějué	/to solve; to resolve; to settle (a problem)/to eliminate; to wipe out (an enemy, bandits etc)/
借	jiè	/variant of 借[jie4]/
经常	jīngcháng	/frequently; constantly; regularly; often/day-to-day; everyday; daily/
经过	jīngguò	/to pass/to go through/process/course/CL:個|个[ge4]/
经理	jīnglǐ	/manager/director/CL:個|个[ge4],位[wei4],名[ming2]/
久	jiǔ	/(long) time/(long) duration of time/
旧	jiù	/old/opposite: new 新/former/worn (with age)/
句子	jùzi	/sentence/CL:個|个[ge4]/
决定	juédìng	/to decide (to do something)/to resolve/decision/CL:個|个[ge4],項|项[xiang4]/certainly/
渴	kě	/thirsty/
可爱	kě’ài	/adorable/cute/lovely/
刻	kè	/quarter (hour)/moment/to carve/to engrave/to cut/oppressive/classifier for short time intervals/
客人	kèrén	/visitor/guest/customer/client/CL:位[wei4]/
空调	kōngtiáo	/air conditioning/air conditioner (including units that have a heating mode)/CL:臺|台[tai2]/
口	kǒu	/mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls/
哭	kū	/to cry; to weep/
裤子	kùzi	/trousers/pants/CL:條|条[tiao2]/
筷子	kuàizi	/chopsticks/CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]/
蓝	lán	/blue/indigo plant/
老	lǎo	/prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough/
离开	líkāi	/to depart; to leave/
礼物	lǐwù	/gift; present/CL:件[jian4],個|个[ge4],份[fen4]/
历史	lìshǐ	/history/CL:門|门[men2],段[duan4]/
脸	liǎn	/face/CL:張|张[zhang1],個|个[ge4]/
聊天	liáotiān	/to chat; to gossip/
练习	liànxí	/to practice/exercise/drill/practice/CL:個|个[ge4]/
辆	liàng	/classifier for vehicles/
了解	liǎojiě	/to understand/to realize/to find out/
邻居	línjū	/neighbor/next door/CL:個|个[ge4]/
留学	liúxué	/to study abroad/
楼	lóu	/house with more than 1 story/storied building/floor/CL:層|层[ceng2],座[zuo4],棟|栋[dong4]/
绿	lǜ	/green/(slang) (derived from 綠帽子|绿帽子[lu:4 mao4 zi5]) to cheat on (one's spouse or boyfriend or girlfriend)/
马	mǎ	/horse/CL:匹[pi3]/horse or cavalry piece in Chinese chess/knight in Western chess/
马上	mǎshàng	/at once/right away/immediately/on horseback (i.e. by military force)/
满意	mǎnyì	/satisfied/pleased/to one's satisfaction/
帽子	màozi	/hat/cap/(fig.) label/bad name/CL:頂|顶[ding3]/
米	mǐ	/rice/CL:粒[li4]/meter (classifier)/
面包	miànbāo	/bread/CL:片[pian4],袋[dai4],塊|块[kuai4]/
明白	míngbai	/clear/obvious/unequivocal/to understand/to realize/
拿	ná	/to hold/to seize/to catch/to apprehend/to take/(used in the same way as 把[ba3]: to mark the following noun as a direct object)/
奶奶	nǎinai	/(informal) grandma (paternal grandmother)/(respectful) mistress of the house/CL:位[wei4]/(coll.) boobies/breasts/
南	nán	/south/
难	nán	/disaster/distress/to scold/
难过	nánguò	/to feel sad/to feel unwell/(of life) to be difficult/
年级	niánjí	/grade/year (in school, college etc)/CL:個|个[ge4]/
年轻	niánqīng	/young/
鸟	niǎo	/bird/CL:隻|只[zhi1],群[qun2]/"bird" radical in Chinese characters (Kangxi radical 196)/(dialect) to pay attention to/(intensifier) damned/goddamn/
努力	nǔlì	/to make an effort; to try hard; to strive/hard-working; conscientious/
爬山	páshān	/to climb a mountain/to mountaineer/hiking/mountaineering/
盘子	pánzi	/tray/plate/dish/CL:個|个[ge4]/
胖	pàng	/fat/plump/
啤酒	píjiǔ	/beer (loanword)/CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]/
皮鞋	píxié	/leather shoes/
瓶子	píngzi	/bottle/CL:個|个[ge4]/
其实	qíshí	/actually; in fact; really/
其他	qítā	/other/(sth or sb) else/the rest/
骑	qí	/to sit astride/to ride (a horse, bike etc)/classifier for saddle horses/
奇怪	qíguài	/strange/odd/to marvel/to be baffled/
起来	qǐlái	/(after a verb) indicating the beginning and continuation of an action or a state/indicating an upward movement (e.g. after 站[zhan4])/indicating completion/(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment/also pr. [qi3 lai5]/
