爱情	àiqíng	/romance; love (romantic)/CL:份[fen4]/
安排	ānpái	/to arrange/to plan/to set up/arrangements/plans/
安全	ānquán	/safe; secure/safety; security/
按时	ànshí	/on time/before deadline/on schedule/
按照	ànzhào	/according to/in accordance with/in the light of/on the basis of/
百分之	bǎifēnzhī	/percent/
棒	bàng	/stick/club/cudgel/smart/capable/strong/wonderful/classifier for legs of a relay race/
包子	bāozi	/bao (steamed stuffed bun)/CL:個|个[ge4]/
保护	bǎohù	/to protect/to defend/to safeguard/protection/CL:種|种[zhong3]/
保证	bǎozhèng	/guarantee/to guarantee/to ensure/to safeguard/to pledge/CL:個|个[ge4]/
抱	bào	/to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely/
抱歉	bàoqiàn	/to be sorry/to feel apologetic/sorry!/
报名	bàomíng	/to sign up/to enter one's name/to apply/to register/to enroll/to enlist/
倍	bèi	/(two, three etc) -fold/times (multiplier)/double/to increase or multiply/
本来	běnlái	/original/originally/at first/it goes without saying/of course/
笨	bèn	/stupid/foolish/silly/slow-witted/clumsy/
比如	bǐrú	/for example/for instance/such as/
毕业	bìyè	/graduation/to graduate/to finish school/
遍	biàn	/everywhere/all over/classifier for actions: one time/
标准	biāozhǔn	/standard; norm; criterion/(adjective) standard/good; correct; conforming to a standard/
表格	biǎogé	/form/table/CL:張|张[zhang1],份[fen4]/
表示	biǎoshì	/(of sb) to express; to state; to show/(of sth) to indicate; to signify; to show/expression; manifestation/
表演	biǎoyǎn	/play/show/performance/exhibition/to perform/to act/to demonstrate/CL:場|场[chang3]/
表扬	biǎoyáng	/to praise/to commend/
饼干	bǐnggān	/biscuit; cracker; cookie/CL:片[pian4],塊|块[kuai4]/
并且	bìngqiě	/and; besides; moreover; furthermore; in addition/
博士	bóshì	/doctor/court academician (in feudal China)/Ph.D./
不过	búguò	/only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)/
不得不	bùdébù	/have no choice or option but to/cannot but/have to/can't help it/can't avoid/
不管	bùguǎn	/not to be concerned/regardless of/no matter/
不仅	bùjǐn	/not just; not limited to/(as a correlative conjunction) not only (..., but also ...)/
部分	bùfen	/part/share/section/piece/CL:個|个[ge4]/
擦	cā	/to rub; to scratch/to wipe; to polish/to apply (lipstick, lotion etc)/to brush (past)/to shred (a vegetable etc)/
猜	cāi	/to guess/
材料	cáiliào	/(raw) material/data/(fig.) person who has the potential to do the job/
参观	cānguān	/to look around/to tour/to visit/
餐厅	cāntīng	/dining hall/dining room/restaurant/CL:間|间[jian1],家[jia1]/
差不多	chàbuduō	/almost/nearly/more or less/about the same/good enough/not bad/
尝	cháng	/old variant of 嘗|尝[chang2]/
长城	chángchéng	/the Great Wall/
长江	chángjiāng	/Yangtze River, or Chang Jiang/
场	chǎng	/variant of 場|场[chang3]/
超过	chāoguò	/to surpass/to exceed/to outstrip/
厕所	cèsuǒ	/toilet; lavatory/CL:間|间[jian1],處|处[chu4]/
成功	chénggōng	/to succeed/success/successful; fruitful/
成为	chéngwéi	/to become; to turn into/
诚实	chéngshí	/honest/
乘坐	chéngzuò	/to ride (in a vehicle)/
吃惊	chījīng	/to be startled/to be shocked/to be amazed/
重新	chóngxīn	/again; once more; re-/
抽烟	chōuyān	/to smoke (a cigarette, tobacco)/
出差	chūchāi	/to go on an official or business trip/
出发	chūfā	/to set off/to start (on a journey)/
出生	chūshēng	/to be born/
出现	chūxiàn	/to appear/to arise/to emerge/to show up/
厨房	chúfáng	/kitchen/CL:間|间[jian1]/
传真	chuánzhēn	/fax/facsimile/
窗户	chuānghu	/window/CL:個|个[ge4],扇[shan4]/
词语	cíyǔ	/word (general term including monosyllables through to short phrases)/term (e.g. technical term)/expression/
从来	cónglái	/always/at all times/never (if used in negative sentence)/
粗心	cūxīn	/careless/thoughtless/
存	cún	/to exist/to deposit/to store/to keep/to survive/
错误	cuòwù	/mistaken; false; wrong/error; mistake/CL:個|个[ge4]/
答案	dá’àn	/answer/solution/CL:個|个[ge4]/
打招呼	dǎzhāohu	/to greet sb by word or action/to give prior notice/
打扮	dǎban	/to decorate/to dress/to make up/to adorn/manner of dressing/style of dress/
打扰	dǎrǎo	/to disturb/to bother/to trouble/
打印	dǎyìn	/to affix a seal/to stamp/to print out (with a printer)/
打折	dǎzhé	/to give a discount/
打针	dǎzhēn	/to give or have an injection/
大概	dàgài	/roughly/probably/rough/approximate/about/general idea/
