爱情	/romance; love (romantic)/CL:份[fen4]/
安排	/to arrange/to plan/to set up/arrangements/plans/
安全	/safe; secure/safety; security/
按时	/on time/before deadline/on schedule/
按照	/according to/in accordance with/in the light of/on the basis of/
百分之	/percent/
棒	/stick/club/cudgel/smart/capable/strong/wonderful/classifier for legs of a relay race/
包子	/bao (steamed stuffed bun)/CL:個|个[ge4]/
保护	/to protect/to defend/to safeguard/protection/CL:種|种[zhong3]/
保证	/guarantee/to guarantee/to ensure/to safeguard/to pledge/CL:個|个[ge4]/
抱	/to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely/
抱歉	/to be sorry/to feel apologetic/sorry!/
报名	/to sign up/to enter one's name/to apply/to register/to enroll/to enlist/
倍	/(two, three etc) -fold/times (multiplier)/double/to increase or multiply/
本来	/original/originally/at first/it goes without saying/of course/
笨	/stupid/foolish/silly/slow-witted/clumsy/
比如	/for example/for instance/such as/
毕业	/graduation/to graduate/to finish school/
遍	/everywhere/all over/classifier for actions: one time/
标准	/standard; norm; criterion/(adjective) standard/good; correct; conforming to a standard/
表格	/form/table/CL:張|张[zhang1],份[fen4]/
表示	/(of sb) to express; to state; to show/(of sth) to indicate; to signify; to show/expression; manifestation/
表演	/play/show/performance/exhibition/to perform/to act/to demonstrate/CL:場|场[chang3]/
表扬	/to praise/to commend/
饼干	/biscuit; cracker; cookie/CL:片[pian4],塊|块[kuai4]/
并且	/and; besides; moreover; furthermore; in addition/
博士	/doctor/court academician (in feudal China)/Ph.D./
不过	/only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)/
不得不	/have no choice or option but to/cannot but/have to/can't help it/can't avoid/
不管	/not to be concerned/regardless of/no matter/
不仅	/not just; not limited to/(as a correlative conjunction) not only (..., but also ...)/
部分	/part/share/section/piece/CL:個|个[ge4]/
擦	/to rub; to scratch/to wipe; to polish/to apply (lipstick, lotion etc)/to brush (past)/to shred (a vegetable etc)/
猜	/to guess/
材料	/(raw) material/data/(fig.) person who has the potential to do the job/
参观	/to look around/to tour/to visit/
餐厅	/dining hall/dining room/restaurant/CL:間|间[jian1],家[jia1]/
差不多	/almost/nearly/more or less/about the same/good enough/not bad/
尝	/old variant of 嘗|尝[chang2]/
长城	/the Great Wall/
长江	/Yangtze River, or Chang Jiang/
场	/variant of 場|场[chang3]/
超过	/to surpass/to exceed/to outstrip/
厕所	/toilet; lavatory/CL:間|间[jian1],處|处[chu4]/
成功	/to succeed/success/successful; fruitful/
