唉	āi	/alas/oh dear/
爱心	àixīn	/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)/
熬夜	áoyè	/to stay up late or all night/
安慰	ānwèi	/to comfort/to console/CL:個|个[ge4]/
岸	àn	/bank; shore; beach; coast/CL:個|个[ge4]/
包含	bāohán	/to contain/to embody/to include/
宝贵	bǎoguì	/valuable/precious/to value/to treasure/to set store by/
保存	bǎocún	/to conserve/to preserve/to keep/to save (a file etc) (computing)/
保留	bǎoliú	/to keep/to retain/to have reservations (about sth)/to hold back (from saying sth)/to put aside for later/
报到	bàodào	/to report for duty/to check in/to register/
报告	bàogào	/to inform/to report/to make known/report/speech/talk/lecture/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]/
悲观	bēiguān	/pessimistic/
背景	bèijǐng	/background; backdrop; context/(fig.) powerful backer/CL:種|种[zhong3]/
被子	bèizi	/quilt/CL:床[chuang2]/
本科	běnkē	/undergraduate course/undergraduate (attributive)/
本领	běnlǐng	/skill/ability/capability/CL:項|项[xiang4],個|个[ge4]/
比例	bǐlì	/proportion/scale/
必然	bìrán	/inevitable/certain/necessity/
必要	bìyào	/necessary/essential/indispensable/required/
鞭炮	biānpào	/firecrackers/string of small firecrackers/CL:枚[mei2]/
辩论	biànlùn	/debate/argument/to argue over/CL:場|场[chang3],次[ci4]/
标志	biāozhì	/sign; mark; symbol; logo/to symbolize; to indicate; to mark/
表达	biǎodá	/to express; to convey/
表面	biǎomiàn	/surface/face/outside/appearance/
表情	biǎoqíng	/(facial) expression/to express one's feelings/
表现	biǎoxiàn	/to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior/
冰激凌	bīngjīlíng	/ice cream/
玻璃	bōli	/glass/CL:張|张[zhang1],塊|块[kuai4]/(slang) male homosexual/
博物馆	bówùguǎn	/museum/
不断	búduàn	/unceasing/uninterrupted/continuous/constant/
不见得	bújiàndé	/not necessarily/not likely/
不耐烦	búnàifán	/impatient/to lose patience/
补充	bǔchōng	/to replenish/to supplement/to complement/additional/supplementary/CL:個|个[ge4]/
不然	bùrán	/not so/no/or else/otherwise/if not/How about ...?/
