唉	/alas/oh dear/
爱心	/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)/
熬夜	/to stay up late or all night/
安慰	/to comfort/to console/CL:個|个[ge4]/
岸	/bank; shore; beach; coast/CL:個|个[ge4]/
包含	/to contain/to embody/to include/
宝贵	/valuable/precious/to value/to treasure/to set store by/
保存	/to conserve/to preserve/to keep/to save (a file etc) (computing)/
保留	/to keep/to retain/to have reservations (about sth)/to hold back (from saying sth)/to put aside for later/
报到	/to report for duty/to check in/to register/
报告	/to inform/to report/to make known/report/speech/talk/lecture/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]/
悲观	/pessimistic/
背景	/background; backdrop; context/(fig.) powerful backer/CL:種|种[zhong3]/
被子	/quilt/CL:床[chuang2]/
本科	/undergraduate course/undergraduate (attributive)/
本领	/skill/ability/capability/CL:項|项[xiang4],個|个[ge4]/
比例	/proportion/scale/
必然	/inevitable/certain/necessity/
必要	/necessary/essential/indispensable/required/
鞭炮	/firecrackers/string of small firecrackers/CL:枚[mei2]/
辩论	/debate/argument/to argue over/CL:場|场[chang3],次[ci4]/
标志	/sign; mark; symbol; logo/to symbolize; to indicate; to mark/
表达	/to express; to convey/
表面	/surface/face/outside/appearance/
表情	/(facial) expression/to express one's feelings/
表现	/to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior/
冰激凌	/ice cream/
玻璃	/glass/CL:張|张[zhang1],塊|块[kuai4]/(slang) male homosexual/
博物馆	/museum/
不断	/unceasing/uninterrupted/continuous/constant/
不见得	/not necessarily/not likely/
不耐烦	/impatient/to lose patience/
补充	/to replenish/to supplement/to complement/additional/supplementary/CL:個|个[ge4]/
不然	/not so/no/or else/otherwise/if not/How about ...?/
不足	/insufficient/lacking/deficiency/not enough/inadequate/not worth/cannot/should not/
部门	/department/branch/section/division/CL:個|个[ge4]/
财产	/property/assets/estate/CL:筆|笔[bi3]/
踩	/to step on/to tread/to stamp/to press a pedal/to pedal (a bike)/(online) to downvote/
采取	/to adopt or carry out (measures, policies, course of action)/to take/
参考	/consultation/reference/to consult/to refer/
操场	/playground/sports field/drill ground/CL:個|个[ge4]/
插	/old variant of 插[cha1]/
叉子	/fork/CL:把[ba3]/
拆	/to tear open/to tear down/to tear apart/to open/
产生	/to arise; to come into being; to come about/to give rise to; to bring into being; to bring about; to produce; to engender; to generate/
常识	/common sense/general knowledge/CL:門|门[men2]/
潮湿	/damp/moist/
吵	/to quarrel/to make a noise/noisy/to disturb by making a noise/
车库	/garage/
彻底	/thorough/thoroughly/complete/
趁	/old variant of 趁[chen4]/
称	/variant of 秤[cheng4]/steelyard/
称赞	/to praise/to acclaim/to commend/to compliment/
承担	/to undertake/to assume (responsibility etc)/
承受	/to bear/to support/to inherit/
程序	/procedures/sequence/order/computer program/
成立	/to establish/to set up/to be tenable/to hold water/
成人	/to reach adulthood/an adult/
成语	/Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage/CL:條|条[tiao2],本[ben3],句[ju4]/
诚恳	/sincere/honest/cordial/
持续	/to continue/to persist/to last/sustainable/preservation/
尺子	/ruler (measuring instrument)/CL:把[ba3]/
冲	/powerful/vigorous/pungent/towards/in view of/
充分	/ample/sufficient/adequate/full/fully/to the full/
