挨	ái	/to suffer; to endure/to pull through (hard times)/to delay; to stall; to play for time; to dawdle/
癌症	áizhèng	/cancer/
爱不释手	àibúshìshǒu	/(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible/
爱戴	àidài	/to love and respect/love and respect/
暧昧	àimèi	/vague/ambiguous/equivocal/dubious/
安宁	ānníng	/peaceful/tranquil/calm/composed/free from worry/
安详	ānxiáng	/serene/
安置	ānzhì	/to find a place for/to help settle down/to arrange for/to get into bed/placement/
暗示	ànshì	/to hint; to suggest/hint; suggestion/
案件	ànjiàn	/case/instance/CL:宗[zong1],樁|桩[zhuang1],起[qi3]/
案例	ànlì	/case (of fraud, hepatitis, international cooperation etc); instance; example/CL:個|个[ge4]/
按摩	ànmó	/massage/to massage/
昂贵	ángguì	/expensive/costly/
凹凸	āotū	/concave or convex/bumps and holes/uneven (surface)/rugged/
熬	áo	/to cook on a slow fire; to extract by heating; to decoct/to endure/
奥秘	àomì	/secret/mystery/
扒	bā	/to rake up/to steal/to braise/to crawl/
疤	bā	/scar/scab/
巴不得	bābude	/(coll.) to be eager for/to long for/to look forward to/
巴结	bājié	/to fawn on/to curry favor with/to make up to/
拔苗助长	bámiáozhùzhǎng	/to spoil things through excessive enthusiasm (idiom)/
把关	bǎguān	/to guard a pass/to check on sth/
把手	bǎshou	/handle/grip/knob/
霸道	bàdào	/the Way of the Hegemon/abbr. for 霸王之道/despotic rule/rule by might/evil as opposed to the Way of the King 王道/overbearing/tyranny/(of liquor, medicine etc) strong/potent/
罢工	bàgōng	/a strike/to go on strike/
掰	bāi	/to break off or break open sth with one's hands/(fig.) to break off (a relationship)/
摆脱	bǎituō	/to break away from/to cast off (old ideas etc)/to get rid of/to break away (from)/to break out (of)/to free oneself from/to extricate oneself/
拜访	bàifǎng	/to pay a visit; to call on/
拜年	bàinián	/to pay a New Year call/to wish sb a Happy New Year/
拜托	bàituō	/to request sb to do sth/please!/
败坏	bàihuài	/to ruin/to corrupt/to undermine/
斑	bān	/spot/colored patch/stripe/spotted/striped/variegated/
颁布	bānbù	/to issue/to proclaim/to enact (laws, decrees etc)/
颁发	bānfā	/to issue/to promulgate/to award/
版本	bǎnběn	/version/edition/release/
半途而废	bàntú’érfèi	/to give up halfway (idiom); leave sth unfinished/
伴侣	bànlǚ	/companion/mate/partner/
伴随	bànsuí	/to accompany/to follow/to occur together with/concomitant/
扮演	bànyǎn	/to play the role of/to act/
绑架	bǎngjià	/to kidnap/to abduct/to hijack/a kidnapping/abduction/staking/
榜样	bǎngyàng	/example/model/CL:個|个[ge4]/
磅	bàng	/used in 磅礴[pang2 bo2]/Taiwan pr. [pang1]/
包庇	bāobì	/to shield/to harbor/to cover up/
包袱	bāofu	/wrapping cloth/a bundle wrapped in cloth/load/weight/burden/funny part/punchline/
包围	bāowéi	/to surround/to encircle/to hem in/
包装	bāozhuāng	/to pack/to package/to wrap/packaging/
饱和	bǎohé	/saturated; filled to capacity/
饱经沧桑	bǎojīngcāngsāng	/having lived through many changes/
保管	bǎoguǎn	/to hold in safekeeping; to have in one's care/to guarantee/certainly; surely/custodian; curator/
保密	bǎomì	/to keep sth confidential/to maintain secrecy/
保姆	bǎomǔ	/nanny/housekeeper/
保守	bǎoshǒu	/conservative/to guard/to keep/
保卫	bǎowèi	/to defend/to safeguard/
保养	bǎoyǎng	/to take good care of (or conserve) one's health/to keep in good repair/to maintain/maintenance/
保障	bǎozhàng	/to ensure/to guarantee/to safeguard/
保重	bǎozhòng	/to take care of oneself/
抱负	bàofù	/aspiration/ambition/
报仇	bàochóu	/to take revenge/to avenge/
报酬	bàochou	/reward/remuneration/
报答	bàodá	/to repay/to requite/
报复	bàofù	/to make reprisals; to retaliate/revenge; retaliation/
报警	bàojǐng	/to sound an alarm/to report sth to the police/
报销	bàoxiāo	/to submit an expense account/to apply for reimbursement/to write off/to wipe out/
爆发	bàofā	/to break out/to erupt/to explode/to burst out/
爆炸	bàozhà	/explosion/to explode/to blow up/to detonate/
曝光	bàoguāng	/to expose (photography)/(fig.) to expose (a scandal)/(advertising) exposure/Taiwan pr. [pu4 guang1]/
暴力	bàolì	/violence/force/violent/
暴露	bàolù	/to expose/to reveal/to lay bare/also pr. [pu4 lu4]/
悲哀	bēi’āi	/grieved/sorrowful/
悲惨	bēicǎn	/miserable/tragic/
卑鄙	bēibǐ	/base/mean/contemptible/despicable/
北极	běijí	/the North Pole; the Arctic Pole/the north magnetic pole/
被动	bèidòng	/passive/
被告	bèigào	/defendant/
背叛	bèipàn	/to betray/
背诵	bèisòng	/to recite/to repeat from memory/
备份	bèifèn	/backup/
备忘录	bèiwànglù	/memorandum/aide-memoire/memorandum book/
贝壳	bèikè	/shell (of a mollusk)/
奔波	bēnbō	/to rush about/to be constantly on the move/
奔驰	bēnchí	/to run quickly/to speed/to gallop/
本能	běnnéng	/instinct/
本钱	běnqián	/capital/(fig.) asset; advantage; the means (to do sth)/
本人	běnrén	/I; me; myself/oneself; yourself; himself; herself; the person concerned/
本身	běnshēn	/itself/in itself/per se/
本事	běnshi	/ability/skill/
笨拙	bènzhuō	/clumsy/awkward/stupid/
崩溃	bēngkuì	/to collapse; to crumble; to fall apart/
