土生土长的加州人	tǔshēngtǔzhǎng de jiāzhōurén	native californian	Kin
心理学	xīnlǐxué	psychology	Kin
计算机科学	jìsuànjīkēxué	computer Science	Kin
语言学	yǔyánxué	linguistics	Kin
哲学	zhéxué	philosophy	Kin
自然语言处理	zìrányǔyán chǔlǐ	natural language processing	Kin
开发	kāifā	develop	Kin
学术	xuéshù	academic	Kin
确实	quèshí	really	Kin
流浪汉	liúlànghàn	homeless person	Kin
街区	jiēqū	block/neighborhood	Fafa 2
郊区	jiāoqū	suburbs	Fafa 2
抽大麻	chōu dàmá	smoke marijuana	Fafa 2
农民工	nóngmíngōng	migrant workers	Fafa 2
农民	nóngmín	farmer	Fafa 2
路通，财就通	lùtōng	Where there’s a road, there’s wealth	Fafa 2
举重	jǔzhòng	weightlifting (verb)	Fafa 2
体重	tǐzhòng	weightlifting (noun)	Fafa 2
突发奇想	tūfāqíxiǎng	whim	Fafa 2
地理位置	dìlǐwèizhi	geographical location	Fafa 2
连接的	liánjiē de	connected	Fafa 2
换季	huànjì	Season change	Fafa 3
骨折	gǔzhé	fracture	Fafa 3
脚后跟	jiǎohòugēn	heel	Fafa 3
脚趾	jiǎozhǐ	toe	Fafa 3
脚面	jiǎomiàn	Instep	Fafa 3
摘	zhāi	pick	Fafa 3
拖拉机	tuōlājī	tractor	Fafa 3
杂草	zácǎo	weeds	Fafa 3
榨汁	zhàzhī	to press juice	Fafa 3
无花果	wúhuāguǒ	Fig	Fafa 3
椰枣	yēzǎo	dates (european dates)	Fafa 3
沉浸式地	chénjìn shì dì	immersively (e.g. language learning)	Fafa 1
网球场	wǎngqiúchǎng	tennis court	Fafa 1
网球馆	wǎngqiúguǎn	tennis hall	Fafa 1
播客	bōkè	podcast	Fafa 1
天赋	tiānfù	talent (e.g. for languages)	Grace
纸老虎	zhǐlǎohǔ	paper tiger	Grace
打断	dǎduàn	interrupt	Grace
雪糕	xuěgāo	ice cream	Celine
慢热	mànrè	Slow to warm up to sth (e.g. to a person in a relationship)	Celine
宠坏	chǒnghuài	to spoil (e.g. a child)	self
斯坦福大学	sītǎnfúdàxué	Stanford University	Fafa 4
电脑科学	diànnǎo kēxué	computer science	Fafa 4
专业	zhuānyè	major	Fafa 4
粤拼系统	yuè pīn xìtǒng	Yue Pin System	Fafa 4
打钩	dǎgōu	Tick / checkmark	Fafa 4
学霸	xuébà	Straight A student	Fafa 4
学渣	xuézhā	slacker student	Fafa 4
商科	shāngkē	Business	Fafa 4
论文	lùnwén	paper	Fafa 4
机器翻译	jīqìfānyì	machine translation	Fafa 4
维基百科	wéijībǎikē	Wikipedia	Fafa 4
专业术语	zhuānyèshùyǔ	Professional terminology / jargon	Fafa 4
厄瓜多尔	èguāduōěr	Ecuador	Laurent
拿绿卡	ná lǜkǎ	Get a green card	Laurent
南京	nánjīng	Nanjing	Laurent
徒步	túbù	on foot	Laurent
安第斯山脉	āndìsīshānmài	andes mountains	Laurent
平淡	píngdàn	dull	Laurent
政治	zhèngzhì	politics	Laurent
有口音	yǒu kǒuyin	Have an accent	Laurent
用进废退	yòngjìn fèituì	Use it or lose it	Laurent
用进废退 / 不用则废	yòngjìn fèituì   /   bùyòng zé fèi	Use it or lose it/use it or lose it	Laurent
他得了癌症。	tā dé le áizhèng 。	He has cancer.	Laurent
她要多陪陪她妈妈。	tā yào duō péipéi tā māma 。	She wants to spend more time with her mother.	Laurent
李文月	lǐwén yuè	Li Wenyue (teacher's name)	Lily
天津	tiānjīn	Tianjin (city)	Lily
许可证	xǔkězhèng	license	Lily
可许证	kě xǔzhèng	Licensable	Lily
拿走狗	ná zǒugǒu	take away the dog	Lily
公母	gōngmǔ	Male and female (of animals)	Lily
领养	lǐngyǎng	adopt	Lily
我刚领养他的时候，他只有两个月（大）。	wǒgāng lǐngyǎng tā de shíhou ， tā zhǐyǒu liǎnggè yuè （ dà ） 。	He was only two months (old) when I first adopted him.	Lily
土猫	tǔmāo	native cat (e.g. the local variety)	Lily
本土的	běntǔ de	native	Lily
本地的	běndì de	local	Lily
橘猫	júmāo	orange cat	Lily
动物收容所	dòngwù shōuróngsuǒ	animal shelter	Lily
把三只小猫留下	bǎ sānzhǐ xiǎomāo liúxià	Leave three kittens	Lily
保存	bǎocún	save	Lily
刻板印象	kèbǎn yìnxiàng	stereotype	Lily
剪	jiǎn	Cut	Lily
马蜂	mǎfēng	wasp	Lily
玳瑁猫	dàimào māo	tortoiseshell cat	Lily
机会成本	jīhuìchéngběn	opportunity cost	Ken
积累	jīlěi	accumulation	Ken
饥荒	jīhuāng	famine	Ken
文艺复兴	wényìfùxīng	Renaissance	Ken
相由心生	xiāngyóu xīnshēng	phase comes from the heart	Ken
线下	xiànxià	offline	Ken
敏	mǐn	sensitive	Min
把我的水杯接满	bǎ wǒ de shuǐbēi jiēmǎn	Fill up my water glass	Min
听力	tīnglì	hearing	Min
20几个人	èrlíng jǐge rén	More than 20 people	Min
华裔	huáyì	Chinese	Min
如果我们有小孩子的时候	rúguǒ wǒmen yǒu xiǎoháizi de shíhou	if we had children	Min
两-三年	liǎng - sānnián	Two to three years	Min
主要做什么	zhǔyào zuò shénme	What to do mainly	Min
我也最近-我最近也	wǒ yě zuìjìn - wǒ zuìjìn yě	I have also recently - I have also recently	Min
研究人-研究人员-做研究的	yánjiū rén - yánjiū rényuán - zuò yánjiū de	researcher-researcher-one who does research	Min
50个集-50集	wǔlíng gèjí - wǔlíng jí	50 sets-50 sets	Min
失我的生活-失去我的电影	shī wǒ de shēnghuó - shīqù wǒ de diànyǐng	Lose My Life - Lose My Movie	Min
你看过/听过这部电视剧吗？	nǐ kànguò / tīngguò zhèbù diànshìjù ma ？	Have you seen/heard about this TV series?	Min
这部电影很火	zhèbù diànyǐng hěnhuǒ	This movie is very popular	Min
这是最多人的看的电影	zhèshì zuìduōrén de kàn de diànyǐng	This is the most watched movie	Min
50 billion- 500亿	wǔlíng   billion -   wǔlínglíng yì	50 billion- 50 billion	Min
甄嬛传	zhēn huán chuán	The Legend of Zhen Huan	Min
太多说话，没有作动-动作	tài duō shuōhuà ， méiyǒu zuòdòng - dòngzuò	Too much talk, no action - action	Min
博士生 博士	bóshìshēng   bóshì	Doctoral student Doctor	Min
打工	dǎgōng	work to earn a living	Min
义乌	yìwū	Yiwu (place)	Lao wang
浙江	zhèjiāng	Zhejiang (place)	Lao wang
沪语	hùyǔ	Shanghainese	Lao wang
方言	fāngyán	dialect	Lao wang
合肥话	héféi huà	Hefei dialect	Lao wang
不同的	bùtóng de	different (also: distinct)	Lao wang
连续性	liánxùxìng	continuum	Lao wang
义乌十八腔，隔溪不一样	yìwū shíbā qiāng ， géxī bù yīyàng	each city has many different dialects	Lao wang
田野调查	tiányě diàochá	fieldwork	Lao wang
诞生	dànshēng	birth	Lao wang
出现	chūxiàn	Appear	Lao wang
分开翻译	fēnkāi fānyì	Translate separately	Lao wang
纠正错误	jiūzhèngcuòwù	correct errors	Lao wang
封闭	fēngbì	closed	Lao wang
报道和表述	bàodào hé biǎoshù	reporting and presentation	Lao wang
