方便	convenient
令人激动	exciting
语法	grammar
叫...做...	ask someone to do sth
我叫女朋友教我中文。	My girlfriend teaches me Chinese.
教	teach
叫	to call
让	let/ allow/ make... do/ make ... feel
小时候	when I was a kid
看电视	watch TV
我的女朋友让我喝酒。	my gf allows me to drink alcohol
搬	move
她让我帮她搬很重的东西。	She asked me to help her move a very heavy thing.
看我的小猫让我很开心。	Seeing my kitten makes me very happy.
高级	fancy
有面子	feeling proud
给她买一个包包	Buy her a bag
例子	example
看我的妈妈	visit my mum
作业	homework
陪	accompany/ spend time with
陪女朋友吃饭	Dinner with girlfriend
乡村	countryside
如果	if
这个房间很黑。	This room is dark.
有道理	Make sense
服务	Serve
服务员	waiter
小费	tip
百分之二十	20 %
发生	occur
逛街	go shopping
工具	tool
猫粮	Cat food
喂猫吃猫粮	Feed cats and cat food
打屁股	Spanking
到他跟前	walk up to him
值得	worth
让我看起来不错	Make me look good
大概	probably
对他有礼貌	Polite to him
批判	cynical
复杂	complicated
老公	husband
老板	boss
丈夫	husband
妻子	wife
那句话的意思	The meaning of that sentence
看见/ 听见	See/ hear
看懂/ 听懂	Understand/ understand
做完	finish doing sth
写完作业	Finish the homework
看完一本书	After reading a book
找到	found/ to able to find
看到/ 听到	See/ hear
做好	finish well
声音	sound
邻居	Neighbor
听不懂	Can't understand
看不懂	can't read
她没做完作业。	She did not finish her homework.
你怎么知道...?	how do you know...?
要么...要么...	either ... or...
准备	Prepare
诶	Eh
排队	queue
这样做/ 这样想/ 这样说	Do this/ think about it/ say this
大楼	Building
付钱	Pay
装修	furnish
从...开始	start from
一节课	one class
上班	go to work
上学	go to school
时间	time
不用	Need not
得	have to
赚钱	make money
弹钢琴	play piano
重要	important
没有对错	there's no right or wrong
问题	question/ problem
说错	Say wrong
说话	say
说谎	lie
两年后	in 2 years
希望	hope
旅行	trip
非常欢迎	Very welcome
她让我别说谎	She asked me not to lie
你身边	around you
迟到十分钟	Ten minutes late
加州	California
对...很失望	disappointed in
对...很满意	Very satisfied
对...很感兴趣	Very interested
对...感到很开心	feel happy about
对...好	good for
对...有帮助/ 没帮助	helpful/ not helpful for
对...有影响/ 有好的影响	There is an impact/ good effect on ...
对我很好	treats me well
涂防晒霜	to apply sunscreen
皮肤	skin
东亚	East Asia
亚洲	Asia
山火	Mountain fire
政府	government
解决	solve
固定搭配	collocations
难过	sad
动力	motivation
新冠病毒	coronavirus
分开	separate
除了	Apart from
橙子	orange
香蕉	banana
草莓	strawberry
蓝莓	blueberry
樱桃	cherry
柿子	persimmon
软柿子	someone whos bullied by others
煎鸡蛋	Fried egg
炒鸡蛋	Scrambled egg
蒸鸡蛋	Steamed egg
煮鸡蛋	boiled egg
鸡蛋碰石头	Throw an egg at a rock (fig. to attack sb stronger than oneself / to overrate one's abilities)
躺平	give up/ not working hard
躺平的韭菜不好割	you can‘t take advantage of me when im lying flat
幸运	Lucky
药店离我家走路五分钟	Pharmacy walks away from my house for five minutes
对...满意	Be satisfied
觉得很满足	I feel very satisfied
成为+noun	become+noun
成为一个医生	Become a doctor
心理状态	mental state
评价	comment
比如说	For example
思考	think
用手机打电话	Use a mobile phone to call
用电脑工作	work on the computer
二十年	Twenty years
感激	thankful
关系	relation
好笑	funny
出生	born
理论上说	technically
理论	theory
建议	advice
我个人觉得	I personally feel
客人	guest
看情况	it depends
坏了	broken
沙滩	Beach
比较	Compare
变化	Variety
跟...比起来	compared to
空气	Air
工资	salary
专业	professional
运动员	athlete
做运动员	to work as an athlete
安静	Quiet
周年纪念日	Anniversary
不可能	impossible
可能	maybe, possible
一切皆有可能	nothing is impossible
爱说话	Talkative
说废话	to bullshit
说真话	Tell the truth
放一首歌/ 播一首歌	play a song
放一部电影/ 播一部电影	play a movie
放音乐	play music
歌单	playlist
首选	a go-to choice
启发	Inspire
好的	OK
卡拉OK	Karaoke
对话	dialogue
一张照片	a photo
一张图片	a picture
发音	pronunciation
发一张照片给她	Send a photo to her
拍照片/ 拍照	take photos
亲自	in person (by yourself)
一年半前	A year and a half ago
一般来说	Generally speaking
买菜	buy food ingredients
负责	be responsible for
负责人	the responsible person
交水电费	pay water and electricity bills
价格	price
美元	Dollar
欧洲	Europe
欧洲的水电费比美国的要贵	utilities are more expensive in EU than US
花钱	Spend money
懒	lazy
认真	earnest, serious
段落	paragraph
母语	Mother tongue
情况	situation
我说得不太好	I'm not talking well
完美主义者	perfectionist
我昨天作业没写得很好	I didn’t write well yesterday
以前	before
语言	language
室友	roommate
结构	structure
跟...一样/ 不一样	Like ... different/ different
她德语比我说得好	Her German is better than me
她德语比我说得好得多	She German is much better than me
她德语说得比我好	She speaks better than me in German
她德语说得比我好得多	Her German is much better than me
房子	house
小明花钱花得非常多	Xiao Ming spent money spent a lot
小明钱比小李花得多得多	Xiao Ming money is much more than Xiao Lihua
丈夫和妻子	Husband and wife
先生和太太	Husband and wife
老公和老婆	Husband and wife
结婚	marry
早睡早起	Get up early and get up early
晚睡晚起	Get up and get up late
燕麦粥	oatmeal
隔夜燕麦	Overnight oats
卡农	Canon (sound)
一首歌	a song
能力	ability
阅读	read
听力	hearing
写作	writing
口语	speaking
同意	agree
词典	dictionary
中国菜	Chinese food
印度菜	Indian cuisine
高中	high school
房间	Room
网站	website
中介	agent
买卖	a deal
到	to (20 TO 30 minutes)
西班牙	Spain
市中心	city ​​center
课文	example text
零下	below zero
温度	temperature
摄氏度	Degree Celsius
华氏度	Fahrenheit
篮球队	basketball team
世界杯	World Cup
专注	focus
正式	formal
戴口罩	wear mask
戴帽子/口罩/手表/围巾/眼镜	Wear hat/mask/watch/scarf/glasses
穿衣服/ 裤子/ 鞋子/ 袜子	Dress/ pants/ shoes/ socks
金色	gold
在这个情况下	In this case
在这张照片里	In this photo
休闲的衣服	Casual clothes
一支笔	A pen
生日卡	Birthday card
握手	Handshake
拥抱	hug
招手	wave hands
助手	assistant
酒店	hotel
民宿	Homestay
人民	citizen
带	take...with someone
拿	to get/ fetch
取	to get/ fetch (formal)
带...来	bring
带...去	take
枣	date
拿咖啡/ 签证/ 车/ 外卖	get my coffee/ visa/ car/ takeaway
办签证	Apply for a visa
机票	plane tickets
拿来	to fetch (for myself)
拿去	to get (for others)
你拿一本书来	you go get a book
我有一些饼干，你拿去吧	I have some biscuits, you can take it
进来吧，随便坐吧	Come in, sit and sit casually
随便吃吧	help yourself to eat
前男友	Ex-boyfriend
一双眼睛	a pair of eyes
一只眼睛	one eye
一副眼镜	A pair of glasses
爱干净	a neat freak
莉莎比我爱干净	Lisa likes to be cleaner than me
莉莎很爱干净	Lisa loves cleanliness
程度	degree
高强度间歇训练	HIIT
泄漏秘密	Leak
说漏嘴	to blurt out; to let slip
吐实	to reveal the truth; to spill the beans
露馅	to leak; to expose (somebody's secret); to spill the beans; to let the cat out of the bag
回家	go home
实习	internship
波恩	bonn
惊讶	surprised
柏林	Berlin
受欢迎	popular
宫崎骏	Hayao Miyazaki
千与千寻	Spirited Away
动漫	anime
电子表格	spreadsheet
等一会儿	Wait a minute
等等	etc.
品味	taste
喜剧	comedy
现代	modern
虽然...但是...	although
自然	nature
到时候	By the time
即使...也...	even if...
