方便	fāngbiàn	convenient	stront1
令人激动	lìngrénjīdòng	exciting	stront1
语法	yǔfǎ	grammar	stront1
叫...做...	jiào ... zuò ...	ask someone to do sth	stront1
我叫女朋友教我中文。	wǒ jiào nǚpéngyou jiào wǒ zhōngwén 。	My girlfriend teaches me Chinese.	stront1
教	jiào	teach	stront1
叫	jiào	to call	stront1
让	ràng	let/ allow/ make... do/ make ... feel	stront1
小时候	xiǎoshíhou	when I was a kid	stront1
看电视	kàndiànshì	watch TV	stront1
我的女朋友让我喝酒。	wǒ de nǚpéngyou ràng wǒ hējiǔ 。	my gf allows me to drink alcohol	stront1
搬	bān	move	stront1
她让我帮她搬很重的东西。	tā ràng wǒ bāng tā bān hěn zhòng de dōngxi 。	She asked me to help her move a very heavy thing.	stront1
看我的小猫让我很开心。	kàn wǒ de xiǎomāo ràng wǒ hěn kāixīn 。	Seeing my kitten makes me very happy.	stront1
高级	gāojí	fancy	stront1
有面子	yǒu miànzi	feeling proud	stront1
给她买一个包包	gěi tā mǎi yīgè bāobāo	Buy her a bag	stront1
例子	lìzi	example	stront1
看我的妈妈	kàn wǒ de māma	visit my mum	stront1
作业	zuòyè	homework	stront1
陪	péi	accompany/ spend time with	stront1
陪女朋友吃饭	péi nǚpéngyou chīfàn	Dinner with girlfriend	stront1
乡村	xiāngcūn	countryside	stront1
如果	rúguǒ	if	stront1
这个房间很黑。	zhège fángjiān hěn hēi 。	This room is dark.	stront1
有道理	yǒu dàoli	Make sense	stront1
服务	fúwù	Serve	stront1
服务员	fúwùyuán	waiter	stront1
小费	xiǎofèi	tip	stront1
百分之二十	bǎifēnzhīèrshí	20 %	stront1
发生	fāshēng	occur	stront1
逛街	guàngjiē	go shopping	stront1
工具	gōngjù	tool	stront1
猫粮	māo liáng	Cat food	stront1
喂猫吃猫粮	wèi māo chī māo liáng	Feed cats and cat food	stront1
打屁股	dǎpìgu	Spanking	stront1
到他跟前	dào tā gēnqian	walk up to him	stront1
值得	zhíde	worth	stront1
让我看起来不错	ràng wǒ kànqǐlai bùcuò	Make me look good	stront1
大概	dàgài	probably	stront1
对他有礼貌	duì tā yǒu lǐmào	Polite to him	stront1
批判	pīpàn	cynical	stront1
复杂	fùzá	complicated	stront1
老公	lǎogong	husband	stront1
老板	lǎobǎn	boss	stront1
丈夫	zhàngfu	husband	stront1
妻子	qīzi	wife	stront1
那句话的意思	nàjùhuà de yìsi	The meaning of that sentence	stront1
看见/ 听见	kànjiàn /   tīngjiàn	See/ hear	stront1
看懂/ 听懂	kàn dǒng /   tīngdǒng	Understand/ understand	stront1
做完	zuò wán	finish doing sth	stront1
写完作业	xiě wán zuòyè	Finish the homework	stront1
看完一本书	kàn wányī běnshū	After reading a book	stront1
找到	zhǎodào	found/ to able to find	stront1
看到/ 听到	kàndào /   tīngdào	See/ hear	stront1
做好	zuòhǎo	finish well	stront1
声音	shēngyīn	sound	stront1
邻居	línjū	Neighbor	stront1
听不懂	tīngbudǒng	Can't understand	stront1
看不懂	kànbudǒng	can't read	stront1
她没做完作业。	tā méi zuòwánzuòyè 。	She did not finish her homework.	stront1
你怎么知道...?	nǐ zěnme zhīdào ... ?	how do you know...?	stront1
要么...要么...	yàome ... yàome ...	either ... or...	stront1
准备	zhǔnbèi	Prepare	stront1
诶	éi	Eh	stront1
排队	páiduì	queue	stront1
这样做/ 这样想/ 这样说	zhèyàng zuò /   zhèyàng xiǎng /   zhèyàng shuō	Do this/ think about it/ say this	stront1
大楼	dàlóu	Building	stront1
付钱	fùqián	Pay	stront1
装修	zhuāngxiū	furnish	stront1
从...开始	cóng ... kāishǐ	start from	stront1
一节课	yījiékè	one class	stront1
上班	shàngbān	go to work	stront1
上学	shàngxué	go to school	stront1
时间	shíjiān	time	stront1
不用	bùyòng	Need not	stront1
得	děi	have to	stront1
赚钱	zhuànqián	make money	stront1
弹钢琴	tángāngqín	play piano	stront1
重要	zhòngyào	important	stront1
没有对错	méiyǒu duìcuò	there's no right or wrong	stront1
问题	wèntí	question/ problem	stront1
说错	shuōcuò	Say wrong	stront1
说话	shuōhuà	say	stront1
说谎	shuōhuǎng	lie	stront1
两年后	liǎngnián hòu	in 2 years	stront1
希望	xīwàng	hope	stront1
旅行	lǚxíng	trip	stront1
非常欢迎	fēicháng huānyíng	Very welcome	stront1
她让我别说谎	tā ràng wǒbié shuōhuǎng	She asked me not to lie	stront1
你身边	nǐ shēnbiān	around you	stront1
迟到十分钟	chídào shífēnzhōng	Ten minutes late	stront1
加州	jiāzhōu	California	stront1
对...很失望	duì ... hěn shīwàng	disappointed in	stront1
对...很满意	duì ... hěn mǎnyì	Very satisfied	stront1
对...很感兴趣	duì ... hěngǎnxīngqù	Very interested	stront1
对...感到很开心	duì ... gǎndào hěn kāixīn	feel happy about	stront1
对...好	duì ... hǎo	good for	stront1
对...有帮助/ 没帮助	duì ... yǒu bāngzhù /   méi bāngzhù	helpful/ not helpful for	stront1
对...有影响/ 有好的影响	duì ... yǒu yǐngxiǎng /   yǒu hǎo de yǐngxiǎng	There is an impact/ good effect on ...	stront1
对我很好	duì wǒ hěn hǎo	treats me well	stront1
涂防晒霜	tú fángshàishuāng	to apply sunscreen	stront1
皮肤	pífū	skin	stront1
东亚	dōngyà	East Asia	stront1
亚洲	yàzhōu	Asia	stront1
山火	shānhuǒ	Mountain fire	stront1
政府	zhèngfǔ	government	stront1
解决	jiějué	solve	stront1
固定搭配	gùdìng dāpèi	collocations	stront1
难过	nánguò	sad	stront1
动力	dònglì	motivation	stront1
新冠病毒	xīnguān bìngdú	coronavirus	stront1
分开	fēnkāi	separate	stront1
除了	chúle	Apart from	stront1
橙子	chéngzi	orange	stront1
香蕉	xiāngjiāo	banana	stront1
草莓	cǎoméi	strawberry	stront1
蓝莓	lánméi	blueberry	stront1
樱桃	yīngtáo	cherry	stront1
柿子	shìzi	persimmon	stront1
软柿子	ruǎnshìzi	someone whos bullied by others	stront1
煎鸡蛋	jiān jīdàn	Fried egg	stront1
炒鸡蛋	chǎojīdàn	Scrambled egg	stront1
蒸鸡蛋	zhēng jīdàn	Steamed egg	stront1
煮鸡蛋	zhǔ jīdàn	boiled egg	stront1
鸡蛋碰石头	jīdàn pèng shítou	Throw an egg at a rock (fig. to attack sb stronger than oneself / to overrate one's abilities)	stront1
躺平	tǎngpíng	give up/ not working hard	stront1
躺平的韭菜不好割	tǎngpíng de jiǔcài bùhǎo gē	you can‘t take advantage of me when im lying flat	stront1
幸运	xìngyùn	Lucky	stront1
药店离我家走路五分钟	yàodiàn lí wǒjiā zǒulù wǔfēnzhōng	Pharmacy walks away from my house for five minutes	stront1
对...满意	duì ... mǎnyì	Be satisfied	stront1
觉得很满足	juéde hěn mǎnzú	I feel very satisfied	stront1
成为+noun	chéngwéi + noun	become+noun	stront1
成为一个医生	chéngwéi yīgè yīshēng	Become a doctor	stront1
心理状态	xīnlǐ zhuàngtài	mental state	stront1
评价	píngjià	comment	stront1
比如说	bǐrúshuō	For example	stront1
思考	sīkǎo	think	stront1
用手机打电话	yòng shǒujī dǎdiànhuà	Use a mobile phone to call	stront1
用电脑工作	yòng diànnǎo gōngzuò	work on the computer	stront1
二十年	èrshínián	Twenty years	stront1
感激	gǎnjī	thankful	stront1
关系	guānxi	relation	stront1
好笑	hǎoxiào	funny	stront1
出生	chūshēng	born	stront1
理论上说	lǐlùn shàng shuō	technically	stront1
理论	lǐlùn	theory	stront1
建议	jiànyì	advice	stront1
我个人觉得	wǒ gèrén juéde	I personally feel	stront1
客人	kèrén	guest	stront1
看情况	kàn qíngkuàng	it depends	stront1
坏了	huài le	broken	stront1
沙滩	shātān	Beach	stront1
比较	bǐjiào	Compare	stront1
变化	biànhuà	Variety	stront1
跟...比起来	gēn ... bǐ qǐlai	compared to	stront1
空气	kōngqì	Air	stront1
工资	gōngzī	salary	stront1
专业	zhuānyè	professional	stront1
运动员	yùndòngyuán	athlete	stront1
做运动员	zuò yùndòngyuán	to work as an athlete	stront1
安静	ānjìng	Quiet	stront1
周年纪念日	zhōunián jìniànrì	Anniversary	stront1
不可能	bù kěnéng	impossible	stront1
可能	kěnéng	maybe, possible	stront1
一切皆有可能	yīqiè jiē yǒu kěnéng	nothing is impossible	stront1
爱说话	ài shuōhuà	Talkative	stront1
说废话	shuō fèihuà	to bullshit	stront1
说真话	shuō zhēnhuà	Tell the truth	stront1
放一首歌/ 播一首歌	fàng yīshǒugē /   bō yīshǒugē	play a song	stront1
放一部电影/ 播一部电影	fàng yībù diànyǐng /   bō yībù diànyǐng	play a movie	stront1
放音乐	fàng yīnyuè	play music	stront1
歌单	gēdān	playlist	stront1
首选	shǒuxuǎn	a go-to choice	stront1
启发	qǐfā	Inspire	stront1
好的	hǎo de	OK	stront1
卡拉OK	kǎlā ok	Karaoke	stront1
对话	duìhuà	dialogue	stront1
一张照片	yīzhāng zhàopiàn	a photo	stront1
一张图片	yīzhāng túpiàn	a picture	stront1
发音	fāyīn	pronunciation	stront1
发一张照片给她	fā yīzhāng zhàopiàn gěi tā	Send a photo to her	stront1
拍照片/ 拍照	pāizhàopiàn /   pāizhào	take photos	stront1
亲自	qīnzì	in person (by yourself)	stront1
一年半前	yīnián bànqián	A year and a half ago	stront1
一般来说	yībānláishuō	Generally speaking	stront1
买菜	mǎicài	buy food ingredients	stront1
负责	fùzé	be responsible for	stront1
负责人	fùzérén	the responsible person	stront1
交水电费	jiāo shuǐdiànfèi	pay water and electricity bills	stront1
