聚会	jùhuì	/party/gathering/to meet/to get together/
登机牌	dēngjīpái	/boarding pass/
出发	chūfā	/to set off/to start (on a journey)/
数量	shùliàng	/amount; quantity (CL:個|个[ge4])/quantitative/(math.) scalar quantity/
以为	yǐwéi	/to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)/
高速公路	gāosùgōnglù	/expressway; highway; freeway/
积极	jījí	/active/energetic/vigorous/positive (outlook)/proactive/
零钱	língqián	/change (of money)/small change/pocket money/
死	sǐ	/to die/impassable/uncrossable/inflexible/rigid/extremely/damned/
方法	fāngfǎ	/method; way; means/CL:個|个[ge4]/
