为I做E	Being the Introverts’ Extrovert. e.g.  introverts talk about the times they’ve been forced into social activity by the lack of a natural extrovert in their friend group.  is also having a homosexual connotation as the slang parodizes the homophonous gay term "為愛做一.”
小孩哥/姐	Little Big Kids. preternaturally mature kids whose life skills, attitudes, and fearlessness are spooking their elders.
特种兵式旅游	special forces tourism. Cash-strapped Chinese college students have embraced “special forces tourism” as they finally see the country after three years of pandemic restrictions. Usually setting off on Friday night or early Saturday morning, they’ll quickly run through the major attractions at their destination before rushing back to the classroom on Monday morning.
Gap Day	Gap Day. Instead of gap years, young people are simply taking "gap days," from a whole day to just a few hours, and making a deal of it
反向育儿	reverse parenting. While past generations of parents in China maintained a serious demeanor and relied on punishments as a form of discipline, the post-’90s generation is embracing a different approach: When their kids lay on the floor in an ice cream store, parents do the same. If the children throw away a toy, parents throw away others too. Some even go to extremes: putting their kids’ studies on hold to play video games for hours on end, just as their children desired.
早F晚E	Fighting in the Morning, Emo in the Evening. Waking up dedicated to “fighting” for a better life, by bedtime they’re so exhausted they just want to lie down and listen to sad music.
早C晚A	a popular skincare routine involving the application of vitamin C in the morning and vitamin A at night, and which is sometimes also used to mean “coffee in the morning, alcohol at night.”. 
脆皮大学生	crispy skin college students. Literally meaning “crispy skin college students,” the #脆皮大学生 tag has become a playful hangout for the country’s less physically gifted college students
白人饭	White People’s Food. hastily put together and pre-made meals commonly associated with white people, but also save time and money
电子呕吐物	Cyber Vomit. a stew of teary posts, harsh lessons, and extended essays about life’s ups and downs.
显眼包	Class Clown; Literally meaning “eye-catching,”. xiǎn yǎn bāo
猫奴	n. Cat+slave. This Internet slang term is a playful nickname for cat owners because they sweat and toil to serve their pet cats. It is often used self-mockingly by cat owners.
铲屎官	n. Scoop+poo+official. The poo-scooping official. This Internet slang term is a playful nickname for cat owners because that’s what they do for their pet cats every day.  It is often used self-mockingly and rather proudly by cat owners.
漫改	Short for 漫畫改編 [màn huà gǎi biān] “adapted from comics / manga.”. 
国漫	n. 國産漫畫 [guó chǎn màn huà] “domestic comics”. 
上头姐妹	n. Intoxicated sisters. 
上头	means “(of alcohol) to go to one’s head. ” Intoxicated sisters refer to female fans who are so psyched about the sweet romantic scenes in Internet novels, idol dramas and online photos that they simply go bananas!
甜宠	“sweet and pampering” idol dramas which are replete with sweet romantic scenes where the male lead would do anything for the female lead. 
追星	v. To chase stars. To be a fan.
菊外人	n. Ju+outside+person. The outsiders. People who don’t know who Wang Ju (trainee on Produce 101 (China)) is but have been surrounded by messages about voting for Wang Ju. 
根本停不下来	<Expression> Absolutely can’t stop. This expression is often used to describe how one can’t stop doing what he or she enjoys.
出圈	v. Outside+circle. (Of an idol’s popularity) to exceed the niche of his or her fans. To become well-known even among nonfans.
zqsg <Acronym> 真情实感	Sincere feelings. Out of genuine feelings. This acronym is often used to inform the reader that the writer is being honest and sincere.
xswl <Acronym> 笑死我了	Laughing to death, LOL, LMFAO. 
271	<Acronym> 愛奇藝 [ài qí yì] iQiyi, a Chinese online video platform. 
dbq <Acronym> 对不起	Sorry.. 
bhys <Acronym> 不好意思	Excuse me. 
sjb <Acronym> 神经病	Crazy.. 
djll <Acronym> 顶级流量	Top-level web traffic. This Internet slang term refers to the enormous web traffic that popular idols can generate.
拍砖	v. To hit with a brick. To lambaste someone online as if hitting him or her with bricks.
轻拍	v. To hit gently. Often included in sentences like “Please hit lightly,” this Internet slang term is often used as a request for mild, constructive criticism from other Internet users when one expresses an opinion that’s potentially controversial. The equivalent in English would be “Don’t be too harsh.”
这是。。。被黑得最惨的一次	<Expression> This is the time when… was roasted/humiliated most seriously. This expression is often used humorously to refer to an often unexpected embarrassing situation where someone or an organization is caught in, especially when they are unintentionally put down.
原著党	n. The original work party. Fans of the original works, especially fans of the original Internet novels which are adapted into TV dramas or movies
G点	n. G-spot. This Internet slang term metaphorically refers to things that make one elated. It’s often used sarcastically.
技术宅	n. Technology+otaku. An introverted or indoorsy geek.
聊骚	v. Chat+sex appeal. (rizz?) This Internet slang term refers to flirting with or hitting on someone.
自带BGM	v. To possess one’s own background music. This Internet slang term describes a person who is so unique and impressive that when he or she comes up, you could hear music playing on the background. This slang term comes from the fact that important TV or movie characters tend to have their signature background music.
彩虹屁	n. Rainbow fart. This Internet slang term refers to the fans’ flamboyant compliments on their idols’ appearance, character, work, etc. that may sound exaggerated to outsiders.
大猪蹄子	Big pig’s foot. Trotter. This Internet slang term refers to an unwelcome man, especially a man who is not sensitive to women’s emotional needs, a fickle man who turns cold to a woman after they become a couple, or a man who is a playboy. The meme went popular in August, 2018 as a generic complaint about men’s shortcomings.
已婚少女	n. Married teenage girl. A married woman who still looks, thinks, and/or behaves like a teenage girl. This Internet slang term is often used by married women to describe themselves, because they want to maintain their youthful appearance or mentality.
