为I做E	wéi i zuò e	Being the Introverts’ Extrovert. e.g.  introverts talk about the times they’ve been forced into social activity by the lack of a natural extrovert in their friend group.  is also having a homosexual connotation as the slang parodizes the homophonous gay term "為愛做一.”
小孩哥/姐	xiǎohái gē / jiě	Little Big Kids. preternaturally mature kids whose life skills, attitudes, and fearlessness are spooking their elders.
特种兵式旅游	tèzhǒngbīng shì lǚyóu	special forces tourism. Cash-strapped Chinese college students have embraced “special forces tourism” as they finally see the country after three years of pandemic restrictions. Usually setting off on Friday night or early Saturday morning, they’ll quickly run through the major attractions at their destination before rushing back to the classroom on Monday morning.
Gap Day	gap   day	Gap Day. Instead of gap years, young people are simply taking "gap days," from a whole day to just a few hours, and making a deal of it
反向育儿	fǎnxiàng yùér	reverse parenting. While past generations of parents in China maintained a serious demeanor and relied on punishments as a form of discipline, the post-’90s generation is embracing a different approach: When their kids lay on the floor in an ice cream store, parents do the same. If the children throw away a toy, parents throw away others too. Some even go to extremes: putting their kids’ studies on hold to play video games for hours on end, just as their children desired.
早F晚E	zǎo f wǎn e	Fighting in the Morning, Emo in the Evening. Waking up dedicated to “fighting” for a better life, by bedtime they’re so exhausted they just want to lie down and listen to sad music.
早C晚A	zǎo c wǎn a	a popular skincare routine involving the application of vitamin C in the morning and vitamin A at night, and which is sometimes also used to mean “coffee in the morning, alcohol at night.”. 
脆皮大学生	cuìpí dàxuéshēng	crispy skin college students. Literally meaning “crispy skin college students,” the #脆皮大学生 tag has become a playful hangout for the country’s less physically gifted college students
白人饭	báirén fàn	White People’s Food. hastily put together and pre-made meals commonly associated with white people, but also save time and money
电子呕吐物	diànzǐ ǒutùwù	Cyber Vomit. a stew of teary posts, harsh lessons, and extended essays about life’s ups and downs.
显眼包	xiǎn yǎn bāo	Class Clown; Literally meaning “eye-catching,”. xiǎn yǎn bāo
猫奴	māo nú	n. Cat+slave. This Internet slang term is a playful nickname for cat owners because they sweat and toil to serve their pet cats. It is often used self-mockingly by cat owners.
铲屎官	chǎn shǐ guān	n. Scoop+poo+official. The poo-scooping official. This Internet slang term is a playful nickname for cat owners because that’s what they do for their pet cats every day.  It is often used self-mockingly and rather proudly by cat owners.
漫改	màn gǎi	Short for 漫畫改編 [màn huà gǎi biān] “adapted from comics / manga.”. 
国漫	guó màn	n. 國産漫畫 [guó chǎn màn huà] “domestic comics”. 
上头姐妹	shàng tóu jiě mèi	n. Intoxicated sisters. 
上头	shàng tóu	means “(of alcohol) to go to one’s head. ” Intoxicated sisters refer to female fans who are so psyched about the sweet romantic scenes in Internet novels, idol dramas and online photos that they simply go bananas!
甜宠	tián chǒng	“sweet and pampering” idol dramas which are replete with sweet romantic scenes where the male lead would do anything for the female lead. 
追星	zhuī xīng	v. To chase stars. To be a fan.
菊外人	jú wài rén	n. Ju+outside+person. The outsiders. People who don’t know who Wang Ju (trainee on Produce 101 (China)) is but have been surrounded by messages about voting for Wang Ju. 
根本停不下来	gēn běn tíng bú xià lái	<Expression> Absolutely can’t stop. This expression is often used to describe how one can’t stop doing what he or she enjoys.
出圈	chū quān	v. Outside+circle. (Of an idol’s popularity) to exceed the niche of his or her fans. To become well-known even among nonfans.
zqsg <Acronym> 真情实感	zhēn qíng shí gǎn	Sincere feelings. Out of genuine feelings. This acronym is often used to inform the reader that the writer is being honest and sincere.
xswl <Acronym> 笑死我了	xiào sǐ wǒ le	Laughing to death, LOL, LMFAO. 
271	èr qī yī	<Acronym> 愛奇藝 [ài qí yì] iQiyi, a Chinese online video platform. 
dbq <Acronym> 对不起	duì bù qǐ	Sorry.. 
bhys <Acronym> 不好意思	bù hǎo yì si	Excuse me. 
sjb <Acronym> 神经病	shén jīng bìng	Crazy.. 
djll <Acronym> 顶级流量	dǐng jí liú liàng	Top-level web traffic. This Internet slang term refers to the enormous web traffic that popular idols can generate.
拍砖	pāi zhuān	v. To hit with a brick. To lambaste someone online as if hitting him or her with bricks.
轻拍	qīng pāi	v. To hit gently. Often included in sentences like “Please hit lightly,” this Internet slang term is often used as a request for mild, constructive criticism from other Internet users when one expresses an opinion that’s potentially controversial. The equivalent in English would be “Don’t be too harsh.”
这是。。。被黑得最惨的一次	zhè shì…beì hēi de zuì cǎn de yí cì	<Expression> This is the time when… was roasted/humiliated most seriously. This expression is often used humorously to refer to an often unexpected embarrassing situation where someone or an organization is caught in, especially when they are unintentionally put down.
原著党	yuán zhù dǎng	n. The original work party. Fans of the original works, especially fans of the original Internet novels which are adapted into TV dramas or movies
G点	G diǎn	n. G-spot. This Internet slang term metaphorically refers to things that make one elated. It’s often used sarcastically.
技术宅	jì shù zhái	n. Technology+otaku. An introverted or indoorsy geek.
聊骚	liáo sāo	v. Chat+sex appeal. (rizz?) This Internet slang term refers to flirting with or hitting on someone.
自带BGM	Zì dài BGM	v. To possess one’s own background music. This Internet slang term describes a person who is so unique and impressive that when he or she comes up, you could hear music playing on the background. This slang term comes from the fact that important TV or movie characters tend to have their signature background music.
彩虹屁	cǎi hóng pì	n. Rainbow fart. This Internet slang term refers to the fans’ flamboyant compliments on their idols’ appearance, character, work, etc. that may sound exaggerated to outsiders.
大猪蹄子	dà zhū tí zi	Big pig’s foot. Trotter. This Internet slang term refers to an unwelcome man, especially a man who is not sensitive to women’s emotional needs, a fickle man who turns cold to a woman after they become a couple, or a man who is a playboy. The meme went popular in August, 2018 as a generic complaint about men’s shortcomings.
已婚少女	yǐ hūn shào nǚ	n. Married teenage girl. A married woman who still looks, thinks, and/or behaves like a teenage girl. This Internet slang term is often used by married women to describe themselves, because they want to maintain their youthful appearance or mentality.
暴击	bào jī	n. <Gaming> critical hit. Attack that will create greater harm than the displayed data. This Internet slang term is often used to describe a jeering remark that is potentially hurtful or an unexpected situation that someone doesn’t want to encounter.
反差萌	fǎn chā méng	n. Contrast+cuteness. This Internet slang term comes from the Japanese ACG subculture and refers to the adorableness accentuated by the contrast between a character’s sex and gender, age and appearance, biological age and psychological age, identity and personality, past personality and current personality, public persona and true personality, etc.
偶遇	ǒu yù	n. Planned “chance encounter. ” This Internet slang term is often used to tease fans who visit a place where they know the idol will be so that they can “bump into” the idol.
一方有难，八方点赞	yì fāng yǒu nàn, bā fāng diǎn zàn	<Expression> When one region is in trouble, likes come from all sides. This expression is adapted from 一方有難，八方支援 [yì fāng yǒu nàn, bā fāng zhī yuán] “When a disaster strikes an area, help comes from all sides.” Often used satirically, this expression mocks friends or notorious celebrities who are in trouble.
你国	nǐ guó	n. Your country. China. This Internet slang term is often used negatively and satirically, implying one’s unwillingness to side with the government on an issue.
撩	liāo	v. Tantalize/tease/lift up. To flirt with someone.
楼主	lóu zhǔ	n. Building owner. This Internet slang term refers to the person who starts a thread in an online forum, because a string of threads looks like a building and the author of the first post of that string is the “owner”.
西皮	xī pí	n. West+leather. Couple. This Internet slang term mimics the pronunciation of CP.
人设已崩	rén shè yǐ bēng	Character design+already+collapse. [Often of a celebrity] image is ruined, usually because of his or her own inappropriate behavior.
王之蔑视	wáng zhī miè shì	n. The King’s contempt. This Internet slang term is often used to describe one’s righteous expression of contempt, usually coupled with a picture or emoji of the same caption.
封印	fēng yìn	v. Seal+stamp. To cast a spell on something so that it can’t function properly.  This Internet slang term comes from Chinese Internet fantasy novels.
很迷	hěn mí	adj. Very strange, weird, or baffling. 
领盒饭	lǐng hé fàn	v. To receive [one’s] boxed lunch. This Internet slang term describes a character exiting from a drama or movie because of death or other reasons. The term comes from the custom that actors get paid and receive boxed lunches on their last filming day.
黄桑	huáng sāng	n. yellow+mulberry. Emperor. This Internet slang term is a comical way of saying 皇上 [huáng shàng] “Your majesty the emperor” with a Cantonese accent.
怼天怼地	duǐ tiān duǐ dì	v. Diss+sky+diss+ground. To lash out at one’s opponents or detractors fearlessly. This Internet slang term is often used positively to praise one’s courage and eloquence.
作天作地	zuō tiān zuō dì	v. Overreact+sky+overreact+ground. To make a scene. To behave impudently and piss other people off.
吧啦吧啦	bā lā bā lā	v. To chatter away. This Internet slang term mimics the English word “blah blah blah.”
人民币玩家	rén mín bì wán jiā	n. RMB gamers. Gamers who pay significantly more than the average gamers to get an edge or have their characters look stunning in games.
叫兽	jiào shòu	n. Roaring+beast. Depraved professors. This Internet slang term and 教授 [jiào shòu] “professors” are homophones. It is a cynical nickname for scholars who mislead the public with irresponsible comments or sexually harass the students. Their credibility is jeopardized by their own ignorance or depravity.
软妹	ruǎn meì	n. Soft+sister. Young women who are very feminine. Borrowed from the Japanese ACG culture, this Internet slang term is a little sexist
物料	wù liào	n. Marketing materials that fans use to root for their idols at concerts, art shows, variety shows, etc. 
笑著活下去	xiào zhe huó xià qù	<Expression> Live on with a hearty laugh. This expression is often used humorously or ironically to hang in there despite adversity or humiliation.
